 	le	fruit	sauvage	esie	est	acide	</S>
a66	0.472388	0.155188	0.0890282	0.0870868	0.0677937	0.0779225	0.0505934
a10	0.0914069	0.0888654	0.149694	0.226665	0.161103	0.228397	0.0538684
a87	0.36949	0.214721	0.134643	0.0903342	0.0700942	0.0792611	0.0414562
a79	0.416875	0.283463	0.162695	0.063451	0.034549	0.0271942	0.0117728
a12	0.412876	0.315244	0.172479	0.0494461	0.0227478	0.0183512	0.00885512
a31	0.430994	0.266078	0.140118	0.0870162	0.0467197	0.0218208	0.00725391
a43	0.330101	0.339684	0.178818	0.0784179	0.033256	0.0278587	0.0118649
a21	0.19977	0.319128	0.239912	0.116365	0.057328	0.0435546	0.0239413
a85	0.237923	0.20525	0.135244	0.183808	0.0872973	0.0873174	0.0631603
a5	0.0671707	0.072886	0.092217	0.247812	0.199534	0.156994	0.163387
a37	0.0208819	0.0270667	0.0571963	0.190752	0.244316	0.226575	0.233212
a5	0.00855117	0.0142661	0.045314	0.106679	0.209167	0.24889	0.367133
a18	0.00570097	0.00852211	0.021636	0.0573074	0.18089	0.234007	0.491937
a71	0.00398212	0.00592147	0.0254072	0.0277817	0.13733	0.196649	0.602929
a25	0.0575687	0.0417685	0.0696606	0.0746683	0.155244	0.23552	0.365569
a10	0.0541159	0.0459291	0.0733119	0.0714575	0.161862	0.248855	0.344469
a87	0.150377	0.0855804	0.113538	0.0969306	0.162703	0.210812	0.180058
a23	0.243883	0.15746	0.145952	0.112557	0.125747	0.133252	0.0811496
a99	0.0865391	0.0678954	0.107865	0.135964	0.228888	0.165967	0.206882
a97	0.0498032	0.0557427	0.0828808	0.0945696	0.1818	0.200204	0.335
</S>	0.0385122	0.0534398	0.0927323	0.123573	0.190919	0.165857	0.334967
