 	l'	homme	coupe	la	branche	</S>
a23	0.334248	0.242906	0.207753	0.103993	0.0644056	0.046694
a87	0.479167	0.273957	0.124342	0.062276	0.0344389	0.0258195
a23	0.323387	0.286348	0.163038	0.0843078	0.0693005	0.0736189
a83	0.441382	0.31522	0.102222	0.0361183	0.0433557	0.0617026
a24	0.548581	0.269686	0.087517	0.0401461	0.0280632	0.0260066
a66	0.527088	0.348588	0.087576	0.0172616	0.00929374	0.0101922
a75	0.487316	0.316948	0.120959	0.0365985	0.0183765	0.0198017
a41	0.391863	0.303692	0.144388	0.0661645	0.0447559	0.0491364
a21	0.324994	0.307288	0.200786	0.0721965	0.0436754	0.0510599
a61	0.306593	0.309059	0.218171	0.0730886	0.0433943	0.0496948
a18	0.256338	0.293191	0.255078	0.0955585	0.0476284	0.0522057
a38	0.116781	0.200022	0.316544	0.175425	0.0906375	0.100591
a75	0.0702179	0.122744	0.293158	0.25007	0.127786	0.136024
a21	0.156374	0.126434	0.145227	0.139397	0.152617	0.279951
a61	0.168081	0.108733	0.105079	0.142566	0.185547	0.289994
a24	0.14702	0.114981	0.120513	0.166066	0.191592	0.259827
a41	0.0908234	0.076516	0.115803	0.188473	0.24171	0.286676
a5	0.0527695	0.0324822	0.0343176	0.103047	0.270526	0.506857
a18	0.070719	0.0413474	0.0395853	0.106135	0.306996	0.435217
a75	0.0157867	0.0137945	0.0290736	0.0867336	0.27959	0.575022
a85	0.00977423	0.0063469	0.0112243	0.0534341	0.306525	0.612695
a61	0.00891335	0.00638533	0.00927573	0.0469811	0.314839	0.613605
a88	0.00628352	0.00573176	0.0168699	0.0807591	0.313029	0.577326
a38	0.00388082	0.00432391	0.0149459	0.0862732	0.340276	0.5503
a94	0.00270225	0.00347311	0.0140106	0.0887015	0.326939	0.564173
a54	0.0029514	0.00381874	0.0139325	0.0891589	0.311911	0.578227
a36	0.00131167	0.00166999	0.00641899	0.0429762	0.284623	0.663
a2	0.00211755	0.00217977	0.0058547	0.0352113	0.243072	0.711564
a57	0.014992	0.00960982	0.016867	0.0829749	0.300805	0.574752
a10	0.121393	0.0762714	0.0595475	0.106736	0.255343	0.380709
a87	0.228851	0.119768	0.0624414	0.0917774	0.221922	0.27524
a10	0.224937	0.13013	0.0706136	0.10198	0.223001	0.249337
a87	0.11838	0.106393	0.0979862	0.144557	0.249408	0.283276
a23	0.119677	0.100662	0.084379	0.125758	0.255949	0.313575
a87	0.0305982	0.0242324	0.0248877	0.0639362	0.273275	0.58307
a23	0.0226919	0.0222646	0.0281903	0.0633395	0.234402	0.629112
</S>	0.00916799	0.00917235	0.0132819	0.0537691	0.281772	0.632837
