 	je	me	suis	égratigné	au	bras	lorsque	j'	ai	heurté	le	mur	</S>
a66	0.22168	0.146562	0.0771635	0.0797783	0.0818853	0.0994143	0.0946791	0.075232	0.0465287	0.038379	0.0160143	0.0117413	0.010942
a87	0.155409	0.053183	0.0441916	0.0449614	0.103045	0.127754	0.151671	0.101429	0.0638676	0.0572274	0.0326248	0.0308278	0.0338092
a97	0.108021	0.0764974	0.0525755	0.0755688	0.0625132	0.0721663	0.114836	0.131426	0.10119	0.082381	0.0391003	0.0367823	0.0469424
a13	0.184717	0.175122	0.113667	0.163134	0.0751421	0.0680015	0.0646779	0.0452189	0.030802	0.0233579	0.0175078	0.0165997	0.0220529
a62	0.30191	0.169606	0.0767142	0.102145	0.0592468	0.0652664	0.0597029	0.0525344	0.0408528	0.036928	0.0140202	0.00958955	0.011484
a21	0.291176	0.196812	0.110069	0.108566	0.0639358	0.0536107	0.0406651	0.0439226	0.0343441	0.0304576	0.0108584	0.00782852	0.00775294
a5	0.234175	0.207852	0.151427	0.112789	0.0879541	0.0610881	0.0309621	0.0306925	0.0236576	0.025209	0.0123855	0.0108494	0.0109578
a37	0.186072	0.190293	0.175509	0.143043	0.0973365	0.057481	0.029919	0.0270264	0.022747	0.0253088	0.014951	0.0150061	0.0153071
a90	0.104674	0.141641	0.18578	0.180058	0.127161	0.0666143	0.0420897	0.0328434	0.0260182	0.0263213	0.0211355	0.0229502	0.0227141
a25	0.0864293	0.145455	0.210472	0.163376	0.129159	0.0837704	0.0496205	0.0310809	0.020579	0.0199921	0.0170257	0.0204592	0.0225801
a44	0.0708162	0.121293	0.210342	0.175356	0.135681	0.0873862	0.0545895	0.0315045	0.0203685	0.0190356	0.0187472	0.0250002	0.0298807
a93	0.069413	0.10079	0.16825	0.173159	0.134086	0.0889815	0.0666466	0.0373835	0.0272906	0.0239616	0.0282256	0.0378382	0.0439742
a56	0.0855065	0.113084	0.162207	0.132858	0.121062	0.0900011	0.0738188	0.0495065	0.0338231	0.0306405	0.0297375	0.0370189	0.0407358
a61	0.0604814	0.0836422	0.119424	0.110386	0.118014	0.103325	0.101151	0.0641505	0.0415925	0.0381474	0.0425688	0.0545998	0.0625172
a47	0.0427547	0.0576462	0.0822469	0.0875268	0.105632	0.096299	0.118707	0.085342	0.0582738	0.0592777	0.0572163	0.0691957	0.0798824
a88	0.0257449	0.0368217	0.0691705	0.0812112	0.114227	0.111652	0.155467	0.106026	0.0704437	0.0577211	0.048114	0.0551992	0.0682003
a9	0.0171759	0.0245406	0.0440278	0.0641045	0.0889551	0.0848171	0.132049	0.0993087	0.083036	0.0768231	0.0741147	0.0925292	0.118518
a87	0.00944532	0.0141371	0.0290621	0.0793913	0.127765	0.108166	0.17118	0.0847388	0.0713315	0.061157	0.0652024	0.0767288	0.101694
a79	0.0142447	0.023039	0.0381629	0.085707	0.121364	0.102075	0.124016	0.0969497	0.0867757	0.0974139	0.0675409	0.068174	0.0745376
