 	la	femme	que	tu	as	prise	en	mariage	est	de	quelle	famille	</S>
a66	0.161047	0.130986	0.115576	0.0995624	0.106343	0.10815	0.0943855	0.0769407	0.04493	0.0279858	0.0166664	0.00978758	0.00763982
a87	0.212869	0.115154	0.0669635	0.0519011	0.0636122	0.0781842	0.0804074	0.0934498	0.063781	0.051205	0.0455559	0.036968	0.039948
a23	0.233461	0.153305	0.10212	0.0798678	0.0900977	0.0952922	0.0800126	0.0687326	0.0304397	0.0211197	0.0158364	0.012833	0.0168817
a83	0.201114	0.139467	0.102539	0.086755	0.104389	0.104971	0.0807344	0.0637391	0.032098	0.0271176	0.0215505	0.0161663	0.0193598
a98	0.172124	0.152746	0.138312	0.0992849	0.0879749	0.0738547	0.0628684	0.0424536	0.0271584	0.0293151	0.0361862	0.0356701	0.0420509
a85	0.183227	0.159036	0.153497	0.109549	0.0848363	0.0728835	0.0658728	0.0436882	0.0294282	0.0292038	0.0277211	0.0215863	0.0194702
a6	0.128764	0.130319	0.14119	0.119325	0.101634	0.0943712	0.0811946	0.0509607	0.0323776	0.0316067	0.0335934	0.0300354	0.0246277
a0	0.0956211	0.104257	0.129966	0.129434	0.121404	0.11156	0.0899522	0.0623833	0.0369985	0.0313448	0.0325114	0.0293124	0.0252536
a75	0.0776116	0.086182	0.115077	0.132943	0.132023	0.129323	0.10494	0.0776506	0.0395481	0.0288139	0.0265752	0.0253246	0.0239879
a47	0.0508008	0.0558914	0.0770596	0.103784	0.106317	0.120527	0.116404	0.109919	0.0682915	0.0480346	0.0458198	0.0487361	0.0484153
a96	0.0512251	0.0628191	0.0892006	0.128398	0.125976	0.12247	0.11315	0.0954322	0.0528292	0.0367599	0.0357635	0.0407397	0.0452367
a94	0.056646	0.06593	0.0888847	0.120161	0.118271	0.124315	0.120166	0.109021	0.0571741	0.0380695	0.032393	0.0333387	0.0356284
a93	0.0331014	0.042884	0.0649396	0.100342	0.110595	0.120778	0.131607	0.142446	0.0804361	0.0501265	0.0409077	0.0391217	0.0427143
a12	0.0240092	0.0287191	0.0442539	0.0732147	0.0863252	0.103801	0.123384	0.146515	0.104366	0.0734412	0.0640909	0.0628182	0.0650621
a21	0.0143016	0.0161558	0.0237224	0.0435664	0.0589983	0.0839629	0.119412	0.18306	0.135868	0.0906074	0.0736936	0.0717595	0.0848924
a12	0.00994285	0.00983584	0.0127071	0.0205766	0.0261111	0.0361898	0.0572339	0.122749	0.14818	0.139941	0.1351	0.139337	0.142095
a31	0.00915438	0.00995222	0.0132284	0.023823	0.03051	0.0435599	0.068618	0.14336	0.149009	0.124228	0.116588	0.122314	0.145655
a43	0.0114108	0.0117065	0.0147295	0.0242192	0.0304085	0.0417484	0.063718	0.131006	0.147955	0.137343	0.12911	0.122211	0.134434
a31	0.0105044	0.0122764	0.0152491	0.0236119	0.029477	0.0391464	0.0552438	0.110743	0.122147	0.122441	0.138209	0.146849	0.174103
a96	0.00722743	0.00756436	0.00881624	0.0129718	0.0160354	0.022182	0.0334402	0.0709618	0.0994935	0.124691	0.161556	0.201773	0.233287
a66	0.00670874	0.00767574	0.00888849	0.0124484	0.0147229	0.0174812	0.0243562	0.0444027	0.0609225	0.0858838	0.142295	0.238145	0.336069
a44	0.0107723	0.0124588	0.0130262	0.0156843	0.0172876	0.01542	0.0180761	0.025609	0.0341217	0.0498751	0.102917	0.233222	0.45153
a90	0.00469348	0.00517001	0.00553483	0.00787353	0.00961675	0.00927419	0.0121917	0.0185137	0.0268535	0.0419921	0.0959032	0.246894	0.515489
a75	0.00106936	0.0011587	0.00136995	0.0023875	0.00309724	0.00367092	0.00663644	0.0133885	0.0224838	0.0380077	0.0880492	0.253202	0.565479
a92	0.000649211	0.000765553	0.000957983	0.00162179	0.00204816	0.00259226	0.00497502	0.0117859	0.0226553	0.0420012	0.0917354	0.270382	0.547831
a37	0.000942395	0.001008	0.00111429	0.00175873	0.00226821	0.00279978	0.00545264	0.0122037	0.0241366	0.0448304	0.0960629	0.272075	0.535347
a36	0.00111842	0.00111778	0.00115222	0.00169629	0.00201458	0.00217431	0.00342012	0.00634318	0.0120295	0.0256539	0.0808764	0.26609	0.596313
a26	0.023388	0.0181866	0.0162964	0.0182273	0.0194759	0.018992	0.0187099	0.0201575	0.0328352	0.0555551	0.10999	0.235167	0.413019
a30	0.127183	0.0809604	0.0636951	0.0668933	0.0682217	0.0658805	0.0554118	0.0481201	0.0493219	0.0564941	0.0670016	0.0947973	0.156019
a3	0.190306	0.100378	0.065746	0.0595393	0.0612171	0.0628936	0.0532888	0.0530945	0.0544298	0.0638921	0.0663051	0.0751046	0.0938054
a87	0.120598	0.0754396	0.0511451	0.0461814	0.0497031	0.05122	0.0490307	0.0655529	0.0751593	0.0930703	0.0918802	0.103253	0.127767
a23	0.0911644	0.0572472	0.0397139	0.0395812	0.047644	0.0533343	0.0587786	0.0853175	0.0921168	0.103369	0.0998927	0.1069	0.12494
a99	0.0293544	0.0173672	0.0118686	0.0124959	0.0138173	0.0165313	0.021986	0.0419767	0.0801076	0.128283	0.159237	0.20022	0.266756
a97	0.0385058	0.0258861	0.0217988	0.0269166	0.0324435	0.0402959	0.0476256	0.0689104	0.0912164	0.117221	0.129892	0.152887	0.206401
