 	la	nuit	est	tombée	</S>
a99	0.330662	0.227696	0.178119	0.14896	0.114563
a11	0.316739	0.214394	0.180953	0.164673	0.123242
a0	0.359179	0.248196	0.176464	0.118614	0.0975474
a75	0.456888	0.290234	0.152553	0.0603011	0.0400249
a90	0.430477	0.290276	0.177852	0.0654132	0.0359823
a93	0.367614	0.299196	0.197932	0.0868793	0.0483782
a61	0.241526	0.270165	0.238336	0.145929	0.104044
a24	0.188757	0.234853	0.245653	0.195388	0.135349
a61	0.108064	0.166171	0.232267	0.272408	0.22109
a31	0.1005	0.148438	0.217925	0.27483	0.258308
a62	0.0666216	0.0981741	0.189087	0.315308	0.330809
a75	0.0376935	0.0611796	0.150672	0.324196	0.426259
a41	0.0514225	0.0719999	0.141095	0.292714	0.442768
a27	0.0270653	0.0392238	0.0982479	0.294411	0.541052
a10	0.0185948	0.036698	0.0975053	0.26463	0.582572
a87	0.060295	0.0729517	0.129641	0.261676	0.475437
a23	0.244652	0.167014	0.155693	0.204899	0.227742
a87	0.15785	0.11927	0.156109	0.25527	0.311502
</S>	0.047329	0.0582376	0.133291	0.324792	0.43635
