 	aujourd'	hui	je	vais	manger	de	la	viande	fumée	</S>
a66	0.201232	0.169684	0.123777	0.126382	0.145062	0.117483	0.071085	0.0262454	0.0117836	0.00726667
a87	0.302651	0.175062	0.112873	0.105345	0.0951923	0.077807	0.0625999	0.0298274	0.0221482	0.0164942
a23	0.303994	0.176735	0.117887	0.0957513	0.0813663	0.0610901	0.0561977	0.038275	0.0334584	0.0352453
a20	0.204626	0.149164	0.151947	0.123953	0.110197	0.0677051	0.0516854	0.0408937	0.0479278	0.0518996
a15	0.164937	0.116124	0.140894	0.133504	0.127104	0.0884163	0.0720925	0.0588429	0.0457779	0.0523081
a54	0.113683	0.0957321	0.11411	0.127652	0.143505	0.133324	0.0971199	0.0804642	0.0559816	0.0384282
a5	0.119833	0.0885408	0.0954774	0.121928	0.15856	0.169522	0.112879	0.0725314	0.0410816	0.0196471
a12	0.103249	0.0923257	0.117817	0.140009	0.175583	0.141666	0.0880327	0.0590973	0.0509684	0.0312519
a21	0.113269	0.101997	0.12177	0.138163	0.179087	0.141367	0.0815341	0.0486943	0.0420325	0.0320872
a5	0.0878717	0.0854811	0.102031	0.129349	0.18351	0.147888	0.092064	0.0593964	0.0594525	0.0529566
a18	0.0572445	0.0663277	0.0867813	0.125462	0.200986	0.175248	0.0985632	0.0593741	0.0603761	0.0696371
a96	0.0598386	0.0608211	0.0652496	0.0948996	0.157964	0.177475	0.119075	0.0749717	0.0851274	0.104578
a75	0.0515613	0.0514314	0.0533946	0.0807051	0.152059	0.183063	0.127785	0.0857169	0.096426	0.117857
a5	0.027993	0.0301285	0.032456	0.0430399	0.0738525	0.0981682	0.114879	0.151743	0.197657	0.230083
a12	0.0359515	0.0362349	0.0366451	0.0461498	0.0804003	0.117223	0.130443	0.127005	0.156238	0.233709
a96	0.0201635	0.0183696	0.0162039	0.0197633	0.0359523	0.0675723	0.115444	0.168775	0.218054	0.319702
a18	0.00888837	0.00738489	0.00682711	0.00907518	0.0183146	0.0399095	0.092146	0.196179	0.272297	0.348979
a21	0.00610519	0.00405917	0.00303706	0.00422124	0.00677344	0.0146145	0.0388562	0.122323	0.274242	0.525769
a5	0.00341055	0.00263492	0.0022195	0.00298175	0.00566715	0.0117978	0.0345044	0.150896	0.286104	0.499784
a21	0.00214467	0.00167741	0.00141615	0.0020126	0.00402978	0.0089261	0.0271054	0.113332	0.246127	0.593229
a56	0.00121965	0.000976937	0.000787866	0.00107147	0.002071	0.00469175	0.0167326	0.0954384	0.265807	0.611204
a93	0.000837588	0.000648409	0.000574854	0.000894852	0.00167696	0.00361296	0.0121576	0.0663934	0.204785	0.708418
a96	0.000663001	0.000460327	0.000374975	0.000618256	0.00111251	0.00249393	0.0091555	0.0635531	0.211407	0.710162
a62	0.000828955	0.000574623	0.000567678	0.000969196	0.00162481	0.00374901	0.0132961	0.0673251	0.209576	0.701488
a88	0.000921507	0.000675769	0.000697345	0.00118599	0.00216279	0.00480014	0.0153795	0.0710705	0.204332	0.698775
a9	0.00098668	0.000496732	0.000397308	0.000818032	0.00146007	0.00473283	0.0169043	0.0722778	0.196355	0.705571
a82	0.0659109	0.0373824	0.0226319	0.0276094	0.0275908	0.0434942	0.0685947	0.132677	0.171481	0.402628
a10	0.160124	0.0962061	0.0624541	0.057613	0.0493071	0.0510191	0.0612581	0.10451	0.139132	0.218378
a38	0.150647	0.102511	0.0722856	0.0645692	0.0585257	0.0593682	0.067431	0.115519	0.144796	0.164347
a83	0.0638327	0.0268431	0.0159278	0.0120689	0.0104524	0.014101	0.0327668	0.119393	0.260933	0.443682
a18	0.0212564	0.00889385	0.00621092	0.00718412	0.00910559	0.0178053	0.0454083	0.129852	0.254026	0.500258
a9	0.00148307	0.000705547	0.000607964	0.000800272	0.00111373	0.00238536	0.00901267	0.0591585	0.179021	0.745712
a97	0.00774532	0.00344536	0.00234577	0.00289669	0.00309118	0.0044098	0.0105764	0.0511057	0.193417	0.720967
</S>	0.0167138	0.00732203	0.0042373	0.00417452	0.00393136	0.00524048	0.0125282	0.057097	0.220521	0.668234
