 	ne	fais	pas	de	bruit	</S>
a23	0.369221	0.1706	0.120828	0.114534	0.115021	0.109796
a79	0.497684	0.207223	0.110293	0.0673386	0.0581101	0.0593512
a90	0.406651	0.174672	0.0968618	0.0833143	0.109966	0.128535
a92	0.522365	0.253895	0.105702	0.0554048	0.0390505	0.0235832
a44	0.450901	0.295559	0.131583	0.0630339	0.0385357	0.0203866
a58	0.434917	0.314224	0.138017	0.0564745	0.0347011	0.0216668
a75	0.232905	0.271523	0.209061	0.117363	0.0907073	0.0784408
a85	0.219609	0.215655	0.179364	0.145249	0.132722	0.107401
a75	0.152775	0.162749	0.164025	0.170601	0.186349	0.163501
a56	0.111236	0.145921	0.186775	0.189212	0.194183	0.172672
a90	0.0765217	0.109505	0.188477	0.232405	0.220556	0.172535
a4	0.0731317	0.099024	0.165476	0.206108	0.226974	0.229287
a58	0.0275187	0.0421957	0.0960081	0.204989	0.299772	0.329516
a40	0.00929558	0.0118186	0.0260651	0.0798728	0.266133	0.606815
a75	0.00831517	0.0113257	0.0244519	0.0796066	0.27773	0.59857
a35	0.00892425	0.0119939	0.0267427	0.088424	0.292392	0.571523
a2	0.00764338	0.011009	0.0254949	0.0816639	0.272414	0.601775
a57	0.003308	0.00473758	0.0112344	0.0478048	0.228127	0.704788
a87	0.0389599	0.0330497	0.0483235	0.100393	0.227201	0.552072
a23	0.192843	0.112807	0.0984981	0.131954	0.181751	0.282148
a87	0.10928	0.0847113	0.108012	0.188114	0.26907	0.240813
</S>	0.0376808	0.0343657	0.0612828	0.149727	0.31846	0.398483
