 	ces	enfants	sont	de	même	taille	</S>
a66	0.311038	0.170713	0.123625	0.120118	0.117832	0.0895257	0.0671487
a87	0.259902	0.149038	0.123693	0.145448	0.152323	0.0978561	0.0717395
a23	0.493262	0.231041	0.101713	0.0656405	0.0450404	0.0320496	0.0312527
a20	0.39902	0.206909	0.123861	0.0913707	0.068769	0.0509875	0.0590822
a36	0.474392	0.214276	0.102849	0.0746324	0.049173	0.0419867	0.0426905
a54	0.33808	0.257008	0.154697	0.10826	0.0603048	0.043298	0.0383521
a7	0.225293	0.207392	0.188712	0.154984	0.0976318	0.0671354	0.0588507
a54	0.142266	0.164124	0.189736	0.165779	0.125729	0.105053	0.107313
a47	0.125597	0.148358	0.191274	0.17405	0.141724	0.110784	0.108214
a79	0.0500322	0.06826	0.120871	0.145454	0.180916	0.191979	0.242488
a44	0.0526965	0.0713902	0.120645	0.145502	0.182505	0.181117	0.246144
a12	0.0644037	0.075799	0.112992	0.133149	0.180425	0.178969	0.254262
a62	0.0258031	0.0276054	0.0485366	0.0820389	0.180504	0.272049	0.363464
a88	0.00707476	0.00787852	0.0151949	0.033648	0.114373	0.320081	0.501749
a71	0.00267025	0.00291117	0.00520619	0.0121846	0.0522962	0.224315	0.700417
a26	0.0119489	0.0133855	0.0173751	0.0332368	0.0805209	0.229701	0.613832
a57	0.0614268	0.0589797	0.0672218	0.0802928	0.110365	0.206162	0.415552
a87	0.214713	0.139187	0.110589	0.0955951	0.0989894	0.122272	0.218654
a23	0.25573	0.18097	0.134315	0.105694	0.0934629	0.0943232	0.135505
a87	0.208743	0.133185	0.0872991	0.0815386	0.115652	0.130388	0.243194
</S>	0.050995	0.0399784	0.0387173	0.0502329	0.127823	0.218569	0.473684
