 	sa	manière	de	t	'	'	attendre	montre	qu'	il	a	un	problème	</S>
a66	0.291252	0.133258	0.061739	0.0399493	0.0524783	0.068098	0.0636003	0.0727406	0.0598558	0.0411797	0.0285795	0.0256006	0.0305311	0.0311379
a87	0.404709	0.176785	0.0755794	0.058038	0.0459533	0.0368492	0.037934	0.037867	0.025253	0.0126653	0.0122366	0.0164401	0.0275963	0.0320936
a23	0.301066	0.166305	0.118305	0.103162	0.0797343	0.0400302	0.0308399	0.038685	0.0272826	0.0177136	0.0139823	0.014592	0.0240198	0.024283
a62	0.239188	0.196154	0.153441	0.110441	0.0746478	0.0357884	0.0248414	0.0283489	0.0190637	0.0153711	0.0162176	0.0200492	0.028839	0.0376092
a96	0.277741	0.219385	0.164	0.0942663	0.0619433	0.0302484	0.0251797	0.0241851	0.0128181	0.0126143	0.0144227	0.0171594	0.0202442	0.0257915
a88	0.176079	0.24673	0.232687	0.132021	0.0656836	0.0284632	0.0219458	0.0226989	0.0116058	0.0114897	0.0114575	0.0126018	0.0122823	0.0142541
a94	0.0680849	0.148816	0.190406	0.196159	0.12307	0.0605172	0.0418756	0.0409121	0.0275985	0.0211616	0.01967	0.0192238	0.0201057	0.0223997
a93	0.0542591	0.11689	0.177703	0.217894	0.144651	0.0761572	0.0470007	0.038251	0.0277413	0.0201555	0.0190603	0.0180883	0.0195306	0.0226186
a56	0.0660652	0.116871	0.188325	0.233496	0.152156	0.0803964	0.0414877	0.0319239	0.020877	0.0140157	0.0130814	0.0123709	0.0133655	0.0155687
a61	0.07022	0.096607	0.147007	0.244212	0.162666	0.0915881	0.0449552	0.0315805	0.0200438	0.0146996	0.0158294	0.016014	0.0196914	0.0248865
a21	0.0639963	0.0795562	0.11169	0.214032	0.163779	0.105738	0.0570168	0.0456403	0.0302314	0.0209213	0.0213953	0.0219329	0.028728	0.0353428
a56	0.046308	0.0538984	0.0702772	0.145532	0.136323	0.113815	0.0857026	0.0784077	0.0630686	0.0414105	0.0367193	0.0342853	0.0430256	0.0512259
a94	0.0206727	0.0258389	0.0347799	0.0904253	0.12366	0.131053	0.102626	0.113044	0.0891884	0.0558582	0.0475429	0.0451102	0.0563796	0.0638206
a56	0.0152503	0.0201018	0.0259913	0.0570936	0.0999997	0.150221	0.11482	0.129025	0.107838	0.0664118	0.0518802	0.0465432	0.0540079	0.0608164
a98	0.0127937	0.0138537	0.0157947	0.0344872	0.0680572	0.116829	0.109812	0.135241	0.129837	0.0885112	0.0692173	0.0606815	0.0692585	0.0756268
a15	0.0044463	0.00612908	0.00762024	0.0188821	0.039744	0.086104	0.109671	0.147086	0.157524	0.117179	0.0871581	0.0723007	0.0724031	0.0737523
a98	0.00342886	0.00412378	0.00510185	0.0136716	0.0341851	0.0788038	0.110797	0.139719	0.13784	0.120081	0.0894231	0.0778684	0.085736	0.0992206
a92	0.00500911	0.00632086	0.00681193	0.0136503	0.0296737	0.0688723	0.102341	0.132609	0.118557	0.11654	0.0883426	0.0808428	0.0969822	0.133447
a75	0.00551052	0.00520571	0.00480662	0.0102702	0.02311	0.0559069	0.0826677	0.12472	0.122037	0.131632	0.0987231	0.0862515	0.107375	0.141785
a47	0.00205192	0.0016853	0.00167005	0.00500449	0.0132105	0.0332275	0.0567351	0.102405	0.122991	0.145421	0.124536	0.110963	0.131296	0.148804
a61	0.00178544	0.00144651	0.00134282	0.00351573	0.00851824	0.0190406	0.0372498	0.0654126	0.0952738	0.137934	0.143718	0.135554	0.157173	0.192036
a47	0.00171432	0.0012055	0.00101891	0.00242551	0.00651926	0.0145319	0.0241242	0.0433143	0.0617848	0.0867879	0.121041	0.143366	0.211621	0.280545
a31	0.00230734	0.00183325	0.00157198	0.00322904	0.00756658	0.0142297	0.0240794	0.0367913	0.0478184	0.0709591	0.120132	0.149357	0.234513	0.285612
a62	0.00197504	0.00158553	0.00139372	0.00241054	0.00495524	0.00846512	0.0152852	0.0251611	0.0381971	0.061191	0.110524	0.147721	0.25011	0.331025
a96	0.00212717	0.00188744	0.00166569	0.00273077	0.00434106	0.00559892	0.0163874	0.0169052	0.0213779	0.0339558	0.0787674	0.120027	0.272956	0.421273
a90	0.00170173	0.00139425	0.00128024	0.00226537	0.00403124	0.00517301	0.0154758	0.0151885	0.0181056	0.0296098	0.070871	0.112004	0.282881	0.440019
a69	0.000171219	0.000138008	0.000132642	0.000251752	0.000652559	0.00132442	0.00436746	0.0054514	0.00922094	0.0208853	0.0634177	0.10869	0.299624	0.485672
a58	0.000530447	0.000447941	0.000405497	0.000804908	0.0022187	0.0039496	0.0110363	0.0110997	0.0144036	0.0265991	0.0673771	0.109559	0.285298	0.46627
a82	0.0114702	0.00792081	0.00510877	0.00715657	0.0102796	0.0144027	0.0324264	0.0198945	0.0205558	0.0348982	0.0691455	0.0995857	0.232187	0.434968
a87	0.10241	0.0567578	0.0375594	0.0408425	0.0459921	0.0586341	0.0776714	0.0652846	0.0537809	0.0636183	0.0665401	0.0703983	0.105056	0.155455
a23	0.291863	0.152274	0.086096	0.0590906	0.0551284	0.0446637	0.0399917	0.0419272	0.0346021	0.0333704	0.0296954	0.0322667	0.0480374	0.0509936
a99	0.0452391	0.0241748	0.013263	0.00824975	0.00908914	0.0132812	0.0308274	0.0270897	0.0357399	0.0524088	0.0991535	0.13858	0.245431	0.257472
