 	c'	est	un	garçon	plein	d'	astuce	</S>
a23	0.222254	0.133218	0.100748	0.0726984	0.0959409	0.0921317	0.0969244	0.186085
a40	0.260628	0.190413	0.138187	0.0772547	0.0893941	0.0842132	0.069471	0.090439
a26	0.44159	0.235437	0.122197	0.0716556	0.0481264	0.0351203	0.0228736	0.0230009
a38	0.500714	0.279566	0.116827	0.0502249	0.0235005	0.0127053	0.00770457	0.00875745
a24	0.376783	0.283905	0.17404	0.0838287	0.0405951	0.0194973	0.0108877	0.0104624
a71	0.327437	0.244325	0.191609	0.118616	0.063486	0.0310518	0.0133139	0.0101615
a24	0.254012	0.217671	0.202025	0.141256	0.0840882	0.0439742	0.0292248	0.027748
a25	0.195553	0.162368	0.17041	0.141222	0.119502	0.0860601	0.066548	0.0583379
a38	0.100147	0.121512	0.177919	0.159697	0.162667	0.114182	0.0717758	0.0921014
a76	0.0565917	0.0655241	0.120375	0.126749	0.198757	0.164772	0.120709	0.146522
a73	0.144409	0.127401	0.164268	0.140713	0.144981	0.113354	0.0778221	0.0870523
a30	0.0800247	0.0664501	0.0941148	0.096415	0.141714	0.174393	0.154982	0.191907
a41	0.0552073	0.0463564	0.0678321	0.0701922	0.126612	0.157784	0.196604	0.279413
a24	0.0332358	0.0241796	0.0371655	0.0488393	0.0957384	0.16983	0.23702	0.353991
a41	0.0211718	0.0150235	0.0186252	0.0241015	0.0458845	0.108837	0.282185	0.484171
a24	0.0175932	0.0128787	0.0171366	0.0224203	0.0370131	0.088957	0.251338	0.552663
a12	0.0116197	0.00785578	0.00859453	0.0105987	0.0171235	0.0405785	0.197385	0.706244
a94	0.0124185	0.00842751	0.00865693	0.0098349	0.0154269	0.03117	0.150988	0.763078
a76	0.0112838	0.00682408	0.00708162	0.00743498	0.0144182	0.0313541	0.140657	0.780946
a73	0.0144812	0.00956878	0.00987682	0.010538	0.0175097	0.0359571	0.151371	0.750698
a94	0.00783941	0.00494922	0.00571037	0.00598707	0.0148367	0.0342018	0.161997	0.764478
a41	0.0100358	0.00593932	0.00776825	0.00938993	0.0301051	0.0629268	0.200995	0.67284
a96	0.00793936	0.00539935	0.0071575	0.00867935	0.0278462	0.0679956	0.218386	0.656597
a18	0.0111847	0.00704198	0.00811147	0.00959713	0.0262863	0.058277	0.203823	0.675678
a24	0.0119592	0.00850321	0.011209	0.0143474	0.042955	0.0786863	0.204028	0.628312
a9	0.0107716	0.00797657	0.0108005	0.0153659	0.0449476	0.0819686	0.204256	0.623914
a87	0.0234317	0.0187343	0.0229908	0.0263437	0.0562226	0.0728219	0.188013	0.591442
</S>	0.0232387	0.0212817	0.0276503	0.0348462	0.078345	0.0845198	0.178428	0.551691
