 	ma	femme	s'	est	embellie	</S>
a87	0.385146	0.295578	0.195784	0.0721855	0.0339388	0.0173678
a23	0.347267	0.199853	0.164184	0.125214	0.0875237	0.075957
a87	0.251403	0.243981	0.181529	0.11349	0.0877047	0.121893
a79	0.322235	0.290711	0.167739	0.0838767	0.0628626	0.0725753
a90	0.391377	0.255087	0.0971822	0.0616492	0.0797005	0.115004
a98	0.447782	0.322773	0.116875	0.0493657	0.0351045	0.0280998
a92	0.349009	0.316801	0.142485	0.0851607	0.0588609	0.0476833
a0	0.303802	0.308649	0.168669	0.105922	0.0639461	0.0490122
a11	0.274841	0.311637	0.164114	0.108128	0.0771989	0.0640813
a75	0.224377	0.255354	0.168479	0.125591	0.116273	0.109925
a5	0.264711	0.278925	0.138749	0.109653	0.103953	0.104008
a12	0.288771	0.264875	0.138594	0.104411	0.104409	0.0989409
a75	0.142614	0.17587	0.196318	0.190086	0.158293	0.136818
a85	0.120488	0.112587	0.0950041	0.131375	0.232385	0.308161
a37	0.0993215	0.0944898	0.0910939	0.120197	0.235425	0.359472
a61	0.0605748	0.0565027	0.0772675	0.180414	0.299822	0.325419
a11	0.0186921	0.0220292	0.0438701	0.170938	0.387414	0.357056
a56	0.0049256	0.00559427	0.0126743	0.0723996	0.318704	0.585703
a13	0.00491428	0.00582592	0.0149313	0.0888773	0.341886	0.543565
a38	0.00156722	0.00211397	0.00732836	0.0472298	0.229047	0.712714
a93	0.00173582	0.00213973	0.00793245	0.0452938	0.178166	0.764733
a66	0.0008673	0.00105369	0.00365773	0.027865	0.182822	0.783735
a44	0.00101556	0.0010364	0.00322104	0.0230711	0.159356	0.812299
a26	0.00106435	0.00111827	0.00376459	0.0252383	0.155444	0.81337
a57	0.0209518	0.0159335	0.0241133	0.0689896	0.211415	0.658597
a87	0.0838097	0.0544684	0.0553967	0.0791641	0.173645	0.553516
a97	0.116212	0.0831933	0.0760098	0.112617	0.23188	0.380089
a87	0.0655905	0.04733	0.0512033	0.0953062	0.270815	0.469755
</S>	0.0286343	0.0270226	0.0383241	0.08143	0.252247	0.572342
