 	cette	manière	d'	écrire	n'	est	pas	de	mon	père	</S>
a85	0.173466	0.110155	0.0908135	0.102489	0.154537	0.156229	0.0968469	0.0461474	0.0289327	0.021494	0.0188895
a66	0.253087	0.123722	0.182204	0.1578	0.0990195	0.0694038	0.0449664	0.0272779	0.0184045	0.0122525	0.0118622
a87	0.29968	0.156203	0.165314	0.0978536	0.0652414	0.0393405	0.0239896	0.0216412	0.0268009	0.0420469	0.0618896
a23	0.271858	0.218842	0.199223	0.139895	0.0495868	0.0307086	0.019894	0.0158973	0.015233	0.0172391	0.0216225
a12	0.272351	0.251858	0.208896	0.125362	0.0341848	0.0196654	0.0160398	0.015816	0.0157605	0.0172519	0.0228141
a18	0.232133	0.179999	0.138314	0.11663	0.0546802	0.0427184	0.0404717	0.0459541	0.0457071	0.0510754	0.0523167
a21	0.166595	0.230733	0.18467	0.154348	0.0701671	0.0423293	0.0308502	0.0291757	0.0272414	0.0313247	0.0325659
a12	0.167562	0.223751	0.221898	0.188048	0.08376	0.0362391	0.0185637	0.0145952	0.0130561	0.0154406	0.017086
a47	0.101455	0.172645	0.225831	0.236961	0.107246	0.0470999	0.0249981	0.0197622	0.0179219	0.0217191	0.0243608
a31	0.100614	0.160024	0.192368	0.226291	0.135128	0.0617083	0.0276836	0.0205406	0.0200333	0.0247538	0.0308555
a47	0.0901114	0.113218	0.163392	0.216874	0.167636	0.0825071	0.0365245	0.0261598	0.0256725	0.0343649	0.0435398
a21	0.0598368	0.0733662	0.123476	0.19709	0.192454	0.127074	0.059812	0.0398887	0.0372112	0.041711	0.0480809
a5	0.0482332	0.0494871	0.0944235	0.195501	0.221439	0.159214	0.0708553	0.039649	0.0345931	0.0392481	0.0473559
a23	0.0344961	0.0373483	0.0581988	0.158294	0.2349	0.148745	0.073916	0.0526209	0.0524961	0.0647325	0.0842521
a75	0.0259426	0.0212554	0.0363778	0.0840508	0.224755	0.174693	0.0846015	0.0588515	0.0644732	0.0923868	0.132612
a85	0.0131094	0.0120326	0.020649	0.0574057	0.149519	0.154548	0.111399	0.0920409	0.0936528	0.123156	0.172489
a92	0.0160924	0.0129978	0.0168306	0.0376893	0.136765	0.141562	0.106942	0.0967884	0.100413	0.131021	0.202899
a85	0.00938625	0.00916372	0.0125948	0.0308809	0.0853013	0.107324	0.0929149	0.0889174	0.104429	0.170362	0.288725
a6	0.0127128	0.010133	0.0115595	0.0224164	0.0879445	0.11763	0.101321	0.0976906	0.111219	0.164257	0.263116
a36	0.00732165	0.00756389	0.01186	0.0232167	0.0733903	0.121446	0.122854	0.103084	0.10646	0.163882	0.258921
a6	0.0183463	0.0137268	0.0164522	0.0164972	0.03164	0.0510212	0.0562858	0.0566098	0.078902	0.199987	0.460532
a36	0.00914445	0.00691771	0.00911442	0.0127103	0.0357694	0.0630859	0.0719296	0.0665982	0.0895012	0.20432	0.430908
a2	0.0210081	0.0130977	0.0138786	0.00843549	0.0187132	0.0228937	0.0262005	0.0432295	0.0923245	0.235547	0.504672
a57	0.036198	0.0217816	0.0188414	0.0117743	0.0219628	0.0233426	0.026362	0.0534483	0.117077	0.239015	0.430197
a87	0.0478889	0.0226028	0.0253061	0.0184528	0.0372663	0.0518545	0.0589108	0.0863023	0.138217	0.217918	0.29528
a23	0.13883	0.0562806	0.0545166	0.0259957	0.055406	0.0835513	0.0981237	0.105003	0.119324	0.129874	0.133095
a87	0.0426237	0.0161391	0.0184292	0.00886698	0.0276351	0.0591214	0.114283	0.154602	0.158978	0.16646	0.232861
</S>	0.0178042	0.00664755	0.00804488	0.00516118	0.0250607	0.0481794	0.0862999	0.146574	0.176269	0.208611	0.271348
