 	chaque	matin	le	père	de	ngala	part	au	travail	</S>
a66	0.153034	0.0963857	0.0856549	0.10487	0.135558	0.17358	0.136197	0.0720334	0.0272324	0.0154551
a87	0.0997508	0.0831043	0.0863677	0.0814492	0.0826918	0.109993	0.103287	0.127364	0.119022	0.10697
a23	0.30901	0.18885	0.143651	0.0982163	0.0779878	0.0611869	0.0318104	0.0260572	0.0270234	0.0362072
a83	0.413176	0.232119	0.147201	0.0708489	0.0440305	0.0251008	0.0119822	0.0132274	0.0178711	0.0244435
a50	0.271453	0.195155	0.143694	0.0870429	0.0662989	0.0475601	0.0355644	0.0463056	0.048568	0.0583585
a31	0.295576	0.288552	0.178452	0.0803916	0.051309	0.027642	0.0209721	0.0218572	0.0184487	0.0167994
a62	0.208819	0.273155	0.207922	0.112651	0.0780595	0.0434657	0.025422	0.0210427	0.0154085	0.0140536
a75	0.184894	0.262637	0.206885	0.118884	0.0905417	0.0515235	0.0285638	0.0229659	0.0166877	0.0164174
a12	0.169863	0.206682	0.16458	0.113374	0.102392	0.0812554	0.0626479	0.044985	0.0274157	0.0268049
a31	0.146633	0.195064	0.175956	0.132242	0.129627	0.0922124	0.0506073	0.0324496	0.0222311	0.0229776
a18	0.0997938	0.141591	0.154045	0.145912	0.157991	0.123994	0.0705578	0.0409132	0.0298435	0.0353585
a0	0.0762118	0.123299	0.149861	0.153994	0.152284	0.122193	0.0776598	0.051661	0.0411124	0.0517244
a90	0.0579762	0.106637	0.142124	0.155807	0.152607	0.13468	0.0838306	0.0593895	0.0494774	0.0574709
a69	0.0399384	0.0635006	0.104635	0.148796	0.18265	0.187234	0.130027	0.0647571	0.0368212	0.0416412
a58	0.0325736	0.047475	0.0782852	0.131352	0.174202	0.204316	0.147706	0.0812696	0.0460483	0.056772
a57	0.0256073	0.0400544	0.0557657	0.0934852	0.128369	0.188115	0.156004	0.109276	0.08981	0.113513
a3	0.0381422	0.0443635	0.0551239	0.08469	0.123066	0.171351	0.155835	0.117016	0.103471	0.10694
a87	0.0574923	0.0504292	0.058083	0.0787309	0.10743	0.156414	0.157831	0.123978	0.1094	0.100211
a23	0.0965695	0.0765864	0.0802294	0.0848359	0.0944416	0.116109	0.123553	0.119327	0.112268	0.0960789
a40	0.0374801	0.0252271	0.031433	0.0430557	0.0632439	0.0929269	0.135636	0.177274	0.18004	0.213684
a47	0.0168456	0.0234446	0.0361856	0.0545649	0.0711545	0.105545	0.165223	0.206916	0.147239	0.172883
a37	0.00518931	0.0113234	0.0223014	0.0408869	0.0531547	0.0865404	0.159489	0.266151	0.1998	0.155165
a75	0.00847429	0.0141649	0.0238667	0.0405668	0.0529412	0.08777	0.141212	0.245864	0.212905	0.172235
a85	0.005211	0.00808561	0.0148796	0.0311006	0.0455075	0.0825161	0.132559	0.243457	0.218008	0.218676
a47	0.00307326	0.00460697	0.00943428	0.0215137	0.0329361	0.0624929	0.116982	0.237112	0.254066	0.257783
a85	0.00204512	0.00282386	0.00517055	0.0118162	0.0192416	0.0427524	0.105236	0.218403	0.264176	0.328334
a6	0.00195438	0.002881	0.00554923	0.0124558	0.0181792	0.0345105	0.0811864	0.173381	0.281185	0.388717
a36	0.00397924	0.00540757	0.00929001	0.0194807	0.029487	0.0609041	0.109867	0.172312	0.233672	0.3556
a61	0.00433161	0.0052085	0.00624485	0.00902594	0.0114719	0.023957	0.0570939	0.126795	0.249282	0.506589
a62	0.00176722	0.00254919	0.0036602	0.0061839	0.00904923	0.0211955	0.0551013	0.131009	0.278595	0.490889
a31	0.00163406	0.0024123	0.00284167	0.00391547	0.00554238	0.0135619	0.0395078	0.116645	0.288757	0.525183
a0	0.00140831	0.00224522	0.00260199	0.00357545	0.00532086	0.0141613	0.0403055	0.122175	0.289695	0.518512
a75	0.00247474	0.00439619	0.00464676	0.0058256	0.00686883	0.0133802	0.0250629	0.0727554	0.22908	0.63551
a6	0.000756409	0.00114265	0.00147275	0.00209918	0.0026974	0.00666562	0.0190124	0.065674	0.231207	0.669273
a36	0.000861564	0.00130325	0.00167438	0.00225334	0.00286482	0.00667916	0.0196814	0.0694858	0.236776	0.658421
a26	0.00301477	0.00474536	0.00472729	0.00507124	0.0053468	0.00979684	0.0211882	0.0617397	0.216449	0.66792
a57	0.0456535	0.0407249	0.0386738	0.0380202	0.0331816	0.0357066	0.0537641	0.0951081	0.212553	0.406615
a87	0.209095	0.0813105	0.0596716	0.0473173	0.0379992	0.0369817	0.0453518	0.069506	0.146827	0.26594
a23	0.206453	0.08613	0.0573852	0.042086	0.0352911	0.0369703	0.0440333	0.0725025	0.150011	0.269137
a87	0.129661	0.0762139	0.0503282	0.033127	0.0210345	0.0245711	0.0255702	0.0574159	0.159567	0.422511
a23	0.036395	0.0251971	0.0186946	0.0146961	0.0114445	0.0166524	0.0219168	0.0567985	0.188745	0.60946
a99	0.0440193	0.0353781	0.0298022	0.0246839	0.0192654	0.0293658	0.0320059	0.0711056	0.191287	0.523087
a26	0.0421394	0.0304268	0.0327093	0.0395354	0.0381487	0.0529934	0.0608837	0.102434	0.194995	0.405734
</S>	0.0303795	0.0269638	0.031532	0.0404857	0.0399206	0.0508019	0.0628291	0.100254	0.199972	0.416861
