 	le	bonheur	fait	grossir	l'	homme	</S>
a66	0.294946	0.324371	0.222507	0.119655	0.0180548	0.0110295	0.00943669
a87	0.567825	0.259079	0.0596876	0.081398	0.0146744	0.00897688	0.00835976
a23	0.50459	0.288511	0.132508	0.0400447	0.0119934	0.0107549	0.0115977
a87	0.401269	0.236504	0.180011	0.0950773	0.0229699	0.0262066	0.0379628
a23	0.440088	0.229857	0.172344	0.100535	0.0204735	0.0173328	0.0193687
a18	0.347838	0.15656	0.175279	0.19022	0.0445217	0.0398873	0.0456947
a43	0.23634	0.220809	0.330231	0.17382	0.0146716	0.0110755	0.0130523
a21	0.218196	0.186205	0.290054	0.244535	0.0312314	0.0163232	0.0134549
a47	0.132067	0.135955	0.173527	0.426479	0.0703472	0.0345751	0.0270502
a21	0.123834	0.121849	0.182912	0.369135	0.102728	0.0539112	0.0456315
a47	0.073016	0.0792522	0.115574	0.418519	0.169134	0.077921	0.0665842
a88	0.0851058	0.082154	0.171613	0.360918	0.135173	0.0823194	0.082717
a47	0.0420064	0.0268911	0.0694728	0.32339	0.239801	0.165422	0.133017
a62	0.0381239	0.026589	0.0758833	0.290351	0.227806	0.164603	0.176644
a31	0.013917	0.00989135	0.0300462	0.0866098	0.229502	0.290048	0.339986
a0	0.0057996	0.00412552	0.0115174	0.0396785	0.20015	0.317259	0.42147
a75	0.00278168	0.00210616	0.00509009	0.0162655	0.156654	0.314084	0.503019
a85	0.000424667	0.000277472	0.000514405	0.00178494	0.0587598	0.276408	0.661831
a6	0.000426921	0.000186212	0.000325909	0.000842046	0.0372799	0.246451	0.714488
a37	0.000258567	0.000103416	0.000161846	0.000628401	0.032692	0.227654	0.738502
a44	0.00101545	0.000417791	0.000318877	0.000655093	0.0323339	0.282985	0.682273
a13	0.00139129	0.000815613	0.000688064	0.00174078	0.0303419	0.208271	0.756751
a3	0.00386523	0.00166214	0.0018051	0.00583194	0.0541875	0.220124	0.712524
a87	0.137172	0.0963415	0.0672393	0.0604821	0.0970034	0.175183	0.366579
a23	0.34808	0.25137	0.128447	0.0705206	0.0518328	0.0631574	0.0865915
a87	0.0596825	0.0391848	0.0178021	0.0133209	0.0415264	0.240915	0.587568
</S>	0.00815255	0.00451072	0.00246222	0.00241323	0.0483309	0.262992	0.671139
