 	cette	manière	de	s'	étonner	est	celle	d'	un	innocent	</S>
a66	0.0696341	0.069689	0.122399	0.153181	0.170269	0.167249	0.142921	0.0636396	0.0230037	0.0121808	0.00583353
a87	0.207708	0.153863	0.169451	0.143089	0.127562	0.0733831	0.0472089	0.0227274	0.0227033	0.0175455	0.014759
a97	0.186488	0.129055	0.103642	0.126156	0.168682	0.062839	0.0734304	0.0619422	0.0454332	0.0273996	0.0149331
a87	0.152129	0.13617	0.113135	0.131649	0.205556	0.0781768	0.0598928	0.0383151	0.0310615	0.030885	0.0230309
a97	0.141032	0.12476	0.108245	0.131762	0.199791	0.0899732	0.0748319	0.0471252	0.0343102	0.0287187	0.0194519
a99	0.144891	0.128429	0.12439	0.161788	0.196595	0.0742761	0.0544138	0.0409987	0.0340877	0.024368	0.0157631
a50	0.151331	0.142895	0.136507	0.188288	0.185706	0.0681665	0.0438881	0.0344357	0.0267859	0.0132141	0.00878321
a83	0.210788	0.158042	0.128062	0.167686	0.14635	0.05367	0.0467196	0.040473	0.0303333	0.011211	0.00666489
a0	0.232028	0.167904	0.115683	0.153936	0.171702	0.0525186	0.0449433	0.0330192	0.0214366	0.00479918	0.00202932
a62	0.177001	0.164937	0.124359	0.148757	0.140962	0.0678207	0.071828	0.0513418	0.034863	0.0124591	0.00567127
a88	0.127779	0.14437	0.159196	0.173144	0.160404	0.0871996	0.0697534	0.0392325	0.0235952	0.0094347	0.00589178
a62	0.0872941	0.111277	0.134968	0.155948	0.167421	0.0997269	0.0988408	0.064913	0.0411012	0.0211213	0.0173887
a21	0.0792925	0.097167	0.132637	0.164269	0.193025	0.116198	0.0979235	0.0497253	0.0307858	0.0194125	0.0195651
a12	0.0505878	0.062251	0.0979543	0.138882	0.189646	0.187987	0.140016	0.0473025	0.0316806	0.0268922	0.0268005
a62	0.049235	0.057803	0.0775217	0.134013	0.231835	0.186432	0.131753	0.0383208	0.0244136	0.0297166	0.0389577
a21	0.0478432	0.0515329	0.0676384	0.117251	0.193507	0.159588	0.144191	0.0616907	0.0447119	0.0548239	0.0572226
a92	0.0303768	0.0372931	0.0666771	0.119678	0.203267	0.180899	0.1404	0.0598605	0.044427	0.0531393	0.0639813
a37	0.0133175	0.0199502	0.046837	0.0947668	0.176016	0.162611	0.135332	0.0790024	0.0729705	0.0930632	0.106133
a93	0.0174643	0.0187445	0.036149	0.0728376	0.143314	0.14248	0.136908	0.107044	0.0995952	0.111459	0.114004
a34	0.0167345	0.017153	0.0312314	0.0616705	0.109429	0.105296	0.115206	0.118933	0.142238	0.156287	0.125823
a62	0.00824055	0.00769945	0.0130068	0.0287938	0.061985	0.0804797	0.115496	0.148081	0.195118	0.203014	0.138087
a88	0.00209829	0.0020233	0.00269402	0.00640583	0.0172202	0.0367811	0.0845496	0.14583	0.239775	0.277267	0.185356
a62	0.00108547	0.000905948	0.0013779	0.00336433	0.0120519	0.021904	0.0570662	0.0831425	0.133906	0.355919	0.329277
a70	0.00149527	0.00139694	0.00176205	0.00440178	0.013084	0.0308339	0.0779271	0.128619	0.178869	0.287247	0.274364
a93	0.000687243	0.000632862	0.000778322	0.0019402	0.00663134	0.0183254	0.051203	0.0878606	0.149429	0.302054	0.380457
a62	0.000309422	0.000242099	0.000323144	0.000642331	0.00194295	0.00747478	0.027915	0.0650192	0.137986	0.339057	0.419088
a88	0.000332616	0.000264431	0.000323418	0.000599851	0.0019024	0.00663117	0.0265525	0.0614526	0.128112	0.290877	0.482952
a50	0.000325164	0.000186786	0.000260785	0.00042123	0.00159662	0.00470307	0.0254119	0.0466315	0.0890594	0.247865	0.583538
a62	0.00254357	0.00157624	0.00250268	0.00283526	0.00559211	0.0157603	0.0495837	0.0719923	0.107335	0.226206	0.514073
a18	0.000530986	0.0003343	0.000497464	0.00072881	0.00204914	0.00602598	0.0265367	0.0466233	0.0925347	0.250195	0.573944
a25	0.0018193	0.00130855	0.00233448	0.00295191	0.00505449	0.0135653	0.0377765	0.056511	0.0936017	0.208488	0.576589
a3	0.0227413	0.0159927	0.0220457	0.0218956	0.0248285	0.0391635	0.0701184	0.0782195	0.0969478	0.235471	0.372576
a97	0.0407618	0.0259452	0.0297464	0.0316132	0.0491475	0.0601913	0.100815	0.0907168	0.105026	0.21802	0.248016
a23	0.0677539	0.0431036	0.0476961	0.0573647	0.10552	0.111383	0.112327	0.0800244	0.0826498	0.140876	0.151302
a97	0.0105125	0.00531374	0.00429523	0.00528475	0.00946828	0.0121562	0.031528	0.058099	0.12224	0.317505	0.423598
a87	0.00964667	0.00656245	0.00730369	0.0107703	0.022495	0.0233486	0.0300246	0.0402848	0.0830065	0.274699	0.491859
</S>	0.0149487	0.0123875	0.0141455	0.0197382	0.0373365	0.0329677	0.0362517	0.0418117	0.0704919	0.240628	0.479293
