 	ta	part	de	nourriture	est	dans	la	cuisine	</S>
a66	0.391892	0.243229	0.147875	0.0784057	0.0471056	0.0332597	0.025565	0.0172546	0.0154125
a87	0.313161	0.25366	0.151374	0.0871551	0.0633	0.0426568	0.0289991	0.0273149	0.0323781
a40	0.50235	0.287477	0.109135	0.0410232	0.0176371	0.0113106	0.00792722	0.00873077	0.0144087
a6	0.480246	0.269002	0.112517	0.0506024	0.0279672	0.0172121	0.0149129	0.0129133	0.0146275
a98	0.219563	0.230893	0.191891	0.133744	0.0748419	0.0465099	0.0395079	0.0308649	0.0321844
a79	0.154729	0.211593	0.225276	0.197005	0.117991	0.0504629	0.0231326	0.0102643	0.00954615
a37	0.119056	0.182876	0.225938	0.205057	0.132527	0.0622834	0.0361662	0.0181709	0.0179253
a75	0.113594	0.14604	0.189991	0.186176	0.15926	0.0839832	0.0552302	0.0334937	0.032231
a5	0.0595233	0.093593	0.150079	0.190045	0.190652	0.123225	0.0886019	0.0534065	0.050874
a12	0.0820887	0.0952952	0.135075	0.150813	0.165315	0.119565	0.0982344	0.0737229	0.079891
a47	0.0623832	0.0622955	0.0869642	0.11117	0.156415	0.15743	0.145122	0.105439	0.112781
a88	0.0329245	0.0288243	0.0386761	0.0511109	0.109519	0.170008	0.21617	0.170969	0.181799
a31	0.0176542	0.013677	0.0162318	0.0205406	0.0547787	0.121914	0.232808	0.237111	0.285286
a24	0.0130086	0.00936293	0.00954699	0.0115434	0.0301468	0.0814711	0.203259	0.269575	0.372087
a0	0.00527085	0.00415536	0.00363384	0.00392298	0.00792861	0.0228685	0.0720295	0.207125	0.673065
a75	0.00767962	0.00608628	0.00533389	0.00560067	0.00916402	0.0248821	0.0674811	0.210467	0.663305
a56	0.00120008	0.00101791	0.00107739	0.00201983	0.00628721	0.0265923	0.10176	0.269217	0.590828
a44	0.00195793	0.00195276	0.00207108	0.00329251	0.00867696	0.0310219	0.0936127	0.24936	0.608054
a13	0.00149007	0.00142092	0.00129713	0.00191663	0.00497681	0.0187592	0.0606174	0.199853	0.709669
a9	0.00522275	0.0053077	0.00552649	0.00776957	0.0164747	0.0416612	0.0948561	0.236727	0.586454
a87	0.158523	0.0851908	0.0580365	0.0573059	0.0723872	0.0923766	0.117205	0.151315	0.20766
a23	0.355469	0.193486	0.104368	0.0704535	0.0594945	0.0561171	0.0517523	0.0504884	0.0583708
a87	0.30877	0.149335	0.0730705	0.0491115	0.0503664	0.062675	0.0717497	0.0877199	0.147201
</S>	0.0852918	0.0562095	0.0356427	0.0355186	0.0506723	0.0795691	0.104912	0.158805	0.393379
