 	il	aime	plaisanter	avec	les	petits	enfants	</S>
a66	0.527418	0.206881	0.0911194	0.0282958	0.0204006	0.0208026	0.0433147	0.0617687
a10	0.265225	0.112855	0.100928	0.0586906	0.0456235	0.0761055	0.130489	0.210084
a87	0.319847	0.214451	0.118386	0.0426345	0.0330185	0.0628494	0.0845356	0.124278
a97	0.21948	0.172669	0.130399	0.0626651	0.0586311	0.0875938	0.118242	0.150321
a79	0.195694	0.158041	0.114196	0.0650898	0.0690581	0.0929327	0.139684	0.165304
a20	0.418088	0.125859	0.0800531	0.0287573	0.0308964	0.052398	0.102989	0.160959
a6	0.537549	0.178311	0.0842956	0.0333459	0.0313475	0.0379047	0.048174	0.0490729
a36	0.514689	0.195451	0.104135	0.0374392	0.0342522	0.0342369	0.0399738	0.0398227
a12	0.47038	0.247928	0.129928	0.036934	0.0292669	0.0272198	0.0286839	0.0296596
a61	0.432818	0.248274	0.142042	0.0593826	0.0365196	0.0294123	0.025834	0.0257175
a21	0.39884	0.26026	0.144573	0.0707789	0.0410757	0.0315392	0.026981	0.0259518
a6	0.292	0.249852	0.191775	0.0990137	0.063826	0.040531	0.0320848	0.0309172
a36	0.144419	0.160546	0.17458	0.139205	0.116652	0.0868956	0.0858035	0.0918979
a26	0.149579	0.200622	0.195432	0.13228	0.0956799	0.0690503	0.0734513	0.0839052
a44	0.160011	0.2703	0.253992	0.105893	0.0648907	0.04824	0.0436746	0.0529978
a11	0.180588	0.23577	0.19198	0.13271	0.0813842	0.0593525	0.0541385	0.0640767
a75	0.120524	0.205496	0.227928	0.149442	0.098576	0.0659095	0.0617486	0.0703765
a56	0.0308852	0.0592084	0.125719	0.142834	0.175617	0.17033	0.143944	0.151462
a44	0.0539887	0.112492	0.204754	0.162934	0.154274	0.116702	0.0958145	0.0990404
a70	0.0553169	0.113746	0.206547	0.173607	0.151505	0.115416	0.0902404	0.0936226
a11	0.0306649	0.0760049	0.198422	0.211005	0.177073	0.121885	0.0907938	0.0941502
a21	0.0280692	0.0644353	0.187949	0.229274	0.182495	0.112153	0.0881855	0.107438
a85	0.0153364	0.0355101	0.125396	0.175853	0.180946	0.155548	0.143883	0.167527
a47	0.0110633	0.0232053	0.0917907	0.126543	0.148149	0.171683	0.192875	0.23469
a36	0.00585992	0.0141071	0.0677738	0.161978	0.220807	0.188293	0.158718	0.182463
a44	0.00689151	0.0106656	0.0403278	0.123508	0.185548	0.159241	0.172775	0.301043
a4	0.00432984	0.0076945	0.0341281	0.113202	0.182848	0.196863	0.198358	0.262576
a53	0.00345787	0.00505952	0.0171469	0.0694922	0.142724	0.192117	0.23124	0.338763
a94	0.00328666	0.00550918	0.0222764	0.0976504	0.176467	0.227916	0.21577	0.251124
a98	0.00182225	0.00275399	0.00670432	0.0306993	0.0837473	0.15324	0.266904	0.454129
a47	0.000656894	0.00143219	0.00856321	0.0446411	0.108652	0.210498	0.250226	0.375331
a36	0.000396055	0.000879381	0.00665033	0.0354303	0.096349	0.188772	0.273135	0.398387
a47	0.0010006	0.0011537	0.00202454	0.00937306	0.0312156	0.0879087	0.248899	0.618424
a6	0.000400669	0.000546165	0.0020287	0.0122905	0.0449765	0.134771	0.31807	0.486916
a47	0.000511232	0.000781225	0.00271785	0.0151955	0.0464206	0.130858	0.314204	0.489311
a6	0.000431307	0.000551927	0.00175192	0.00827407	0.0331879	0.119415	0.30301	0.533378
a37	0.000265035	0.000413634	0.00176348	0.0103494	0.0358306	0.130268	0.330016	0.491094
a61	0.00168502	0.00203282	0.00361871	0.0122008	0.0360352	0.11413	0.28998	0.540318
a0	0.00171208	0.00210754	0.00320081	0.0103308	0.0298262	0.0992259	0.291299	0.562297
a9	0.00168987	0.00241371	0.00386272	0.0109387	0.0296131	0.0975812	0.270783	0.583118
a97	0.0140073	0.0134064	0.009798	0.0355205	0.0939412	0.202273	0.214196	0.416858
a87	0.0596404	0.04812	0.0272272	0.0700845	0.107117	0.198796	0.187784	0.301231
a97	0.0782742	0.0597107	0.0396837	0.0949471	0.118206	0.20026	0.183984	0.224934
</S>	0.0283915	0.0234288	0.0359121	0.0873612	0.0949684	0.206605	0.221633	0.301699
