 	il	y	a	l'	inondation	à	mossaka	</S>
a66	0.25055	0.238871	0.170808	0.11627	0.13605	0.058193	0.0178121	0.0114457
a87	0.239658	0.228667	0.170556	0.126468	0.123459	0.0670718	0.025076	0.019044
a23	0.291043	0.293751	0.212588	0.108745	0.0596322	0.0151924	0.00878809	0.0102601
a20	0.305818	0.263635	0.160011	0.10291	0.0870741	0.0366026	0.0209906	0.0229593
a44	0.34261	0.245949	0.146871	0.088203	0.085003	0.0404491	0.0248139	0.0261013
a69	0.177414	0.215195	0.202505	0.164177	0.130795	0.0620674	0.0249703	0.0228755
a53	0.145015	0.187938	0.201923	0.185274	0.128968	0.0825812	0.0358415	0.0324594
a4	0.0955898	0.127871	0.174834	0.193178	0.128729	0.116758	0.0828517	0.0801882
a18	0.0899096	0.108342	0.163035	0.182983	0.113205	0.102165	0.110401	0.129959
a53	0.0660774	0.0749964	0.133652	0.178664	0.118182	0.107722	0.133878	0.186829
a69	0.0541552	0.0563038	0.101986	0.150515	0.117227	0.121839	0.170381	0.227592
a20	0.0410648	0.0413083	0.0751852	0.135442	0.134949	0.141463	0.184762	0.245826
a32	0.0342631	0.0342132	0.0494631	0.0919686	0.130021	0.171377	0.210108	0.278585
a54	0.021285	0.0193916	0.0258032	0.0492943	0.0865339	0.140796	0.238296	0.4186
a36	0.0378714	0.0319036	0.0413874	0.0769779	0.127236	0.172314	0.212971	0.299339
a2	0.0298742	0.0227266	0.0235886	0.0425056	0.0790186	0.131955	0.244018	0.426313
a57	0.0199828	0.0168968	0.0168141	0.0267982	0.0546183	0.0972449	0.250754	0.516891
a99	0.0902172	0.0693579	0.0525228	0.050405	0.0608546	0.106081	0.223331	0.34723
a97	0.24743	0.177036	0.102539	0.0707164	0.0677085	0.088667	0.11297	0.132934
a87	0.26026	0.186931	0.111603	0.0779949	0.0752773	0.0923807	0.0921432	0.10341
a23	0.253364	0.173432	0.109639	0.0903335	0.0944222	0.100456	0.0868602	0.0914931
a10	0.232018	0.179107	0.10859	0.084003	0.0870603	0.103701	0.0976013	0.10792
a87	0.153202	0.0860427	0.0577531	0.0664695	0.0764237	0.124191	0.186301	0.249617
</S>	0.108002	0.0599415	0.0357996	0.0344955	0.03676	0.0832999	0.247242	0.39446
