 	qui	est-ce	qui	chante	là	</S>
a84	0.277101	0.179382	0.138013	0.141252	0.14548	0.118772
a82	0.354234	0.253281	0.172447	0.101292	0.0767433	0.0420023
a38	0.358174	0.234019	0.172414	0.101758	0.0773701	0.0562647
a18	0.382038	0.313726	0.182664	0.061842	0.0322337	0.0274963
a83	0.371804	0.27565	0.166491	0.0748681	0.0495315	0.0616558
a93	0.383547	0.283606	0.158677	0.0754957	0.0486374	0.0500381
a34	0.251508	0.208714	0.143454	0.13349	0.126599	0.136235
a62	0.124822	0.134958	0.139972	0.189147	0.203805	0.207296
a12	0.0833686	0.100579	0.126785	0.215179	0.25668	0.217408
a70	0.0591706	0.0778253	0.112304	0.220064	0.286644	0.243991
a90	0.0334029	0.051211	0.0907954	0.218648	0.316483	0.28946
a69	0.0309671	0.0577018	0.11116	0.240694	0.294648	0.26483
a53	0.0192367	0.0334981	0.0788473	0.218085	0.311741	0.338592
a93	0.0222673	0.0356457	0.0780529	0.208371	0.309372	0.346291
a70	0.0139301	0.0216615	0.056461	0.179921	0.329378	0.398648
a44	0.00677346	0.0101706	0.0336683	0.141811	0.330302	0.477275
a37	0.00560359	0.00803975	0.0261645	0.122486	0.317034	0.520672
a66	0.00498978	0.00573008	0.0145767	0.0757047	0.271722	0.627277
a9	0.0197592	0.0186544	0.0297045	0.081941	0.249295	0.600646
a3	0.055718	0.0492056	0.0658113	0.13393	0.280715	0.41462
a97	0.0822364	0.0728544	0.0866753	0.158618	0.273133	0.326484
a38	0.126719	0.114603	0.129381	0.166034	0.214521	0.248742
a9	0.141579	0.0927386	0.124529	0.182432	0.217239	0.241482
a30	0.195231	0.109765	0.125629	0.155415	0.190403	0.223557
</S>	0.221418	0.115361	0.11452	0.146977	0.182263	0.219461
