 	on	a	fait	courir	le	bruit	de	sa	mort	</S>
a23	0.195727	0.114933	0.0738207	0.0865776	0.0706987	0.0735626	0.0792732	0.0842334	0.0939646	0.12721
a87	0.238552	0.141484	0.120415	0.111352	0.0829509	0.0562626	0.0496287	0.0545796	0.0613239	0.0834509
a10	0.221527	0.184396	0.158719	0.117281	0.0724339	0.0426599	0.0409381	0.0439848	0.050271	0.0677895
a87	0.252229	0.218972	0.17713	0.126586	0.0503568	0.0229376	0.0237901	0.0294525	0.0391141	0.0594319
a23	0.220796	0.172241	0.139549	0.0954136	0.0592376	0.0366518	0.0486502	0.0594964	0.0727005	0.095264
a40	0.26887	0.237649	0.172524	0.116086	0.0399894	0.0163875	0.0210112	0.0276562	0.0394511	0.0603755
a30	0.353127	0.272742	0.155158	0.0949635	0.0524098	0.0241427	0.0145718	0.010288	0.0101819	0.0124144
a35	0.305028	0.272469	0.173622	0.117895	0.0647831	0.0289329	0.0156507	0.00874033	0.00668459	0.00619394
a61	0.216027	0.194591	0.167031	0.154999	0.104212	0.0624154	0.0450596	0.0259182	0.0169881	0.012759
a35	0.199105	0.176819	0.163841	0.152354	0.118814	0.0751968	0.048979	0.0278058	0.0200832	0.0170025
a41	0.17679	0.146348	0.146888	0.15544	0.136481	0.0879536	0.0645355	0.0379417	0.026273	0.0213496
a35	0.179945	0.151029	0.150045	0.157484	0.130582	0.0886849	0.061713	0.0363115	0.0243192	0.0198867
a26	0.135341	0.122032	0.136267	0.163767	0.151056	0.107648	0.0763084	0.0463208	0.0325512	0.0287087
a43	0.117555	0.105898	0.131288	0.177537	0.152757	0.122223	0.0860287	0.0494212	0.0311291	0.0261632
a75	0.0892148	0.0892971	0.119194	0.166143	0.158837	0.138194	0.101009	0.0637355	0.0402829	0.0340918
a35	0.0894748	0.0798389	0.0980117	0.12207	0.137204	0.144129	0.109072	0.0884498	0.0689391	0.0628114
a2	0.070884	0.0652021	0.0747717	0.100457	0.136805	0.158825	0.136365	0.106867	0.0784306	0.071392
a11	0.0306565	0.0296292	0.034924	0.0564242	0.0964232	0.148137	0.16452	0.162824	0.133105	0.143357
a75	0.0277215	0.0303491	0.0413191	0.062393	0.10004	0.155234	0.157315	0.15358	0.128481	0.143568
a14	0.0254718	0.0264238	0.0328563	0.0465212	0.0863265	0.15734	0.162901	0.164209	0.144005	0.153946
a35	0.0204582	0.0240414	0.0308256	0.0440134	0.0677947	0.130254	0.152301	0.174966	0.161383	0.193963
a41	0.0243024	0.0267805	0.0309186	0.0380827	0.0542648	0.0931715	0.13461	0.180036	0.185945	0.231889
a14	0.0242826	0.0265192	0.031235	0.043386	0.0605429	0.107679	0.139125	0.170855	0.173156	0.22322
a35	0.0237529	0.0262104	0.031557	0.0414987	0.0561657	0.0984806	0.125097	0.164829	0.183057	0.249352
a21	0.0198042	0.0211365	0.0254138	0.031626	0.0419571	0.0708271	0.0936062	0.149249	0.219204	0.327175
a61	0.0139485	0.0135604	0.0172802	0.0277457	0.0331656	0.0542301	0.0717662	0.121024	0.219882	0.427397
a27	0.0135403	0.0127971	0.0158889	0.0232037	0.0286374	0.0466249	0.062267	0.108123	0.220511	0.468406
a11	0.00917092	0.00820271	0.0100266	0.0142629	0.0207134	0.0399719	0.0666609	0.130804	0.236125	0.464062
a94	0.00702781	0.00542703	0.00577214	0.00727762	0.0117761	0.0265581	0.0552796	0.122605	0.247223	0.511053
a35	0.008218	0.00628431	0.0067426	0.00853774	0.0126826	0.0264199	0.0520188	0.109031	0.231515	0.53855
a98	0.00950885	0.00672247	0.00649162	0.00737968	0.0118351	0.0237028	0.0570016	0.11432	0.23589	0.527148
a73	0.00608646	0.00451723	0.00478119	0.00610929	0.0102814	0.0185371	0.0434068	0.0956504	0.231992	0.578639
a76	0.00530244	0.00415668	0.00390573	0.00394664	0.00712999	0.0136655	0.0403157	0.102879	0.253656	0.565043
a20	0.00779627	0.00620883	0.00755328	0.0115989	0.0198992	0.0348167	0.0647471	0.116975	0.227235	0.50317
a84	0.00624656	0.00457426	0.00445487	0.00516625	0.0109294	0.0220269	0.0555018	0.120679	0.254425	0.515996
a87	0.00876422	0.00812537	0.00806737	0.00754233	0.0130923	0.0273289	0.0693055	0.136706	0.260436	0.460633
</S>	0.0238157	0.0179489	0.0150431	0.0165818	0.0293721	0.0582468	0.111753	0.159878	0.233767	0.333593
