 	ce	chien	est	effrayant	</S>
a85	0.435937	0.229485	0.206137	0.0884243	0.0400172
a87	0.431735	0.213436	0.192943	0.121995	0.039891
a23	0.258103	0.238662	0.225061	0.15719	0.120984
a10	0.352771	0.203697	0.167956	0.162355	0.113221
a87	0.374276	0.212571	0.18221	0.153702	0.0772414
a23	0.42208	0.220264	0.175639	0.134554	0.0474625
a13	0.388474	0.184129	0.153134	0.185519	0.0887436
a54	0.478591	0.24787	0.147681	0.0777432	0.0481152
a85	0.36595	0.251615	0.187252	0.131778	0.0634047
a5	0.303167	0.258407	0.214966	0.147615	0.0758448
a18	0.202669	0.226597	0.238148	0.189391	0.143195
a75	0.186979	0.188224	0.240371	0.222683	0.161743
a90	0.168666	0.163811	0.171942	0.226171	0.26941
a98	0.159209	0.183105	0.206261	0.206213	0.245212
a41	0.0909476	0.0962921	0.140426	0.243794	0.428541
a37	0.0884608	0.0890468	0.140617	0.255619	0.426256
a75	0.0376652	0.0549152	0.11891	0.363856	0.424654
a61	0.0187609	0.0225603	0.0436812	0.23749	0.677508
a21	0.00884259	0.0163944	0.0438028	0.258638	0.672322
a5	0.00718803	0.0118792	0.0316183	0.204773	0.744541
a96	0.00815081	0.0128313	0.0320694	0.176739	0.770209
a66	0.00507869	0.0109057	0.0344055	0.207424	0.742186
a38	0.00911367	0.0120622	0.0276045	0.164815	0.786404
a47	0.0194974	0.0128625	0.0189112	0.119085	0.829643
a5	0.00556009	0.00669781	0.0173229	0.153624	0.816796
a18	0.00694976	0.00848267	0.0167934	0.112163	0.855611
a71	0.0114479	0.00861295	0.0117412	0.0839417	0.884256
a99	0.0567717	0.0377877	0.0332242	0.123594	0.748622
a97	0.0417027	0.0387116	0.0399323	0.132308	0.747345
a87	0.0636957	0.070182	0.0732932	0.18913	0.6037
a23	0.0540546	0.062608	0.0830282	0.227561	0.572748
a87	0.0293102	0.0315224	0.0372449	0.176639	0.725283
a10	0.0123359	0.0214911	0.0403344	0.211564	0.714274
a87	0.0165855	0.0248191	0.0395951	0.184257	0.734744
a10	0.0271628	0.03852	0.0599261	0.215751	0.65864
a87	0.0303584	0.0383947	0.0579696	0.225046	0.648231
a23	0.0419052	0.0486692	0.0664227	0.24921	0.593792
a87	0.0188899	0.0270588	0.0372358	0.168069	0.748747
</S>	0.0354356	0.040519	0.0580811	0.231025	0.634939
