 	il	est	arrivé	trois	jours	après	le	départ	de	son	père	</S>
a23	0.166626	0.120839	0.0728907	0.0648186	0.0681917	0.0501961	0.061052	0.0450206	0.0433024	0.0741697	0.10522	0.127673
a87	0.212676	0.154545	0.125734	0.100208	0.12996	0.0850528	0.0657324	0.0422999	0.0210254	0.0185902	0.0188122	0.025364
a23	0.151837	0.125455	0.10232	0.0787544	0.121246	0.100137	0.0930936	0.0693226	0.0449294	0.037577	0.0341646	0.0411633
a79	0.173803	0.137943	0.101124	0.0656314	0.0889917	0.0562313	0.0488605	0.0374317	0.0334838	0.0515425	0.0772376	0.12772
a20	0.397323	0.24226	0.106361	0.0427455	0.0385994	0.0157986	0.0160296	0.0152733	0.0143162	0.0239556	0.0403947	0.0469424
a30	0.375978	0.219546	0.107887	0.0577483	0.0717224	0.0366284	0.0349873	0.0270391	0.0158902	0.0160903	0.0180855	0.0183979
a2	0.262268	0.220666	0.138389	0.08544	0.11932	0.0534706	0.0454217	0.0310339	0.0130846	0.0103191	0.0101811	0.0104064
a20	0.228039	0.205671	0.143247	0.0876713	0.11876	0.0681487	0.0530805	0.0373018	0.0159828	0.0128064	0.0139778	0.0153127
a73	0.126848	0.144542	0.128336	0.113071	0.134549	0.107803	0.0902596	0.064381	0.0275531	0.0199657	0.021164	0.021527
a2	0.147925	0.150393	0.128752	0.120172	0.137833	0.106984	0.0799602	0.0552733	0.0246006	0.015667	0.0160183	0.0164221
a10	0.103746	0.109762	0.108948	0.107085	0.122186	0.142806	0.111765	0.080916	0.0294264	0.0211842	0.0273965	0.0347795
a11	0.069192	0.076405	0.0839026	0.09685	0.129159	0.143459	0.105687	0.0770186	0.0331318	0.0296232	0.0552857	0.100287
a62	0.0742945	0.0756335	0.080138	0.0896721	0.134057	0.155726	0.121415	0.0927233	0.033925	0.0253256	0.0432776	0.073813
a21	0.0770819	0.06778	0.0679567	0.0942091	0.150699	0.166529	0.127937	0.101983	0.0467392	0.0275294	0.0308199	0.0407365
a12	0.0645747	0.058747	0.054279	0.0789771	0.132929	0.172622	0.140519	0.11403	0.0612328	0.0390133	0.0373077	0.0457687
a18	0.0664651	0.0593782	0.0553857	0.0708412	0.123437	0.169348	0.143686	0.111213	0.0577671	0.038475	0.0425701	0.0614346
a71	0.0526555	0.051079	0.0461102	0.0515076	0.103563	0.165296	0.171716	0.145056	0.0715802	0.0409893	0.0414674	0.0589793
a9	0.0624387	0.0554853	0.0435183	0.0443095	0.0922233	0.170373	0.186955	0.15449	0.0648277	0.0344657	0.037393	0.0535196
a87	0.049201	0.0482236	0.0461998	0.0513994	0.0950984	0.173083	0.177742	0.145054	0.075568	0.0423639	0.041014	0.0550536
a23	0.018846	0.0209448	0.0327983	0.052436	0.1101	0.162449	0.174601	0.1526	0.111626	0.0665604	0.0455029	0.0515355
a24	0.0113163	0.011422	0.0197294	0.0320696	0.0775639	0.142853	0.180745	0.157789	0.107035	0.0792713	0.0731402	0.107064
a9	0.0204643	0.0225198	0.0247048	0.027845	0.0614119	0.0897884	0.091349	0.1018	0.076205	0.0898748	0.178986	0.215051
a84	0.0125089	0.014254	0.0171048	0.0230189	0.0439993	0.0640485	0.0603361	0.0609826	0.0648665	0.0984807	0.218001	0.322399
a53	0.01217	0.0143206	0.0187374	0.0283981	0.0570847	0.0691266	0.0768495	0.0801836	0.106284	0.143508	0.187967	0.20537
a96	0.0362593	0.0292112	0.0236091	0.019174	0.0309596	0.0618117	0.0742221	0.0726175	0.0511276	0.0750429	0.18466	0.341305
a31	0.0583661	0.0470416	0.0358159	0.0312737	0.0507129	0.0779886	0.0817786	0.0918577	0.0726653	0.0844074	0.156834	0.211258
a43	0.0415989	0.0310966	0.0244651	0.0227307	0.0400206	0.0679139	0.0816954	0.0870306	0.0731237	0.10223	0.189119	0.238976
a32	0.0267772	0.0236557	0.0247953	0.0293995	0.0412001	0.0660183	0.0847053	0.0858429	0.0703594	0.0998393	0.184068	0.263339
a54	0.0357103	0.0292948	0.0268497	0.0271046	0.0331726	0.0502964	0.0672788	0.0765382	0.0671314	0.100163	0.197518	0.288942
a30	0.0194958	0.0157997	0.0134622	0.0140193	0.0186144	0.033055	0.0512445	0.071974	0.0761352	0.109888	0.206589	0.369722
a41	0.014311	0.0116409	0.0104816	0.0111442	0.0143469	0.0234107	0.0344976	0.0565251	0.0761942	0.143115	0.233661	0.370672
a12	0.0142143	0.0123961	0.0127692	0.0129672	0.0154346	0.0272517	0.0451116	0.0656351	0.0748999	0.129353	0.230532	0.359435
a24	0.0113457	0.0109305	0.0131262	0.014755	0.0151034	0.019989	0.0262519	0.0342782	0.0437302	0.0999472	0.254428	0.456115
a41	0.00929248	0.00813823	0.00896545	0.0108062	0.010194	0.0114969	0.0141248	0.018179	0.0262466	0.0758692	0.242954	0.563733
a18	0.00799504	0.00820389	0.0108818	0.0127674	0.0113519	0.0140499	0.0178674	0.0233169	0.0301205	0.0783443	0.249932	0.535169
a25	0.00749936	0.00785558	0.010992	0.0149626	0.0141299	0.0193286	0.0226539	0.0267262	0.0331581	0.0762389	0.230807	0.535648
a76	0.00462773	0.00444119	0.00588703	0.00794888	0.00863159	0.0124358	0.0166133	0.0219209	0.0333123	0.0900268	0.265229	0.528926
a94	0.00963033	0.00774153	0.00673505	0.00650044	0.0070353	0.00947559	0.0125029	0.018943	0.0334493	0.0948258	0.259294	0.533867
a76	0.00157353	0.0014846	0.00212055	0.00312269	0.00347356	0.00573328	0.00727292	0.00945457	0.0148208	0.0494596	0.215461	0.686023
a94	0.00760983	0.00659078	0.00606085	0.00562512	0.00589833	0.00796755	0.0107078	0.0166189	0.027777	0.0794537	0.246004	0.579686
a76	0.00348073	0.00332247	0.0043706	0.0063284	0.006991	0.0106466	0.0124616	0.0146604	0.0205898	0.0562047	0.2136	0.647344
a94	0.00837228	0.0074425	0.0067418	0.00634394	0.0063073	0.0088162	0.0111218	0.0154546	0.0256616	0.0738002	0.232212	0.597726
a76	0.00334397	0.00271348	0.00344429	0.00496726	0.00523896	0.00737352	0.0079244	0.00817996	0.0127417	0.0433066	0.194674	0.706091
a90	0.00620699	0.00481918	0.0047326	0.00472458	0.00443566	0.00563085	0.00699027	0.00894433	0.0175586	0.0609355	0.221855	0.653166
a4	0.00590546	0.00552187	0.0067869	0.00805861	0.00891892	0.0125836	0.0145955	0.0171588	0.0244612	0.0610295	0.201426	0.633554
a90	0.00690924	0.00519281	0.0057313	0.0074178	0.00883282	0.0125041	0.0151852	0.0168706	0.0268082	0.06286	0.194528	0.63716
a75	0.00396848	0.00291104	0.00287991	0.00328394	0.00411728	0.00554181	0.0102569	0.0156379	0.0310705	0.0849377	0.231177	0.604218
a94	0.00414866	0.00296415	0.00242797	0.00243939	0.00270102	0.00326439	0.00575898	0.00892467	0.0234628	0.0810163	0.228265	0.634627
a66	0.00502147	0.00360882	0.00398356	0.00545749	0.0065786	0.00855982	0.0122093	0.0153038	0.031091	0.0923788	0.229742	0.586065
a98	0.00212058	0.00134374	0.00174835	0.00319349	0.00301173	0.00403906	0.00651672	0.00785558	0.0258124	0.0959193	0.235638	0.612801
a73	0.00473193	0.00327718	0.00305423	0.00349909	0.00439316	0.00492453	0.00816766	0.0114287	0.0280765	0.0929962	0.236633	0.598818
a2	0.00321231	0.00235468	0.00247516	0.00332153	0.00363235	0.00440073	0.00612801	0.0081216	0.0190665	0.0747758	0.221697	0.650814
a57	0.00361728	0.00245339	0.0026847	0.00459289	0.00492242	0.0064683	0.00758561	0.00772897	0.02224	0.0888383	0.21851	0.630359
a38	0.00214277	0.00130183	0.00141038	0.00248153	0.00180505	0.00252477	0.00433447	0.00592015	0.02736	0.105838	0.240339	0.604542
a70	0.00342913	0.00189758	0.00179391	0.00248599	0.00175448	0.00239036	0.00395992	0.00624387	0.0268636	0.100598	0.251725	0.596858
a98	0.00266942	0.00134047	0.00106764	0.00142661	0.00147286	0.00214908	0.00424252	0.00746769	0.0286281	0.101621	0.231408	0.616507
a73	0.0041795	0.00248635	0.0021207	0.00267496	0.00310849	0.0048067	0.00922498	0.0144892	0.0395086	0.113692	0.243384	0.560325
a84	0.00321429	0.00184794	0.00162658	0.00227393	0.00266492	0.0045158	0.00807193	0.0120151	0.0356568	0.106967	0.236412	0.584734
a38	0.00163935	0.000951287	0.00093765	0.0015745	0.0015761	0.00281309	0.00468524	0.00693061	0.0213964	0.0810464	0.224529	0.65192
a73	0.00361892	0.00198173	0.00200756	0.00264009	0.00198937	0.00246855	0.00426417	0.00590638	0.0245713	0.100957	0.26348	0.586114
a69	0.0040847	0.00253772	0.00273724	0.00439608	0.00530856	0.00681308	0.0107935	0.011954	0.0289427	0.0954439	0.231757	0.595231
a84	0.00204453	0.00160668	0.00212559	0.00314019	0.00361887	0.00509021	0.0077173	0.01145	0.0248116	0.0853883	0.233551	0.619455
a87	0.00264898	0.00166114	0.00163818	0.0026386	0.00326558	0.00514478	0.00790444	0.0114437	0.0327712	0.107691	0.237684	0.585508
</S>	0.00507986	0.00255425	0.00225576	0.00340905	0.00366331	0.00679032	0.0102962	0.0132316	0.0351083	0.112671	0.253389	0.551551
