 	on	a	arrêté	le	travail	à	midi	</S>
a85	0.376747	0.271834	0.112342	0.0535818	0.033225	0.0374088	0.0541059	0.0607544
a10	0.26884	0.199771	0.150973	0.109767	0.0699283	0.0588982	0.0651794	0.0766422
a87	0.34374	0.236756	0.155588	0.0891626	0.0439435	0.0346132	0.0408405	0.0553573
a23	0.252272	0.177224	0.162961	0.142559	0.083047	0.0573708	0.0578232	0.0667428
a83	0.233908	0.196163	0.188771	0.144118	0.0776491	0.048223	0.0493052	0.0618636
a41	0.359695	0.350595	0.185033	0.0678047	0.0194857	0.00752715	0.00488941	0.00496977
a43	0.260873	0.288274	0.222672	0.125128	0.050403	0.0229719	0.015582	0.0140966
a11	0.226443	0.259919	0.228342	0.140941	0.0624476	0.0337734	0.0249692	0.0231658
a24	0.196213	0.229849	0.212475	0.156231	0.0826747	0.0530704	0.0378056	0.0316803
a31	0.137383	0.152464	0.174805	0.166484	0.130006	0.103636	0.0757448	0.059477
a0	0.112242	0.130034	0.152521	0.150963	0.133301	0.120961	0.101281	0.0986971
a24	0.0871142	0.0963638	0.109669	0.130627	0.12336	0.138268	0.137488	0.17711
a41	0.0613432	0.0607818	0.0579438	0.081541	0.112914	0.168009	0.188308	0.26916
a43	0.0292247	0.0283103	0.0236099	0.0466261	0.0992209	0.198711	0.240344	0.333953
a11	0.0257303	0.0243705	0.018104	0.0321136	0.0687207	0.169271	0.244567	0.417123
a41	0.0130203	0.0118652	0.00897609	0.0178353	0.0503154	0.156704	0.257223	0.484061
a35	0.00587822	0.00550123	0.00513157	0.0136266	0.0493391	0.162938	0.283152	0.474433
a73	0.00700264	0.00619619	0.00617215	0.0159993	0.0547782	0.175242	0.294438	0.440172
a76	0.00765355	0.00637991	0.00512613	0.0110122	0.0357533	0.143255	0.29396	0.49686
a73	0.00710764	0.00598857	0.00762681	0.0215332	0.065417	0.183842	0.301595	0.406889
a56	0.00396693	0.00317244	0.00389703	0.00997132	0.0330378	0.121927	0.27701	0.547018
a32	0.00378955	0.00296322	0.00421152	0.0119522	0.037326	0.119603	0.278615	0.54154
a56	0.00396415	0.00297998	0.00438643	0.0136364	0.0460844	0.137357	0.293448	0.498144
a54	0.00585409	0.00459262	0.00657384	0.0157849	0.0441494	0.107666	0.245471	0.569909
a73	0.0027131	0.00242059	0.00456969	0.0170664	0.0588106	0.143568	0.276374	0.494478
a94	0.00229473	0.00202145	0.00366298	0.0114356	0.0407753	0.116599	0.278101	0.54511
a76	0.00234113	0.00178961	0.00318154	0.0095495	0.0317746	0.0968249	0.245662	0.608876
a56	0.00354611	0.00355296	0.00644026	0.0160212	0.039101	0.107699	0.276533	0.547106
a32	0.00240646	0.00216486	0.0043258	0.0134654	0.0441659	0.116095	0.273493	0.543883
a62	0.00330758	0.00285149	0.00505306	0.0145406	0.0432047	0.109699	0.265581	0.555762
a12	0.00244182	0.00199611	0.00364382	0.00985525	0.0319008	0.096878	0.270028	0.583256
a98	0.00328694	0.0026196	0.00483463	0.0136479	0.0424499	0.114054	0.266702	0.552405
a71	0.003284	0.00277286	0.00501977	0.0161658	0.0498937	0.128695	0.268564	0.525605
a25	0.0058239	0.00425643	0.00791707	0.0247859	0.0644079	0.139935	0.261102	0.491772
a87	0.00600227	0.00569468	0.0111651	0.0250449	0.0538241	0.114391	0.253977	0.529901
a23	0.00473566	0.00402909	0.00666887	0.0181284	0.0498697	0.146302	0.290188	0.480079
a87	0.0127107	0.0103976	0.0119507	0.0238696	0.0567897	0.157021	0.292019	0.435242
</S>	0.00596732	0.00542328	0.00910736	0.0238641	0.0658638	0.182019	0.286061	0.421695
