 	il	a	porté	les	balles	de	coton	au	marché	</S>
a23	0.280015	0.187262	0.0952029	0.082013	0.0646427	0.042027	0.0403883	0.0543226	0.0710205	0.0831059
a53	0.28409	0.151115	0.0734747	0.0533648	0.0500091	0.0539358	0.0703486	0.0734705	0.0879031	0.102289
a15	0.243723	0.171603	0.0918989	0.0678095	0.0896608	0.0895326	0.0629445	0.058966	0.0612508	0.0626108
a73	0.368993	0.318848	0.136639	0.059959	0.0354589	0.0265468	0.0191878	0.0144903	0.0100948	0.0097823
a44	0.294137	0.292902	0.15397	0.0881872	0.045882	0.0302271	0.0282842	0.0220721	0.020058	0.0242798
a75	0.200392	0.27566	0.199552	0.129248	0.0461812	0.0311134	0.0291057	0.0279269	0.0272036	0.0336174
a41	0.123484	0.179014	0.178705	0.13673	0.0704282	0.0591555	0.0655032	0.0620726	0.0586607	0.0662474
a85	0.159439	0.187336	0.222183	0.178921	0.0549135	0.0345449	0.0349755	0.0396532	0.0409679	0.0470667
a14	0.132999	0.136972	0.184744	0.192343	0.0854633	0.0516394	0.0569903	0.0558014	0.0498125	0.0532357
a44	0.0734013	0.0776253	0.125566	0.176106	0.122182	0.0913417	0.107311	0.094513	0.0685774	0.0633765
a26	0.081609	0.0850997	0.130031	0.193035	0.136533	0.0831469	0.0952956	0.0727503	0.0595433	0.0629567
a38	0.0529299	0.0507188	0.0878316	0.172699	0.155234	0.086754	0.101856	0.0930234	0.0901649	0.108789
a24	0.0471685	0.0498508	0.0836594	0.165885	0.166381	0.102846	0.120557	0.0963309	0.0784298	0.0888916
a41	0.0557394	0.0589875	0.0911267	0.137435	0.143659	0.109975	0.119254	0.112932	0.0841627	0.0867286
a35	0.0663116	0.0703355	0.088088	0.116326	0.126568	0.0963983	0.110819	0.108072	0.0975134	0.119568
a14	0.0470734	0.0554124	0.0722411	0.0993567	0.134109	0.115879	0.132989	0.123338	0.10563	0.113971
a44	0.0362045	0.0436594	0.0569959	0.0744965	0.0986223	0.103772	0.125916	0.152252	0.152211	0.15587
a57	0.0263226	0.0288304	0.0319314	0.0463175	0.0801152	0.112529	0.183109	0.169664	0.152516	0.168665
a40	0.0161628	0.0179702	0.0222871	0.0322264	0.0748319	0.124035	0.199196	0.189512	0.158457	0.16532
a90	0.0133898	0.0154341	0.0212016	0.0280195	0.0511173	0.0841726	0.155332	0.188856	0.207671	0.234806
a82	0.00836005	0.0111053	0.0159947	0.0252208	0.0501022	0.0819323	0.145095	0.200709	0.229052	0.232428
a38	0.00825294	0.00755987	0.00713961	0.0115389	0.0352922	0.0733966	0.112644	0.190448	0.253677	0.300051
a76	0.00966685	0.00832501	0.00713074	0.0106758	0.0373134	0.0803471	0.125108	0.185768	0.242166	0.293499
a20	0.00766151	0.00946604	0.0128941	0.0204861	0.0427351	0.0563594	0.0993802	0.163119	0.243014	0.344885
a84	0.00235541	0.00249913	0.0031574	0.00607406	0.0225191	0.0482435	0.0838137	0.171462	0.296226	0.36365
a87	0.00676741	0.00548686	0.00616078	0.00934236	0.021425	0.0435035	0.0706346	0.165583	0.278493	0.392603
a79	0.00240332	0.00171503	0.00186197	0.00266725	0.00916031	0.023036	0.0355543	0.170752	0.3494	0.403449
a76	0.00413087	0.00295401	0.00363406	0.00421951	0.0124802	0.0326639	0.0568298	0.236119	0.324689	0.322279
a90	0.0150133	0.0111631	0.00709521	0.00768343	0.0205624	0.0342836	0.0562455	0.130799	0.282251	0.434903
a38	0.00304914	0.0028716	0.00240099	0.00298212	0.0069389	0.0156307	0.0407421	0.123456	0.310436	0.491493
a75	0.00139058	0.00122121	0.00103305	0.00154951	0.00532872	0.0144012	0.0389612	0.115667	0.309699	0.510748
a85	0.00516669	0.00436543	0.0042661	0.00684422	0.0180733	0.0348451	0.062813	0.127527	0.268644	0.467456
a35	0.00143273	0.00140434	0.00167086	0.00315595	0.0104774	0.0222299	0.0446297	0.122453	0.291232	0.501314
a34	0.0025123	0.00250463	0.00258591	0.00432714	0.0108484	0.0213219	0.0406556	0.0969383	0.272229	0.546077
a96	0.00214378	0.00212668	0.00208465	0.0036393	0.00947509	0.0232772	0.0429066	0.0929889	0.257621	0.563737
a66	0.00227603	0.00226817	0.0023166	0.00360831	0.00817169	0.020366	0.0378606	0.0860798	0.249732	0.587321
a9	0.00107898	0.00108732	0.00122247	0.00229196	0.00825297	0.0211569	0.0342571	0.101167	0.281085	0.5484
a87	0.000638621	0.000527214	0.000667248	0.00109211	0.00463029	0.0134656	0.0321623	0.125751	0.309628	0.511438
</S>	0.00374285	0.00241113	0.00265744	0.00343335	0.0124054	0.0296646	0.0578549	0.163284	0.296255	0.428291
