 	notre	père	manque	de	canne	</S>
a66	0.49053	0.227844	0.110536	0.0690909	0.058352	0.0436473
a87	0.375119	0.241981	0.161681	0.0854476	0.0659029	0.0698688
a23	0.592058	0.169566	0.0708821	0.0465756	0.052907	0.0680119
a40	0.468237	0.150598	0.0878772	0.0727999	0.0828985	0.13759
a6	0.588227	0.174661	0.0795065	0.0540779	0.0475693	0.0559586
a36	0.467249	0.283026	0.133733	0.0663746	0.0281501	0.0214669
a37	0.334267	0.262435	0.186545	0.115196	0.0523409	0.0492164
a43	0.287703	0.272987	0.218382	0.108995	0.0563576	0.0555757
a75	0.204104	0.271645	0.243523	0.1272	0.0743952	0.0791325
a92	0.194623	0.302562	0.233154	0.122677	0.0743353	0.0726487
a37	0.1783	0.247594	0.217482	0.146876	0.110362	0.0993861
a96	0.143728	0.178763	0.216857	0.186683	0.14288	0.131089
a18	0.086099	0.100773	0.164622	0.208972	0.225565	0.213969
a75	0.016817	0.0209962	0.058748	0.143866	0.315002	0.44457
a92	0.0147163	0.0236063	0.0641411	0.160312	0.330233	0.406991
a79	0.00977366	0.0155613	0.0449561	0.136267	0.337516	0.455926
a44	0.00394036	0.00637652	0.0198371	0.077236	0.304518	0.588093
a13	0.00174359	0.00239889	0.00919347	0.0495228	0.237753	0.699388
a38	0.00203227	0.0024848	0.00795064	0.0391273	0.213793	0.734612
a70	0.00480881	0.00579333	0.016844	0.0609244	0.231611	0.680018
a66	0.00509126	0.00632239	0.0188313	0.0690537	0.261073	0.639629
a9	0.0133347	0.0147665	0.0344369	0.0934571	0.240556	0.603449
a99	0.0814126	0.0487921	0.060361	0.112848	0.216867	0.47972
a97	0.230651	0.117242	0.0925816	0.104592	0.159004	0.295929
a87	0.367498	0.183154	0.0955016	0.074432	0.0956224	0.183792
a23	0.306573	0.172503	0.0961709	0.070795	0.108033	0.245926
a99	0.163048	0.0924538	0.0562952	0.0672954	0.15665	0.464258
a97	0.107362	0.072155	0.0573727	0.083084	0.195969	0.484057
a87	0.126501	0.0959775	0.0772239	0.10038	0.178601	0.421316
a23	0.109179	0.0885812	0.0768342	0.111576	0.190042	0.423788
a99	0.144226	0.109585	0.0817193	0.0992502	0.177479	0.38774
a10	0.189208	0.130302	0.0981524	0.105313	0.154766	0.322258
</S>	0.197358	0.122143	0.0944176	0.108136	0.160652	0.317294
