 	notre	père	utilise	la	fourchette	lorsqu'	il	mange	</S>
a66	0.263816	0.146896	0.130064	0.129747	0.121333	0.0888532	0.0555369	0.0361628	0.0275915
a87	0.135137	0.101417	0.109617	0.117731	0.142498	0.138413	0.10451	0.081614	0.0690632
a10	0.247821	0.119211	0.0864329	0.080208	0.0866603	0.13351	0.117596	0.0717069	0.0568536
a87	0.297094	0.132397	0.0996045	0.0858803	0.0887755	0.122038	0.0870325	0.0459324	0.0412452
a97	0.306739	0.125308	0.0983358	0.0828875	0.0906897	0.123119	0.0887782	0.045217	0.0389254
a79	0.287012	0.132721	0.104652	0.0836387	0.0841166	0.125595	0.0917023	0.0476475	0.0429142
a54	0.294497	0.132577	0.0881864	0.0568249	0.0641693	0.10243	0.120212	0.0709514	0.0701515
a47	0.31463	0.171559	0.0976365	0.0622142	0.0440947	0.0514677	0.0677593	0.0868324	0.103806
a98	0.355188	0.204064	0.0974378	0.0527324	0.0336073	0.0388534	0.0569967	0.0733431	0.0877782
a47	0.379006	0.210465	0.107512	0.0738762	0.0425205	0.0348252	0.0423763	0.0502083	0.0592112
a37	0.270219	0.180743	0.127372	0.114639	0.0693002	0.0532946	0.0556297	0.0589935	0.0698091
a43	0.236956	0.17529	0.138659	0.123268	0.0786279	0.0627258	0.0589628	0.0601685	0.0653422
a61	0.14638	0.144714	0.138942	0.137064	0.0993498	0.0825328	0.0731487	0.0846062	0.0932627
a75	0.104283	0.114977	0.138598	0.15593	0.132686	0.109701	0.0839525	0.079107	0.0807655
a85	0.0363838	0.0508411	0.0877085	0.119843	0.121202	0.134264	0.130226	0.153695	0.165837
a6	0.0375306	0.064257	0.116896	0.149342	0.1393	0.114892	0.110043	0.127932	0.139808
a75	0.0132034	0.0215814	0.0518211	0.0883191	0.119094	0.168306	0.180894	0.190936	0.165845
a85	0.0091431	0.0130424	0.0304303	0.0556117	0.0867369	0.130865	0.179729	0.248953	0.245489
a47	0.00814496	0.0120691	0.0280103	0.0465478	0.0720906	0.0974066	0.156707	0.275822	0.303201
a98	0.0035909	0.00498877	0.0105753	0.0159134	0.029082	0.0588103	0.135404	0.309966	0.43167
a92	0.00355779	0.00421128	0.00784665	0.0102354	0.0194581	0.0471541	0.134582	0.31143	0.461525
a25	0.00272738	0.00334494	0.00665095	0.00978971	0.0193002	0.0481794	0.130455	0.30151	0.478042
a79	0.00287285	0.00355203	0.00675945	0.00888057	0.0182304	0.0508631	0.148551	0.310233	0.450058
a0	0.00251011	0.0031664	0.00567666	0.00734337	0.014303	0.0401115	0.134711	0.308475	0.483703
a75	0.00337447	0.00414481	0.00680437	0.00883715	0.0179483	0.0594408	0.163007	0.31485	0.421593
a6	0.00236008	0.00297935	0.00452133	0.00611681	0.0109094	0.0265596	0.088875	0.279772	0.577907
a36	0.00158623	0.00214988	0.00336317	0.00440348	0.00907614	0.0276489	0.103847	0.295228	0.552697
a27	0.0306899	0.0348222	0.0457224	0.0440045	0.0597552	0.0982746	0.156533	0.231784	0.298415
a30	0.101391	0.0935503	0.105765	0.0869609	0.0963855	0.115757	0.118609	0.122691	0.15889
a3	0.162386	0.0757951	0.0574222	0.0394812	0.0546912	0.112753	0.171984	0.161353	0.164133
a9	0.0938153	0.0419987	0.033062	0.0243247	0.0420079	0.105391	0.202177	0.230485	0.226739
a97	0.0591415	0.0314559	0.0291883	0.026064	0.0449902	0.10152	0.189712	0.254516	0.263412
a3	0.0439227	0.0260644	0.0326519	0.0315484	0.0531357	0.116108	0.205271	0.23701	0.254288
a97	0.090276	0.0600019	0.0621558	0.0459568	0.0641074	0.125275	0.185509	0.177146	0.189573
a30	0.101613	0.0621374	0.0639048	0.0466668	0.0642992	0.124592	0.175037	0.171759	0.189991
</S>	0.127386	0.0737243	0.0589995	0.0379948	0.0510629	0.0892624	0.154707	0.188226	0.218637
