 	le	quartier	qu'	ils	habitent	est	sablonneux	</S>
a87	0.0214859	0.0276796	0.0400428	0.164561	0.551402	0.161603	0.0232708	0.00995514
a23	0.186502	0.0835842	0.0789805	0.121581	0.212843	0.140998	0.0522395	0.123271
a87	0.0860853	0.0929929	0.10815	0.173925	0.306783	0.136576	0.0500855	0.0454026
a23	0.128019	0.122983	0.121069	0.192454	0.275521	0.0880148	0.0350086	0.0369302
a62	0.157528	0.128273	0.120295	0.214758	0.206379	0.0643286	0.0424782	0.0659598
a83	0.396588	0.249845	0.144358	0.118397	0.0615494	0.0142961	0.00769506	0.00727242
a9	0.307673	0.250113	0.185241	0.140233	0.0948969	0.0108488	0.00580344	0.00519107
a62	0.282492	0.241731	0.198336	0.125078	0.100075	0.0250779	0.0150141	0.0121965
a21	0.194393	0.230688	0.234346	0.150854	0.147125	0.0220235	0.0116511	0.00891913
a61	0.189404	0.225002	0.231987	0.142013	0.15507	0.0266179	0.0156879	0.0142179
a75	0.127928	0.16968	0.232115	0.153471	0.219754	0.0522704	0.0238072	0.0209738
a85	0.117697	0.161274	0.22536	0.150306	0.224455	0.0574224	0.029343	0.0341421
a5	0.105894	0.176572	0.234005	0.170492	0.205993	0.0503759	0.0289985	0.02767
a21	0.0896527	0.140127	0.240369	0.205053	0.248238	0.0441907	0.0174139	0.0149563
a47	0.0998668	0.135727	0.187464	0.205542	0.262174	0.0528369	0.0276067	0.0287821
a88	0.0813225	0.101714	0.138292	0.175923	0.32332	0.097391	0.0371006	0.044936
a61	0.0428885	0.0579852	0.0855921	0.136254	0.342535	0.212582	0.0594607	0.0627033
a21	0.0677191	0.0793974	0.0954108	0.124273	0.302761	0.181966	0.0721173	0.0763551
a61	0.104512	0.10857	0.101777	0.0999902	0.230056	0.154403	0.0957654	0.104927
a75	0.0727339	0.0663113	0.063018	0.0684538	0.19488	0.238507	0.149268	0.146828
a47	0.0887647	0.0710927	0.0511603	0.0448668	0.103019	0.171549	0.149018	0.320529
a44	0.065915	0.0582822	0.0473674	0.0531261	0.131007	0.218688	0.135394	0.290221
a21	0.0738472	0.0653477	0.0562604	0.0505397	0.102438	0.232073	0.145843	0.273651
a47	0.0650383	0.0546616	0.0401225	0.0503564	0.153698	0.233539	0.197899	0.204684
a88	0.0241325	0.023993	0.020537	0.0209044	0.0715908	0.213676	0.321795	0.303371
a62	0.00901542	0.00983337	0.0087303	0.00972	0.0266656	0.1158	0.307756	0.51248
a88	0.00586205	0.00602196	0.00568759	0.00701963	0.0227808	0.106557	0.269442	0.576629
a71	0.00258841	0.00299619	0.00294202	0.00366027	0.0114121	0.0773721	0.230119	0.66891
a38	0.00198038	0.00244455	0.00282034	0.00270291	0.00712569	0.05355	0.163258	0.766118
a21	0.00175506	0.00203858	0.00242595	0.00281295	0.00669212	0.0487875	0.15011	0.785378
a75	0.00432954	0.00400814	0.00364278	0.00429882	0.0135944	0.0684491	0.21233	0.689347
a5	0.00235062	0.00224562	0.00216792	0.00270357	0.00767555	0.0356679	0.135883	0.811306
a18	0.00251095	0.00238159	0.00242866	0.00287391	0.0105908	0.0447618	0.149386	0.785066
a21	0.000680236	0.000626366	0.000728168	0.000717855	0.00204873	0.0169106	0.0818947	0.896393
a34	0.000603464	0.000778641	0.00120089	0.0013993	0.0052166	0.0314385	0.143952	0.81541
a13	0.00187465	0.00202966	0.0023533	0.00249732	0.00924077	0.0433533	0.175047	0.763604
a3	0.000911755	0.000689926	0.000767347	0.000854201	0.00262068	0.0186385	0.0803297	0.895188
a87	0.00370089	0.00197364	0.00146149	0.00171984	0.00344476	0.0346244	0.120295	0.83278
a23	0.0275347	0.0166829	0.0145024	0.0242694	0.0405541	0.152573	0.181982	0.541902
a87	0.00816498	0.00506586	0.00522547	0.00605032	0.0116417	0.0592352	0.133261	0.771356
</S>	0.0026109	0.00158912	0.0025442	0.00426216	0.0123951	0.0470898	0.101117	0.828391
