 	coupez	cette	plante	parasite	qui	pousse	sur	le	safoutier	pour	que	celui-ci	pousse	bien	</S>
a66	0.145505	0.102324	0.123822	0.0743051	0.0874314	0.0965383	0.0803784	0.0657548	0.0494633	0.0475566	0.0386315	0.0263994	0.0202819	0.0204158	0.0211921
a87	0.164251	0.151084	0.221413	0.135907	0.061704	0.038817	0.0301362	0.0275871	0.0229797	0.0232958	0.0242855	0.0217709	0.020532	0.0261851	0.0300518
a10	0.470363	0.258045	0.0830467	0.0258356	0.0164081	0.0125771	0.0108288	0.0112609	0.00987866	0.0101286	0.0116216	0.0132981	0.0160318	0.0208411	0.029835
a87	0.57141	0.239657	0.0687477	0.017305	0.00941454	0.00661835	0.00584846	0.0064713	0.00672279	0.00845122	0.010268	0.0111966	0.0112831	0.0121602	0.0144463
a23	0.485507	0.234114	0.0873835	0.0243873	0.0140082	0.0107044	0.00960948	0.0104081	0.0113479	0.0136216	0.0159916	0.0177124	0.0186814	0.0207581	0.0257645
a61	0.557313	0.236647	0.0582268	0.0254467	0.0170626	0.00986597	0.00890739	0.00964048	0.011697	0.0108047	0.0105316	0.0103976	0.00974713	0.0108489	0.0128632
a5	0.473771	0.271048	0.12553	0.0499385	0.0201423	0.0116298	0.00612135	0.00457724	0.00520191	0.00527309	0.00662079	0.0068459	0.00434609	0.00445196	0.00450252
a23	0.346997	0.276368	0.146535	0.103334	0.0433953	0.0236492	0.0109416	0.00807446	0.00801455	0.00713002	0.00692427	0.00648125	0.00451801	0.00392593	0.00371093
a75	0.154069	0.203161	0.167237	0.211136	0.0739695	0.0510066	0.0203645	0.0156139	0.0148507	0.0121323	0.0122682	0.015551	0.0158684	0.015766	0.0170062
a92	0.0944867	0.16814	0.163228	0.220851	0.0892423	0.0702133	0.0334397	0.0276645	0.0233821	0.0185062	0.0164182	0.0196052	0.0184696	0.0173746	0.0189787
a21	0.103558	0.159446	0.141207	0.172789	0.0797024	0.0700349	0.049553	0.0470437	0.040963	0.0340462	0.0259796	0.0237165	0.0182752	0.0159646	0.0177218
a75	0.142816	0.173203	0.135927	0.191965	0.102011	0.0796531	0.0442795	0.0357767	0.0242142	0.0196276	0.0141702	0.0115455	0.00872205	0.00764963	0.00843991
a85	0.0742195	0.111863	0.105185	0.14273	0.115284	0.1062	0.0740917	0.0664372	0.0523767	0.0448961	0.0326361	0.0251307	0.0178752	0.0152136	0.0158611
a92	0.0476716	0.0758159	0.0824352	0.119725	0.12327	0.125152	0.092054	0.0818853	0.0640579	0.0545447	0.0399873	0.0304917	0.0228394	0.0197582	0.0203116
a75	0.0482706	0.0777894	0.0923973	0.128985	0.123792	0.118527	0.0823867	0.0724296	0.056587	0.0487195	0.0380114	0.0316744	0.027242	0.0257089	0.0274796
a61	0.0192814	0.0340478	0.0557724	0.0785141	0.120077	0.130642	0.108355	0.0976541	0.0738405	0.0657751	0.0522319	0.0430187	0.040805	0.0388469	0.0411373
a47	0.0217346	0.0327179	0.0444578	0.0502924	0.0956301	0.121277	0.127967	0.132492	0.0923942	0.0772347	0.0520711	0.0362058	0.0330901	0.0362889	0.0461472
a61	0.0141762	0.0217028	0.0282022	0.0284327	0.0703505	0.103236	0.13344	0.145647	0.108782	0.0899275	0.0619122	0.0442207	0.042128	0.046704	0.0611388
a62	0.0109619	0.0148002	0.0167868	0.0168223	0.0481018	0.0835053	0.135227	0.16107	0.127741	0.104706	0.0748515	0.0530605	0.0461709	0.0471664	0.0590273
a34	0.00919123	0.0124565	0.0136594	0.0118911	0.0335154	0.0673133	0.138336	0.16701	0.129593	0.101038	0.072996	0.0535821	0.05222	0.058931	0.0782663
a75	0.00979656	0.0112205	0.0111797	0.010295	0.0269679	0.0533085	0.118566	0.153321	0.134987	0.111511	0.0889433	0.0688233	0.0613737	0.0619538	0.0777525
