 	ouvre	grandement	l'	oeil	pour	qu'	on	y	mette	le	médi-	cament	</S>
a66	0.266521	0.109419	0.0498401	0.0383998	0.0562951	0.0773233	0.071234	0.0965589	0.0775924	0.058317	0.0427994	0.0332006	0.0224997
a87	0.240589	0.122625	0.0488708	0.0395512	0.0234984	0.0389767	0.030645	0.045783	0.0513971	0.0799605	0.0769725	0.101572	0.0995586
a23	0.450255	0.211943	0.0674199	0.0401227	0.0189084	0.0315665	0.0282712	0.03196	0.032934	0.0267184	0.0190706	0.0208173	0.0200129
a99	0.329655	0.169225	0.0824331	0.075146	0.0453952	0.0551741	0.0506552	0.0492128	0.0394462	0.0340154	0.0229821	0.022955	0.0237043
a83	0.297508	0.168649	0.0927198	0.0531332	0.0396055	0.0543956	0.057626	0.0442789	0.0385159	0.0404487	0.0291472	0.0363917	0.0475803
a54	0.286664	0.227717	0.145238	0.0567649	0.0413401	0.0440472	0.0425106	0.0276981	0.0210666	0.0190559	0.0146293	0.025148	0.0481201
a44	0.268171	0.213842	0.127795	0.064589	0.0533843	0.0509606	0.0486303	0.0342668	0.0245046	0.0197748	0.0185591	0.0282377	0.0472852
a70	0.14776	0.173831	0.129837	0.0616612	0.0665988	0.0712673	0.0627626	0.0498787	0.0377134	0.0325491	0.035134	0.0488961	0.0821115
a56	0.109527	0.148931	0.121399	0.0768706	0.0820733	0.0851949	0.0721814	0.0578642	0.0415948	0.0325129	0.0376149	0.0483049	0.0859312
a94	0.0760239	0.11159	0.0995742	0.0935902	0.100728	0.101155	0.0910472	0.0758833	0.0565062	0.0346785	0.0406961	0.0440404	0.0744871
a66	0.0505047	0.0764329	0.0767174	0.0917092	0.110951	0.11238	0.0999685	0.0891135	0.067289	0.0393662	0.0484075	0.0511951	0.0859649
a11	0.0273161	0.0371155	0.0442085	0.0663896	0.105661	0.119797	0.114708	0.11097	0.0873538	0.0497002	0.0587659	0.0627652	0.115249
a50	0.0241432	0.0282686	0.0352563	0.0582507	0.0978889	0.109441	0.104654	0.103138	0.0832305	0.0527454	0.0617895	0.0722465	0.168947
a83	0.0139683	0.0160198	0.0228576	0.0500071	0.0921828	0.105922	0.103488	0.101088	0.0785584	0.0539733	0.0642137	0.0814382	0.216282
