 	tu	as	vraiment	grossi	</S>
a66	0.42382	0.203547	0.170839	0.116523	0.0852703
a87	0.184078	0.204099	0.26479	0.207295	0.139738
a23	0.496027	0.282117	0.117864	0.0602623	0.0437299
a87	0.545645	0.261474	0.108538	0.0454343	0.038908
a97	0.552953	0.2885	0.0981719	0.0340481	0.0263273
a87	0.611773	0.234018	0.0794567	0.0367102	0.0380424
a23	0.566694	0.289953	0.091445	0.0282497	0.0236588
a83	0.543504	0.254947	0.108809	0.0482126	0.0445278
a79	0.362238	0.236336	0.186392	0.124233	0.0907999
a44	0.330317	0.300898	0.197169	0.101977	0.0696396
a90	0.296627	0.324461	0.209257	0.103244	0.0664117
a56	0.181932	0.237837	0.2497	0.200451	0.13008
a96	0.16202	0.192311	0.248799	0.2367	0.16017
a18	0.0951491	0.0985672	0.185383	0.300024	0.320877
a11	0.0316894	0.0335746	0.0768042	0.259498	0.598434
a47	0.0182531	0.0248066	0.067324	0.249799	0.639817
a34	0.0223392	0.0271928	0.088675	0.292218	0.569575
a54	0.00843019	0.0133328	0.0598655	0.285082	0.633289
a36	0.00387634	0.00718	0.0401113	0.245459	0.703374
a27	0.00859761	0.0144883	0.0367485	0.22252	0.717646
a57	0.0803883	0.0506936	0.0553766	0.224769	0.588772
a87	0.292515	0.141299	0.102332	0.167839	0.296015
a23	0.356295	0.200846	0.130548	0.148637	0.163674
a87	0.256276	0.15862	0.13657	0.186315	0.262219
</S>	0.0566536	0.0643111	0.104605	0.253426	0.521004
