 	le	chef	traditionnel	voyage	avec	ses	émissaires	</S>
a87	0.218439	0.11281	0.159576	0.110912	0.197683	0.156758	0.0363228	0.00749869
a23	0.483732	0.146319	0.0863748	0.0321013	0.0383792	0.0644284	0.0628219	0.0858437
a83	0.252701	0.186132	0.161834	0.10342	0.0857862	0.075815	0.0490491	0.0852635
a75	0.318067	0.205314	0.168316	0.102123	0.0722976	0.0540968	0.0463724	0.0334132
a92	0.26572	0.186941	0.184802	0.131409	0.0881532	0.0781222	0.0441762	0.0206754
a21	0.196863	0.197402	0.206606	0.158291	0.079143	0.0737476	0.0546829	0.0332639
a5	0.141115	0.174262	0.232563	0.2361	0.114052	0.0648644	0.0279665	0.00907735
a85	0.132218	0.161607	0.188077	0.217397	0.124381	0.0882932	0.0666845	0.0213417
a36	0.18751	0.202319	0.202036	0.160315	0.102134	0.0737799	0.050186	0.0217206
a85	0.15814	0.164158	0.1918	0.236192	0.152816	0.0605745	0.0245267	0.0117935
a37	0.106092	0.120209	0.15371	0.194858	0.150812	0.112955	0.0965638	0.0647998
a66	0.0868601	0.0942962	0.122339	0.232921	0.243155	0.139902	0.0519476	0.02858
a98	0.0632372	0.0631704	0.075193	0.176723	0.270475	0.233614	0.0761614	0.0414258
a85	0.067147	0.0635841	0.0678637	0.113521	0.184039	0.182916	0.171257	0.149672
a5	0.0635903	0.0610915	0.0596407	0.085424	0.111641	0.130843	0.228127	0.259643
a61	0.0583172	0.0502474	0.0460445	0.0674568	0.111236	0.192674	0.27065	0.203374
a31	0.0446105	0.0387382	0.0409489	0.0702831	0.103456	0.153102	0.352337	0.196525
a88	0.0306129	0.0241142	0.0243989	0.0486729	0.0713871	0.11291	0.378065	0.309838
a13	0.00704053	0.00562208	0.00536124	0.0153296	0.034273	0.0780691	0.414314	0.43999
a98	0.00733919	0.00624203	0.00564494	0.0161128	0.0325296	0.0717364	0.405433	0.454962
a85	0.0195789	0.014355	0.0124893	0.0202425	0.0234586	0.0577617	0.34182	0.510294
a5	0.0218093	0.015731	0.0120295	0.0156027	0.0152072	0.035756	0.291956	0.591908
a18	0.0142029	0.00883952	0.00691487	0.0153424	0.0193098	0.0462781	0.343373	0.545739
a88	0.00173056	0.00109652	0.000860077	0.00197455	0.00628385	0.0364346	0.247669	0.703951
a9	0.000824256	0.00055204	0.000468753	0.000952481	0.00326176	0.0257091	0.265975	0.702256
a99	0.00342059	0.00198545	0.0017318	0.00181932	0.00293001	0.0165263	0.183386	0.788201
a87	0.0117657	0.00487458	0.00399691	0.00286962	0.00407664	0.0208726	0.178034	0.77351
a10	0.134643	0.0736305	0.0694235	0.045635	0.0501367	0.0715765	0.200216	0.354739
a87	0.128229	0.0974139	0.106569	0.0650505	0.0641054	0.0866415	0.221917	0.230074
a23	0.0756703	0.0597967	0.074845	0.0630251	0.0853342	0.113792	0.233013	0.294524
a99	0.0171882	0.0124412	0.0124118	0.0126695	0.0177293	0.0377203	0.166829	0.72301
</S>	0.00810326	0.0056274	0.0071944	0.013587	0.0235232	0.0545264	0.193762	0.693677
