 	c'	est	lui	qui	a	embourbé	le	véhicule	à	l'	entrée	d'	ekyembe	</S>
a87	0.107812	0.0469047	0.0236538	0.0328823	0.0543268	0.130048	0.0984303	0.0883528	0.061927	0.0568935	0.0525388	0.0677254	0.0880257	0.0904787
a10	0.14682	0.0818184	0.0657269	0.0942924	0.0825934	0.0482283	0.050467	0.0445231	0.0327398	0.0358739	0.043709	0.0646629	0.0801074	0.128437
a87	0.118408	0.11141	0.0883345	0.0724376	0.0477746	0.0623069	0.0395025	0.0336288	0.0293535	0.0372174	0.0525899	0.0727037	0.0903926	0.14394
a23	0.134388	0.122465	0.0834344	0.0514791	0.0315673	0.0539724	0.0309391	0.0340696	0.0379979	0.0489642	0.068499	0.0857833	0.0884233	0.128017
a10	0.111075	0.118013	0.0718197	0.0326992	0.0182269	0.0395929	0.0230565	0.0306092	0.043994	0.0694605	0.0970227	0.097562	0.102548	0.144321
a87	0.11563	0.128122	0.0751087	0.0310009	0.0189443	0.0461271	0.0264446	0.0343065	0.0426576	0.0584358	0.0793312	0.0826342	0.0988484	0.162409
a30	0.0897338	0.0895694	0.0535516	0.0236923	0.0136518	0.0325497	0.0206938	0.0340896	0.0492729	0.0720547	0.110169	0.119233	0.118589	0.17315
a53	0.123037	0.100981	0.0405978	0.0126132	0.00831538	0.0181656	0.0147222	0.0244013	0.0364186	0.0535187	0.0852638	0.10494	0.139849	0.237176
a90	0.379174	0.225623	0.0750485	0.0327115	0.0227528	0.0365637	0.0178887	0.0167851	0.012967	0.0151403	0.0178069	0.0273297	0.0456716	0.0745375
a44	0.357766	0.191963	0.0836452	0.0472578	0.0358971	0.0563259	0.0275413	0.0280234	0.0190336	0.0189227	0.0180602	0.0257459	0.037635	0.0521835
a34	0.240516	0.167034	0.10595	0.0656608	0.0490942	0.100332	0.0402764	0.0399599	0.0262655	0.0252889	0.0232067	0.0293592	0.0394765	0.0475798
a61	0.192956	0.178109	0.132298	0.0767655	0.0552754	0.104961	0.0380669	0.0340287	0.024577	0.0233848	0.0213368	0.0284839	0.0390174	0.0507399
a34	0.103325	0.109653	0.116737	0.100201	0.0844422	0.145528	0.0609673	0.0548299	0.0324532	0.0269734	0.0251153	0.0346819	0.0478207	0.0572721
a93	0.0910046	0.104099	0.118182	0.10091	0.0845447	0.160395	0.0655435	0.0608583	0.037689	0.0312107	0.0270736	0.0326689	0.0401591	0.0456603
a75	0.120928	0.120807	0.121632	0.108017	0.0893016	0.151743	0.0599626	0.0508979	0.0333664	0.0270892	0.0225055	0.0254177	0.031209	0.0371229
a34	0.0573482	0.0677708	0.0904149	0.124773	0.135268	0.142604	0.0684139	0.0634394	0.0493507	0.0354873	0.0284601	0.0323606	0.0442475	0.0600613
a21	0.0494119	0.0620254	0.0880142	0.115982	0.121483	0.200981	0.0824229	0.0765486	0.0473006	0.0324831	0.0225196	0.0257179	0.033647	0.041463
a37	0.0591058	0.0676399	0.0832888	0.112699	0.132239	0.162156	0.0827749	0.079721	0.0570546	0.0431434	0.0290958	0.0260019	0.0301627	0.0349173
a98	0.0324673	0.0411304	0.0592247	0.0999586	0.143304	0.190862	0.103371	0.102705	0.0648861	0.0441183	0.026995	0.0243197	0.030444	0.0362145
a5	0.0241752	0.0332385	0.048151	0.0797369	0.14452	0.146084	0.0951023	0.103532	0.0774448	0.0578658	0.0443926	0.0382298	0.0480411	0.0594862
a47	0.0314544	0.0385194	0.0515876	0.080541	0.145747	0.139661	0.103226	0.11076	0.0752133	0.0540551	0.03844	0.0334709	0.0433666	0.0539584
a0	0.0239529	0.0319943	0.0454004	0.0670028	0.124508	0.131705	0.104478	0.123425	0.0841693	0.0613211	0.0427583	0.035975	0.052338	0.0709714
a90	0.0285434	0.0350795	0.0479885	0.0638208	0.108241	0.113207	0.112491	0.14481	0.0931264	0.0679415	0.0410796	0.0324184	0.0486399	0.0626121
a57	0.0217406	0.028066	0.0399876	0.052024	0.0925632	0.0783684	0.100484	0.144642	0.107743	0.0806426	0.0614724	0.0482123	0.0639683	0.080085
a90	0.0152527	0.021008	0.0331297	0.0436702	0.0721205	0.0591961	0.0940084	0.150607	0.122213	0.0923198	0.069568	0.0532424	0.0736289	0.100036
a93	0.0340649	0.0445987	0.0563035	0.0568478	0.0820479	0.066179	0.0794277	0.121041	0.101006	0.0776873	0.0615041	0.05183	0.0697926	0.0976697
a70	0.0148781	0.022185	0.0356777	0.0517614	0.0929803	0.0629473	0.0966517	0.1316	0.118222	0.0936248	0.070157	0.0584384	0.0674047	0.0834716
a34	0.00732182	0.0117863	0.0211277	0.0346196	0.0597732	0.0457134	0.0718919	0.113317	0.106919	0.0963757	0.0845943	0.0867769	0.115476	0.144307
a62	0.00568317	0.00929852	0.0190209	0.0381795	0.0712358	0.0441511	0.0697844	0.103766	0.0933558	0.0858032	0.0832627	0.0932757	0.130899	0.152284
a34	0.00771909	0.012433	0.0221756	0.0422026	0.0710672	0.0456905	0.0666747	0.0951428	0.0818991	0.0775412	0.07681	0.0997548	0.145509	0.155381
a93	0.00563112	0.0103507	0.0212733	0.043048	0.0705606	0.0373656	0.0547419	0.0780416	0.0743795	0.0722608	0.0863763	0.117167	0.164614	0.16419
a34	0.00475111	0.00933188	0.0211123	0.0456144	0.0909382	0.0429158	0.06806	0.0828487	0.0790638	0.0750285	0.091171	0.113182	0.143638	0.132344
a90	0.00483132	0.00888495	0.0180022	0.0351857	0.0658817	0.0287864	0.0490554	0.0638755	0.0667425	0.067439	0.0888515	0.129655	0.192898	0.17991
a56	0.00245965	0.00514158	0.0128028	0.0275707	0.0474992	0.0200276	0.0330975	0.0447965	0.0482771	0.0517483	0.0815265	0.146983	0.23685	0.24122
a34	0.00285945	0.00642168	0.0159387	0.0339657	0.056249	0.0227615	0.0374626	0.0474107	0.0502958	0.0516589	0.0813774	0.143128	0.223285	0.227185
a21	0.00229673	0.00495634	0.0123916	0.0284924	0.0499883	0.0201267	0.0333315	0.0402856	0.0409225	0.0428046	0.069815	0.13136	0.249165	0.274064
a47	0.00519239	0.0091575	0.0167183	0.0273759	0.0394631	0.0218085	0.0354835	0.046501	0.0521731	0.0580995	0.0838187	0.139687	0.227747	0.236774
a83	0.00236346	0.00351673	0.00714894	0.0206333	0.0360104	0.0144984	0.0205534	0.0246977	0.0234582	0.0256681	0.0471138	0.115706	0.267055	0.391577
a9	0.00104821	0.00184726	0.00457077	0.0156682	0.0285001	0.0111887	0.0175489	0.0198105	0.0189789	0.0211393	0.0429718	0.114036	0.28506	0.417632
a62	0.0034715	0.00326574	0.00423782	0.00853911	0.0138025	0.00562785	0.0128265	0.0196727	0.0281356	0.0384833	0.0794966	0.160102	0.27446	0.347879
a83	0.000918127	0.00155608	0.00340187	0.0095825	0.0157954	0.00690649	0.0133339	0.0163222	0.0180182	0.0227127	0.0483716	0.125716	0.295099	0.422266
a62	0.000587199	0.00103799	0.00269662	0.0102481	0.0192616	0.00850722	0.0170173	0.0194611	0.019724	0.0230091	0.049906	0.123224	0.303667	0.401653
a83	0.000661436	0.00115935	0.00299947	0.0114889	0.0212647	0.0090527	0.0163271	0.0187141	0.0192978	0.0220512	0.0473275	0.112039	0.305637	0.41198
a9	0.000612596	0.000891364	0.00190009	0.00580092	0.0108165	0.0048087	0.00811321	0.0104874	0.0131639	0.0177436	0.045018	0.12074	0.313607	0.446297
a10	0.0063679	0.00546156	0.00562304	0.00770309	0.00985176	0.00368082	0.0110279	0.0166453	0.0303838	0.0451799	0.087776	0.151372	0.26474	0.354187
a87	0.0110857	0.00802708	0.00641606	0.00806969	0.0091774	0.0065644	0.0162179	0.0242763	0.0435257	0.0710808	0.112225	0.167414	0.250138	0.265783
a23	0.0289022	0.021987	0.0166989	0.0184596	0.0255632	0.0202158	0.0475174	0.0630222	0.0769758	0.0943251	0.111715	0.135137	0.169052	0.170429
a87	0.0200838	0.0196741	0.019665	0.034622	0.0532521	0.0425271	0.0482503	0.0471172	0.0495517	0.056671	0.0657576	0.112041	0.174856	0.255931
</S>	0.00993905	0.0121959	0.0149641	0.0293652	0.048417	0.0343221	0.0382799	0.0361778	0.0414433	0.047538	0.0633163	0.116483	0.186133	0.321425
