 	la	manière	dont	ils	ont	égaré	mon	fils	relève	de	la	sorcellerie	</S>
a66	0.135688	0.089175	0.0620204	0.111989	0.160704	0.152649	0.120031	0.0855759	0.0315076	0.0158241	0.0123797	0.0111493	0.0113068
a87	0.185159	0.105106	0.0602032	0.0572408	0.0778411	0.0947049	0.112742	0.0687136	0.038525	0.0388866	0.043865	0.0502949	0.0667179
a23	0.178383	0.118342	0.0834634	0.0713442	0.0777818	0.0729818	0.0665419	0.0495297	0.0329329	0.0469996	0.0575582	0.0677904	0.0763507
a10	0.158879	0.169121	0.162093	0.0956215	0.0918654	0.0705272	0.0535983	0.0368216	0.0265401	0.031903	0.0339267	0.0325821	0.0365212
a97	0.18363	0.177242	0.151078	0.0749623	0.0669778	0.0473488	0.0453107	0.0404881	0.0365827	0.042989	0.0457267	0.0442197	0.0434435
a23	0.206719	0.16593	0.120666	0.0677763	0.0598312	0.0426581	0.0420558	0.0398714	0.0397801	0.0496876	0.055199	0.0565149	0.0533105
a50	0.174928	0.154741	0.134521	0.0626951	0.0562449	0.047126	0.0456396	0.0467078	0.0506648	0.061475	0.063588	0.0536023	0.0480669
a62	0.232869	0.244764	0.174416	0.0940019	0.070054	0.0522961	0.0255352	0.0207112	0.0187043	0.0202118	0.0195173	0.0146509	0.0122685
a47	0.236235	0.317476	0.219503	0.0827826	0.055574	0.0333579	0.0115657	0.00810993	0.00690982	0.00716955	0.00772178	0.0069821	0.00661283
a61	0.222613	0.293442	0.20456	0.0866261	0.0715384	0.0524152	0.0170239	0.0102255	0.00795351	0.00777628	0.00843949	0.00877402	0.00861349
a43	0.167977	0.25385	0.226483	0.113108	0.0930243	0.070755	0.0226448	0.0130563	0.00962002	0.0075296	0.00748951	0.0074273	0.00703539
a0	0.120833	0.162544	0.184595	0.136254	0.145937	0.120607	0.0346838	0.0191904	0.0144488	0.0131539	0.013957	0.0167995	0.0169978
a24	0.104263	0.133872	0.160315	0.134302	0.16085	0.143545	0.04123	0.0231482	0.0164692	0.0160228	0.0176816	0.0231323	0.0251694
a21	0.0537793	0.0909464	0.147408	0.14933	0.183266	0.179792	0.0546393	0.0287421	0.01808	0.015902	0.0182573	0.0267037	0.0331541
a12	0.11798	0.128283	0.155519	0.149725	0.154333	0.132814	0.0521777	0.0354294	0.0178496	0.0113761	0.0112882	0.0148326	0.0183926
a21	0.0417804	0.0564599	0.114981	0.153458	0.193084	0.170599	0.0820823	0.0617403	0.033081	0.0211571	0.0202378	0.023566	0.0277736
