 	je	mange	le	maïs	</S>
a62	0.500295	0.219507	0.140224	0.0765053	0.0634676
a75	0.353804	0.23493	0.171614	0.129605	0.110047
a85	0.438552	0.216925	0.184582	0.0873951	0.0725463
a21	0.422216	0.281754	0.207912	0.0577213	0.0303962
a47	0.308417	0.293856	0.238815	0.0970957	0.0618169
a88	0.15802	0.180184	0.239484	0.232663	0.189649
a61	0.061002	0.0868781	0.148839	0.27247	0.430811
a47	0.030715	0.0554032	0.114803	0.262854	0.536225
a0	0.037862	0.0733302	0.126237	0.274499	0.488072
a11	0.0182138	0.0539349	0.102549	0.237517	0.587786
a75	0.0166232	0.0434456	0.110069	0.200757	0.629105
a85	0.0163785	0.0411717	0.119077	0.243833	0.579539
a61	0.0248166	0.0502553	0.145892	0.256404	0.522632
a88	0.0121546	0.0308948	0.0870281	0.241846	0.628076
a9	0.0213547	0.0348297	0.100486	0.204953	0.638377
a87	0.0950034	0.0904969	0.151085	0.227693	0.435722
a23	0.345496	0.205379	0.155743	0.141867	0.151515
a87	0.282071	0.263439	0.200438	0.128949	0.125103
a23	0.0805876	0.118103	0.159623	0.244896	0.396791
a97	0.0785235	0.138519	0.205552	0.255927	0.321478
</S>	0.112454	0.167205	0.191877	0.238073	0.290391
