 	cet	enfant	a	déchiré	son	habit	avec	le	couteau	</S>
a66	0.353691	0.198444	0.13205	0.104795	0.0673855	0.0481944	0.0346383	0.0246499	0.0193198	0.0168318
a87	0.298991	0.147683	0.0960868	0.0828612	0.0819545	0.07288	0.061449	0.0563469	0.051009	0.0507384
a23	0.425042	0.219377	0.106185	0.058695	0.0290744	0.0237155	0.0192219	0.0238565	0.0394052	0.0554276
a79	0.369243	0.164783	0.109743	0.0721666	0.0454663	0.0367727	0.0294148	0.0403969	0.0513137	0.0806997
a20	0.40348	0.178641	0.109629	0.0579186	0.0363193	0.0262944	0.0258529	0.0387357	0.0467599	0.0763693
a36	0.320205	0.206036	0.169421	0.0899632	0.0481246	0.0311836	0.0259627	0.0336861	0.0319327	0.0434849
a54	0.163183	0.15826	0.180314	0.118959	0.0632111	0.05205	0.0454728	0.0677321	0.0628604	0.0879579
a92	0.160284	0.174123	0.188918	0.138988	0.0696019	0.0456514	0.0374582	0.0486407	0.0553256	0.081009
a44	0.109726	0.151953	0.17235	0.150833	0.111232	0.0719821	0.0541994	0.0581581	0.0516713	0.0678953
a69	0.096989	0.160582	0.218716	0.173036	0.101607	0.0537723	0.0407046	0.0444423	0.041967	0.0681843
a58	0.0751557	0.133683	0.184716	0.156429	0.116434	0.072701	0.0557563	0.0583213	0.0579986	0.0888051
a40	0.0623145	0.103103	0.166152	0.160203	0.1134	0.0703313	0.0556694	0.0628027	0.072882	0.133142
a47	0.0235922	0.0414435	0.0834983	0.128123	0.161774	0.148411	0.119344	0.102389	0.0824123	0.109012
a37	0.0269885	0.0515733	0.0956574	0.129763	0.145461	0.129286	0.0992652	0.095108	0.0970205	0.129877
a66	0.0313767	0.0478798	0.0913539	0.149392	0.161683	0.13213	0.0930368	0.0785024	0.0851131	0.129533
a98	0.0225538	0.0334998	0.0706779	0.158048	0.1876	0.143272	0.0994154	0.080833	0.0808447	0.123256
a47	0.0136409	0.0219628	0.0451854	0.0911217	0.139312	0.146625	0.13828	0.122712	0.11112	0.17004
a0	0.0145276	0.0234867	0.0470513	0.0928035	0.138137	0.158042	0.138697	0.112299	0.106971	0.167985
a25	0.0101905	0.0133776	0.0252962	0.065747	0.116855	0.1469	0.132647	0.115595	0.135504	0.237887
a15	0.00749623	0.0111857	0.0222902	0.055172	0.093676	0.121214	0.132841	0.136875	0.155185	0.264065
a69	0.0117353	0.012474	0.016586	0.0381191	0.0744286	0.108828	0.129852	0.136284	0.171489	0.300204
a40	0.0126598	0.0124548	0.0141934	0.0282414	0.06633	0.108876	0.139155	0.141631	0.183451	0.293008
a98	0.0084275	0.00845768	0.0101923	0.0200531	0.0494915	0.0941506	0.139176	0.163774	0.212526	0.293753
a47	0.00230662	0.00334014	0.00589338	0.0151339	0.0375127	0.0709943	0.106144	0.162012	0.25756	0.339103
a37	0.00198623	0.00244553	0.00355795	0.00784611	0.0218419	0.0445773	0.0762861	0.141874	0.284891	0.414694
a92	0.00490263	0.00466707	0.0045433	0.00756609	0.0206242	0.0423208	0.0805294	0.137481	0.290971	0.406394
a37	0.00138323	0.00139363	0.00172179	0.00450978	0.0156776	0.0375715	0.0754286	0.14155	0.325783	0.39498
a96	0.00322248	0.00316982	0.00359375	0.00638924	0.0158559	0.0303255	0.0629664	0.12102	0.312748	0.440709
a88	0.00369498	0.0036877	0.00459041	0.00774951	0.0152848	0.0246437	0.0492334	0.106316	0.307158	0.477641
a98	0.00269565	0.00277416	0.00358103	0.00615613	0.0121374	0.0184887	0.0390281	0.100278	0.300962	0.513899
a47	0.00174015	0.00174132	0.00206111	0.00373839	0.00894448	0.0164656	0.0346126	0.085924	0.30725	0.537523
a36	0.000823726	0.000833968	0.00102298	0.00209288	0.00661985	0.0154203	0.0368976	0.0948557	0.324011	0.517422
a2	0.0130431	0.0131194	0.0123654	0.0130606	0.0222305	0.0296514	0.0618613	0.133855	0.299211	0.401602
a57	0.0585507	0.0562359	0.0474091	0.0384304	0.0545036	0.0664405	0.111859	0.145473	0.20081	0.220289
a87	0.143812	0.0740854	0.0445422	0.0376388	0.045735	0.0586044	0.082023	0.112199	0.179274	0.222087
a23	0.154785	0.0737794	0.0336985	0.0289894	0.0366234	0.0580039	0.0786888	0.108874	0.18081	0.245748
a87	0.0329012	0.017579	0.00850703	0.00935054	0.0203707	0.0442393	0.076451	0.127496	0.271925	0.391179
a97	0.0159053	0.0109073	0.0073294	0.008739	0.0174816	0.0278801	0.0416963	0.0878828	0.231764	0.550415
</S>	0.0829638	0.0576544	0.0445725	0.0478979	0.0537137	0.0617732	0.0653118	0.0956694	0.167959	0.322485
