 	nos	pères	sont	encore	vivants	nos	oncles	doivent	se	conformer	à	leur	volonté	</S>
a87	0.275942	0.401411	0.152754	0.0565784	0.0301823	0.0247522	0.0127977	0.0126251	0.00900252	0.00624147	0.00440455	0.00367653	0.00491334	0.00471912
a40	0.473446	0.139628	0.0369761	0.0157304	0.00644841	0.0104712	0.00787089	0.0116265	0.0115358	0.0123458	0.0298655	0.0422557	0.0966002	0.105199
a36	0.317778	0.210335	0.0919878	0.0358495	0.0154541	0.0276444	0.0193579	0.0210742	0.0305435	0.0463123	0.0541357	0.0416341	0.0381176	0.0497755
a85	0.257443	0.167108	0.0873163	0.0385002	0.0149245	0.0214325	0.017729	0.0175813	0.0304155	0.0398936	0.0535007	0.0575899	0.0840113	0.112554
a47	0.355658	0.169637	0.10321	0.056619	0.0226375	0.0272762	0.022031	0.017303	0.0237329	0.029552	0.0342627	0.0330624	0.0460143	0.0590038
a36	0.217409	0.120669	0.0775713	0.0543155	0.0315507	0.0286336	0.0293788	0.0178847	0.0271324	0.0357993	0.058365	0.0629996	0.0954816	0.142809
a0	0.202852	0.161735	0.109554	0.0678395	0.0440078	0.0318723	0.0309734	0.0205594	0.0280372	0.0347956	0.0437384	0.0458205	0.0669665	0.111248
a75	0.128803	0.0976761	0.0860913	0.0714258	0.0601116	0.0490423	0.0671461	0.0530628	0.0539513	0.0571167	0.057346	0.0531923	0.0616171	0.103418
a85	0.0807086	0.096698	0.0998555	0.0777438	0.0515338	0.0401547	0.0597784	0.0404276	0.0480908	0.0448966	0.0455884	0.0568095	0.105886	0.151829
a0	0.0545677	0.0714024	0.0902025	0.0763957	0.0491826	0.0417737	0.0638007	0.0442966	0.0550056	0.0542162	0.0506588	0.0666723	0.118862	0.162964
a85	0.0510275	0.0659403	0.0980708	0.101907	0.0935316	0.0730407	0.117416	0.0766158	0.0587557	0.0478559	0.0360577	0.0342082	0.055512	0.0900608
a47	0.0229655	0.0384204	0.0553856	0.0530423	0.043983	0.0381679	0.0639177	0.051162	0.0617113	0.0606064	0.0585555	0.0809894	0.146838	0.224255
a79	0.0124182	0.0346193	0.0618263	0.0857035	0.0959717	0.0750153	0.131558	0.0900172	0.079621	0.0551873	0.0405422	0.0426916	0.0739978	0.12083
a94	0.0113696	0.0224354	0.0446856	0.0648888	0.0737868	0.0623904	0.102992	0.0779369	0.080004	0.0642138	0.0523989	0.0584043	0.10653	0.177964
a58	0.0120589	0.0173691	0.0474345	0.0751821	0.0927312	0.0759782	0.11109	0.101818	0.10124	0.0735939	0.0478996	0.0451924	0.0733938	0.125019
a57	0.00995308	0.0182499	0.0520814	0.0895797	0.124412	0.0995448	0.122775	0.11107	0.0801889	0.0506449	0.0328398	0.0330769	0.0555335	0.120051
a82	0.00584416	0.00822975	0.019195	0.0516498	0.125867	0.106193	0.189269	0.142387	0.0996806	0.0576859	0.0338672	0.0317089	0.0413641	0.0870584
a87	0.0248889	0.0262762	0.0393693	0.0695704	0.142001	0.0899173	0.155264	0.100767	0.0879729	0.0492327	0.0345954	0.0329235	0.0526496	0.094571
a40	0.0578239	0.049633	0.0459773	0.0564536	0.0591241	0.0473836	0.0423055	0.032206	0.0316177	0.027674	0.0407886	0.0527913	0.157426	0.298795
a36	0.0116239	0.01205	0.0178901	0.0272888	0.0356725	0.0436496	0.0556161	0.0478152	0.0518171	0.0864794	0.0810874	0.0694086	0.13256	0.327041
a37	0.00364917	0.00621048	0.0169081	0.0341531	0.0373916	0.0457585	0.0611822	0.0511628	0.0534618	0.068899	0.0652699	0.0692738	0.152536	0.334144
a76	0.00691881	0.0100148	0.0275488	0.0547195	0.0728247	0.0756166	0.0954587	0.0716205	0.0640068	0.0628818	0.0575225	0.067135	0.117598	0.216134
a92	0.00625832	0.0105718	0.0199496	0.0332332	0.0372348	0.0425042	0.0631819	0.0685853	0.0751718	0.0752536	0.0674669	0.0774419	0.140357	0.28279
a75	0.00389075	0.00893036	0.0236632	0.0446395	0.0557643	0.0620037	0.0844812	0.0777853	0.0756248	0.0699127	0.0633074	0.0718804	0.122237	0.235879
a92	0.00302582	0.00849922	0.0184163	0.0285822	0.0346153	0.0366658	0.0483514	0.0477462	0.0534701	0.054899	0.0588103	0.0827739	0.181526	0.342618
a56	0.00209335	0.00579672	0.0137305	0.0253302	0.0327949	0.04039	0.0621675	0.0568455	0.0586704	0.0555283	0.0559496	0.0759216	0.171242	0.343539
a98	0.00204083	0.00378423	0.00762331	0.0196746	0.0338598	0.0489819	0.0928673	0.0864414	0.084233	0.0715052	0.067491	0.0754256	0.161513	0.244559
a47	0.000996176	0.00236415	0.00647898	0.0161352	0.0229463	0.0306253	0.0485187	0.0515616	0.0565891	0.0644539	0.0715764	0.0916785	0.187685	0.34839
a0	0.000480248	0.000959523	0.00283998	0.00770211	0.0114648	0.0194873	0.03094	0.0338521	0.0459293	0.0564551	0.0718191	0.109477	0.228182	0.380411
a75	0.000395759	0.000667473	0.00184409	0.00648051	0.00771551	0.0143961	0.0257329	0.0313314	0.0396842	0.0489378	0.0820191	0.125728	0.251295	0.363772
a47	0.000235841	0.000494939	0.00110904	0.00314429	0.00504197	0.00952275	0.0207018	0.0274308	0.0352964	0.040648	0.0701596	0.132281	0.283645	0.370289
a98	0.000137109	0.000301537	0.000837401	0.00258198	0.00391857	0.007666	0.0161739	0.0207884	0.0300865	0.0410373	0.0680535	0.127823	0.292798	0.387796
a47	6.5904e-05	0.000184319	0.000522702	0.00144575	0.00193399	0.00400382	0.00904341	0.0144824	0.0200871	0.031705	0.0595886	0.125242	0.30002	0.431674
a15	4.17184e-05	8.88745e-05	0.000301653	0.00123608	0.00172417	0.00364404	0.00752214	0.0135605	0.0204881	0.0406729	0.0878505	0.178875	0.27393	0.370064
a79	8.64455e-05	0.000167556	0.000581138	0.00257232	0.00328476	0.00585637	0.011623	0.0176112	0.0224013	0.0306657	0.0642387	0.134897	0.279217	0.426797
a56	0.000129892	0.000246179	0.000818626	0.00322456	0.00405967	0.00724594	0.014986	0.0209006	0.024333	0.0334699	0.0720761	0.155331	0.280726	0.382452
a75	0.000717114	0.00135089	0.00347391	0.0102252	0.012747	0.0153087	0.0287956	0.0373358	0.0344464	0.0477502	0.0741477	0.138826	0.260113	0.334762
a85	0.000276643	0.000449165	0.00121508	0.00389826	0.00421976	0.00649778	0.0137183	0.0254772	0.0290966	0.044296	0.0782296	0.18125	0.274935	0.33644
a47	0.000113044	0.000216101	0.000480414	0.00110419	0.00124304	0.00233392	0.00452786	0.0120567	0.0181007	0.0291926	0.0569973	0.163529	0.309706	0.4004
a36	0.000114112	0.000209569	0.000595969	0.00208211	0.00204166	0.00436818	0.00868144	0.0200958	0.0317457	0.0582683	0.119206	0.211975	0.241195	0.29942
a47	0.00150386	0.00258278	0.00537791	0.0123807	0.0140545	0.0163347	0.0238595	0.0357372	0.0423995	0.0632918	0.0792983	0.125767	0.20705	0.370362
a36	0.00098306	0.00113307	0.0026534	0.0061293	0.00502006	0.00852912	0.0132263	0.0251024	0.0377645	0.0661771	0.109317	0.162336	0.216431	0.345198
a2	0.00365554	0.00362403	0.00625486	0.0141345	0.0130326	0.0174326	0.0243058	0.0329362	0.0353343	0.0708224	0.0869056	0.11061	0.192242	0.38871
a57	0.0329033	0.0347061	0.0483411	0.0663974	0.0516938	0.0672705	0.0642109	0.0923714	0.0874023	0.131058	0.0762809	0.0667863	0.0735077	0.107071
a87	0.0773229	0.0539358	0.0505322	0.0501858	0.0254801	0.0390639	0.0307652	0.0680728	0.0675312	0.111951	0.0970374	0.0868044	0.103384	0.137933
a23	0.136322	0.0805011	0.0670842	0.0665418	0.0369634	0.0495963	0.0348892	0.0756559	0.053509	0.0732412	0.0703821	0.065461	0.0866052	0.103248
a87	0.0296721	0.00979466	0.00771136	0.0111348	0.00474354	0.0134237	0.010679	0.0271305	0.0331392	0.0526332	0.0933696	0.125014	0.284411	0.297143
</S>	0.00368488	0.00300571	0.00532875	0.0110499	0.00599642	0.0121008	0.0108225	0.0250093	0.0289508	0.0633542	0.109806	0.147692	0.262144	0.311055
