 	ferme	la	porte	de	peur	que	les	moustiques	n'	entrent	dans	la	maison	</S>
a66	0.107921	0.0865112	0.0745717	0.096088	0.119731	0.157398	0.130768	0.123833	0.0660283	0.0153585	0.00627104	0.00530048	0.004944	0.00527506
a87	0.283499	0.160695	0.118107	0.0669495	0.0545757	0.0743136	0.0589024	0.0676506	0.0279312	0.00716348	0.00966819	0.0151447	0.0242615	0.0311384
a23	0.242986	0.145288	0.110949	0.0800928	0.0812861	0.0645087	0.0482329	0.0764818	0.0319639	0.0087131	0.0137674	0.0200865	0.0295622	0.046081
a54	0.16741	0.143534	0.126808	0.128447	0.131806	0.0738144	0.0549086	0.0639716	0.0285196	0.0115613	0.00960005	0.0105597	0.0166331	0.0324253
a92	0.109091	0.0989807	0.0957537	0.0967845	0.0973798	0.0844678	0.0610939	0.0749583	0.0534157	0.0262163	0.0231958	0.0355938	0.0607301	0.0823385
a21	0.174215	0.1661	0.143198	0.117597	0.097796	0.0755417	0.0550505	0.0597502	0.040516	0.0184973	0.0100685	0.00966209	0.0150524	0.016954
a56	0.146848	0.195257	0.178574	0.14355	0.111708	0.0644438	0.0407876	0.0531303	0.0408672	0.00876327	0.00438981	0.00310115	0.00411429	0.00446426
a94	0.178845	0.225148	0.168298	0.119995	0.0922464	0.052518	0.0353179	0.0582404	0.0367406	0.0112218	0.00583461	0.00415526	0.00533553	0.00610322
a93	0.132565	0.163894	0.144428	0.13515	0.105218	0.0532204	0.0319197	0.0547247	0.0509553	0.0285162	0.0219174	0.0191771	0.026787	0.0315276
a4	0.133076	0.142541	0.129846	0.133566	0.111585	0.0613882	0.0373718	0.0565612	0.0649683	0.0350051	0.0240402	0.0191206	0.0242005	0.0267306
a13	0.0814682	0.0938636	0.113651	0.132116	0.119969	0.076924	0.0535172	0.0764243	0.101055	0.0509765	0.0262051	0.0199089	0.024885	0.0290367
a75	0.0393587	0.049624	0.0864177	0.126237	0.123258	0.0915129	0.0575575	0.0873051	0.101486	0.0405245	0.03491	0.0379196	0.0531358	0.0707524
a47	0.0231664	0.0296343	0.0587888	0.0992754	0.0974009	0.0632147	0.0502533	0.0815357	0.132568	0.103885	0.0581847	0.0540218	0.0647395	0.0833312
a21	0.0139519	0.0187619	0.0442607	0.0850434	0.0949131	0.0762875	0.0643714	0.119572	0.163885	0.0914677	0.0488042	0.046351	0.0557674	0.0765628
a85	0.0167993	0.0196021	0.0417805	0.0754684	0.0827706	0.0705543	0.0569978	0.0953048	0.159856	0.119276	0.0607159	0.0530008	0.0613588	0.0865147
a92	0.00604866	0.0085126	0.0156156	0.0297965	0.0312779	0.0266395	0.025528	0.0786197	0.118447	0.151873	0.119775	0.119738	0.128345	0.139784
a44	0.00790557	0.00992874	0.0203369	0.0366468	0.0439811	0.048767	0.0450211	0.084168	0.17042	0.142582	0.0974003	0.0908382	0.0921279	0.109876
a98	0.00830675	0.0105859	0.0207114	0.0347496	0.0437102	0.0638783	0.0634811	0.131507	0.175485	0.117358	0.0746692	0.0704842	0.0776854	0.107388
a15	0.00432345	0.00577994	0.0111941	0.021568	0.0288081	0.0417265	0.0432989	0.1046	0.165935	0.141807	0.106291	0.0969669	0.100546	0.127155
a7	0.00561374	0.00750103	0.012306	0.0199655	0.0245828	0.0464161	0.0531006	0.141039	0.190392	0.144351	0.0895573	0.0704343	0.0728681	0.121873
a56	0.00599384	0.00648494	0.00889654	0.0137544	0.0186251	0.0380624	0.0485243	0.133831	0.142486	0.0722426	0.0701222	0.0786399	0.114383	0.247954
a92	0.00443815	0.0047919	0.0070189	0.0122107	0.0191655	0.0302854	0.0353107	0.0822172	0.128916	0.109955	0.111634	0.115267	0.124827	0.213962
a56	0.00289292	0.00305519	0.00470862	0.007603	0.0107848	0.0146844	0.0172966	0.0415018	0.0798956	0.0986345	0.127388	0.14986	0.166932	0.274763
a75	0.00260851	0.00257576	0.00377002	0.00545478	0.00724433	0.00994468	0.011517	0.028964	0.055733	0.0876538	0.146205	0.18022	0.185799	0.272311
a92	0.0015523	0.00151787	0.00230621	0.00383663	0.00547725	0.0080362	0.00945894	0.0217422	0.0429486	0.0676064	0.119075	0.172186	0.209729	0.334528
a37	0.000910118	0.000891818	0.00142867	0.00248243	0.00333867	0.00468522	0.00545799	0.0136751	0.026129	0.053	0.115078	0.180749	0.244488	0.347685
a47	0.00128247	0.00111509	0.00156467	0.00185374	0.00222789	0.00304965	0.00351536	0.0108379	0.0147389	0.0209394	0.0842265	0.177375	0.276505	0.400769
a88	0.000664926	0.000592548	0.00100328	0.00148959	0.0018329	0.00240771	0.00260131	0.00603433	0.0104838	0.0217563	0.0743654	0.15582	0.273902	0.447046
a71	0.000343944	0.000271848	0.000440748	0.000550972	0.00061544	0.00105498	0.00150356	0.00329748	0.00469093	0.00748483	0.0440336	0.140404	0.279371	0.515937
a9	0.00589195	0.00427193	0.00492285	0.00459945	0.00525471	0.0123674	0.0161829	0.0370834	0.0272673	0.0393937	0.0848069	0.144765	0.202505	0.410688
a87	0.0262467	0.0204833	0.0206711	0.0158262	0.0144515	0.0265922	0.0350527	0.0976986	0.0645727	0.0857847	0.112556	0.130919	0.14359	0.205555
a23	0.0335087	0.0182998	0.020327	0.0169464	0.0169937	0.0397441	0.0606297	0.125751	0.0985028	0.118429	0.126682	0.116019	0.100409	0.107757
a99	0.0233534	0.010963	0.00897784	0.00572748	0.00541481	0.0126736	0.0185839	0.0379006	0.0212005	0.0274362	0.0567928	0.118055	0.248705	0.404217
a97	0.0104423	0.00566627	0.00499702	0.00532934	0.00539011	0.00973718	0.0125588	0.0360447	0.0239703	0.0318404	0.0598533	0.114719	0.251937	0.427514
</S>	0.00607609	0.00267127	0.00262869	0.00301541	0.00334434	0.00548081	0.00648257	0.0174314	0.00961191	0.0146833	0.0436412	0.102719	0.254406	0.527808
