 	il	pétrit	la	peau	pour	s'	assouplir	</S>
a23	0.574342	0.162107	0.0475995	0.0313124	0.022275	0.0211058	0.0423177	0.0989402
a13	0.486084	0.22094	0.09762	0.0579409	0.0293629	0.0238832	0.0277328	0.0564361
a79	0.394276	0.183358	0.0935071	0.0541985	0.0433969	0.0420434	0.0521327	0.137087
a20	0.62647	0.194135	0.0817018	0.0328881	0.0205861	0.01505	0.0116302	0.0175391
a35	0.530846	0.276209	0.116328	0.0369459	0.0161749	0.00887157	0.00603907	0.00858522
a30	0.382529	0.282219	0.181928	0.0800973	0.0335764	0.0180589	0.010581	0.0110101
a14	0.290232	0.225	0.217098	0.130499	0.0609234	0.0314736	0.0210573	0.0237166
a2	0.236586	0.213708	0.220596	0.142996	0.0742435	0.0453597	0.0320386	0.0344727
a24	0.0941439	0.109453	0.234262	0.220097	0.142094	0.0798677	0.0516529	0.068429
a62	0.0838888	0.10178	0.206976	0.209055	0.172021	0.101196	0.0589914	0.0660916
a21	0.102838	0.125199	0.198879	0.195935	0.15089	0.0996409	0.0578494	0.0687687
a61	0.107419	0.128173	0.155065	0.17284	0.146197	0.1292	0.0882945	0.0728113
a21	0.0895289	0.104094	0.126287	0.157941	0.154747	0.150506	0.11242	0.104476
a41	0.0927158	0.103694	0.107335	0.136632	0.159435	0.161081	0.123986	0.115121
a32	0.106605	0.0962435	0.0936345	0.106223	0.1243	0.131256	0.128535	0.213202
a25	0.112995	0.106455	0.0987178	0.0961807	0.116907	0.125093	0.127618	0.216034
a76	0.049961	0.051182	0.0663149	0.0893594	0.156061	0.183175	0.160036	0.24391
a94	0.0282907	0.0247768	0.0339613	0.0519663	0.104055	0.170845	0.249844	0.336261
a76	0.0230332	0.0203451	0.0272356	0.041293	0.106056	0.193541	0.276052	0.312444
a20	0.0329075	0.0231638	0.0293308	0.042129	0.0948895	0.178681	0.273436	0.325463
a84	0.0247967	0.0134943	0.0218248	0.0335431	0.0880701	0.15496	0.252537	0.410775
a87	0.0136754	0.00972994	0.0123111	0.0146617	0.0420354	0.110129	0.257854	0.539604
a23	0.00942762	0.00657232	0.0122623	0.0189534	0.0554776	0.130691	0.243333	0.523283
a99	0.0135143	0.00646005	0.0163736	0.0257821	0.0804806	0.1901	0.280028	0.387261
a20	0.00524017	0.00444962	0.0120856	0.0219533	0.0607526	0.154169	0.258383	0.482967
a30	0.0250001	0.0185267	0.0302918	0.0443044	0.0847171	0.156248	0.22867	0.412242
a35	0.00887147	0.0106757	0.0202788	0.0387142	0.0816466	0.155391	0.252356	0.432067
a30	0.00478918	0.00495479	0.0068124	0.012928	0.041975	0.12386	0.281255	0.523426
a41	0.00405794	0.00447516	0.00543047	0.00879512	0.0272852	0.0909104	0.270809	0.588237
a24	0.00379344	0.00348771	0.00435638	0.00741124	0.0259391	0.087875	0.273132	0.594005
a26	0.00336165	0.00369125	0.00453123	0.00738943	0.0215933	0.0714144	0.240352	0.647666
a24	0.00314003	0.00336956	0.00466184	0.00754467	0.0233378	0.074319	0.239628	0.643999
a41	0.00547244	0.00545531	0.00698517	0.0102776	0.0261555	0.0722109	0.225033	0.64841
a30	0.00239928	0.00224374	0.00344645	0.00538349	0.0184854	0.0623294	0.233112	0.6726
a14	0.00200482	0.00200167	0.00322561	0.00484448	0.0173599	0.0603335	0.214213	0.696017
a30	0.00327052	0.00270534	0.00455511	0.00662069	0.0231068	0.0759889	0.255525	0.628227
a73	0.00194426	0.0016015	0.00380752	0.00623579	0.0221501	0.0692701	0.202446	0.692545
a69	0.00331798	0.00189898	0.00369011	0.00504647	0.0168946	0.0549064	0.183654	0.730591
a76	0.00164055	0.000919674	0.00227372	0.00392405	0.017753	0.0643106	0.200281	0.708898
a73	0.00365378	0.00185874	0.00375272	0.00526841	0.0211074	0.0695663	0.204748	0.690044
a94	0.00305654	0.0015914	0.00315274	0.00451992	0.01782	0.0597922	0.188271	0.721796
a75	0.00496107	0.00226073	0.00451946	0.0060084	0.0240622	0.0755127	0.205424	0.677251
a73	0.00457742	0.00313359	0.00515414	0.00677543	0.0207218	0.0589996	0.18123	0.719408
a69	0.00351735	0.00193683	0.00346608	0.00547051	0.0216329	0.070535	0.204209	0.689232
a20	0.00491026	0.00250934	0.00488256	0.00715133	0.0269863	0.0847109	0.218272	0.650578
a58	0.00760615	0.00532374	0.00837695	0.00920669	0.027803	0.0762993	0.200492	0.664892
a38	0.00419155	0.00194124	0.00412117	0.00620855	0.0265612	0.0817417	0.215021	0.660214
a27	0.0062139	0.00395204	0.00893187	0.0110323	0.0359509	0.0900659	0.24148	0.602373
a30	0.00464891	0.00265635	0.00650625	0.00791688	0.0286894	0.0783683	0.233238	0.637976
a87	0.0107801	0.00792608	0.0192742	0.0306677	0.093059	0.17707	0.268264	0.392959
</S>	0.012974	0.00812285	0.0194544	0.0249876	0.0635871	0.126925	0.259345	0.484604
