 	l'	autre	pirogue	appartient	à	ngolo	</S>
a84	0.220959	0.182546	0.180378	0.196316	0.144138	0.047681	0.0279825
a30	0.208074	0.184296	0.21003	0.168059	0.108792	0.0648761	0.0558727
a87	0.466162	0.260085	0.137131	0.0632057	0.0359188	0.0184877	0.0190101
a23	0.429743	0.251311	0.138373	0.0836287	0.0569215	0.0226952	0.0173275
a87	0.411546	0.236407	0.130584	0.0807874	0.0640291	0.0413769	0.0352691
a97	0.404588	0.236543	0.138664	0.0825841	0.0643963	0.0423867	0.0308373
a99	0.360944	0.224309	0.152161	0.0963988	0.0789788	0.049021	0.0381885
a87	0.301684	0.195171	0.148372	0.117214	0.114248	0.0692454	0.0540654
a23	0.342644	0.217148	0.15403	0.100548	0.0894103	0.0561967	0.0400234
a99	0.316912	0.19242	0.149908	0.115789	0.110403	0.0654748	0.0490931
a54	0.166043	0.137561	0.117747	0.13958	0.191062	0.137055	0.110952
a47	0.229551	0.172365	0.0989991	0.0806518	0.127461	0.13534	0.155632
a5	0.131354	0.125645	0.105707	0.117698	0.159417	0.163867	0.196312
a75	0.133856	0.117812	0.101142	0.12203	0.15179	0.172526	0.200844
a66	0.15795	0.167536	0.147895	0.12688	0.108513	0.113388	0.177838
a11	0.0874055	0.0989534	0.116984	0.127836	0.126547	0.162198	0.280075
a56	0.0554102	0.0576204	0.0762797	0.100281	0.121058	0.196691	0.39266
a75	0.0843819	0.077004	0.0916026	0.0999481	0.0992611	0.166819	0.380983
a15	0.0709302	0.0711556	0.095302	0.145087	0.125135	0.162943	0.329447
a56	0.0386541	0.0423964	0.0531041	0.118503	0.110815	0.174897	0.46163
a66	0.030325	0.0277194	0.0338143	0.0814959	0.0977101	0.206864	0.522072
a62	0.00986549	0.0105259	0.013107	0.0451477	0.0781518	0.253515	0.589687
a83	0.00503725	0.00514649	0.00632339	0.0245682	0.0537767	0.244139	0.661009
a38	0.00248021	0.00285965	0.00415801	0.0171532	0.040729	0.219828	0.712792
a98	0.00250475	0.00342649	0.00663203	0.0279805	0.0512402	0.220506	0.68771
a94	0.0017769	0.00229027	0.00388297	0.0184284	0.0346102	0.180255	0.758757
a98	0.00173098	0.00211539	0.00369024	0.0172541	0.0307774	0.154592	0.78984
a4	0.00242896	0.00275636	0.00380284	0.0158432	0.0288707	0.166027	0.780271
a70	0.00115922	0.001307	0.00177414	0.00928918	0.0205105	0.150269	0.815691
a13	0.00212909	0.00241856	0.00425803	0.0161015	0.0330096	0.177852	0.764232
a9	0.00986222	0.0108094	0.0149414	0.0429922	0.0669843	0.212856	0.641554
a87	0.117253	0.0698	0.0503998	0.0749932	0.0836092	0.178451	0.425494
a23	0.237963	0.151074	0.104655	0.102588	0.0858837	0.11414	0.203697
a87	0.231347	0.11622	0.0677715	0.0622164	0.0642458	0.121543	0.336657
a23	0.0715298	0.0440565	0.0298856	0.0423177	0.0565439	0.168685	0.586982
a87	0.113857	0.0651817	0.0397955	0.0477714	0.059175	0.167633	0.506586
a23	0.0546623	0.0369561	0.026401	0.0416271	0.0564633	0.166281	0.61761
</S>	0.105493	0.0697193	0.0462111	0.0545667	0.0676714	0.170306	0.486033
