 	va	coller	cette	feuille	sur	la	porte	de	la	maison	</S>
a66	0.351195	0.125803	0.0437403	0.0558225	0.0938821	0.0839068	0.0823844	0.06602	0.0433788	0.0304962	0.0233704
a10	0.241262	0.0753492	0.0491237	0.0627559	0.0832196	0.0822005	0.0885491	0.0823043	0.0675126	0.0758163	0.0919072
a82	0.374127	0.2351	0.0804887	0.0408616	0.0644158	0.0423077	0.0338	0.0315923	0.0283885	0.0320324	0.0368859
a9	0.411195	0.266606	0.0670525	0.0314174	0.0545401	0.0360839	0.031727	0.0312921	0.0243937	0.0228526	0.0228403
a87	0.447377	0.223365	0.0595872	0.0287809	0.0488671	0.0387241	0.0363265	0.0374149	0.0286329	0.0258987	0.025025
a23	0.47116	0.193363	0.0606821	0.0291198	0.0419802	0.0362455	0.0345086	0.0390099	0.0329413	0.0309598	0.0300298
a87	0.421929	0.156085	0.0720267	0.0438928	0.0541931	0.0477868	0.0505837	0.0462786	0.0371359	0.0348353	0.0352536
a99	0.470502	0.158638	0.0618561	0.0342947	0.0389775	0.0395352	0.0421903	0.0405134	0.0380709	0.0374842	0.037938
a53	0.388713	0.147797	0.066139	0.0396127	0.0433417	0.0449885	0.0526196	0.0541358	0.0525253	0.0531999	0.0569267
a20	0.350041	0.263653	0.108989	0.0532493	0.0443044	0.0342045	0.0306099	0.0229335	0.0228585	0.029416	0.0397412
a44	0.226453	0.230381	0.109849	0.058021	0.0695081	0.0556453	0.0547235	0.0426814	0.039788	0.0498389	0.063111
a93	0.100503	0.19842	0.15042	0.0968828	0.0996412	0.0719682	0.0654192	0.0470227	0.0442678	0.0527776	0.0726767
a56	0.0810299	0.195143	0.183264	0.113211	0.0802552	0.0568865	0.0495489	0.0413028	0.0453299	0.0598253	0.0942034
a93	0.053878	0.123798	0.137464	0.118817	0.102886	0.0772622	0.070449	0.0561298	0.0624551	0.0792835	0.117578
a70	0.0463433	0.110388	0.129771	0.120859	0.107211	0.0833662	0.0765724	0.0613299	0.0649649	0.0803738	0.11882
a44	0.0434344	0.0865247	0.10706	0.110164	0.103968	0.0815828	0.0780911	0.0641147	0.0739885	0.0962784	0.154793
a96	0.030797	0.0575145	0.0848039	0.10824	0.10377	0.0850185	0.0855442	0.0731325	0.0832327	0.108335	0.179611
a11	0.021881	0.0366822	0.0579738	0.0956011	0.10179	0.088136	0.0912981	0.0768299	0.0918257	0.125211	0.212771
a75	0.0184032	0.0279739	0.0439369	0.0852576	0.105221	0.0962798	0.10101	0.0802159	0.0934577	0.129215	0.219029
a41	0.0152424	0.0226873	0.0356337	0.0808933	0.0971205	0.0906797	0.104516	0.104731	0.106303	0.125877	0.216317
a56	0.0239132	0.0296868	0.0380365	0.0887276	0.115989	0.101227	0.102219	0.0917379	0.089553	0.113406	0.205505
a90	0.0129289	0.0155073	0.0255785	0.0676025	0.0945609	0.102971	0.125259	0.121188	0.112785	0.122619	0.199001
a96	0.012962	0.0172681	0.0287488	0.0727462	0.0948162	0.104277	0.122357	0.141925	0.126684	0.118836	0.15938
a94	0.00893139	0.00981276	0.0154848	0.03927	0.0686368	0.0915866	0.131466	0.137025	0.132731	0.14153	0.223525
a18	0.00347191	0.00361689	0.00602392	0.0162409	0.029537	0.0476157	0.0915777	0.126785	0.158	0.192579	0.324552
a75	0.00166626	0.0016572	0.00230123	0.00590128	0.0132231	0.0271542	0.0681709	0.106449	0.160473	0.22444	0.388563
a41	0.00667243	0.0065827	0.00929725	0.022667	0.0407891	0.0616352	0.0980752	0.135973	0.15272	0.181342	0.284246
a27	0.00623215	0.0065222	0.00863934	0.0202488	0.0341214	0.052384	0.087127	0.127649	0.151116	0.190151	0.31581
a11	0.00113856	0.000993921	0.0009757	0.0017936	0.00409607	0.00959007	0.0304114	0.0622132	0.13269	0.240686	0.515412
a83	0.00192088	0.00122149	0.00119913	0.00210505	0.00354771	0.00840562	0.0294725	0.0837429	0.182354	0.268996	0.417034
a66	0.00058123	0.000377421	0.000550011	0.0013383	0.00261531	0.00594213	0.0192148	0.0559283	0.151115	0.281775	0.480563
a83	0.000375824	0.000231512	0.00035539	0.000964042	0.00179015	0.00415619	0.0139508	0.0439138	0.135032	0.284876	0.514354
a99	0.000532426	0.00033571	0.000466874	0.00119764	0.00215604	0.00498292	0.0161388	0.0478255	0.138228	0.278619	0.509517
a50	0.000759134	0.000390378	0.000500497	0.00110955	0.00175105	0.00400141	0.0134898	0.0426745	0.127418	0.266629	0.541277
a70	0.00318413	0.00142022	0.0016082	0.00306731	0.00438917	0.00812031	0.0210178	0.0553044	0.137616	0.260081	0.504191
a13	0.00196989	0.00109233	0.00143063	0.00314173	0.00484001	0.00851568	0.0208186	0.0529324	0.133206	0.263074	0.508979
a9	0.00352056	0.00167281	0.0019503	0.00348532	0.00478174	0.00872128	0.0215552	0.0529908	0.131233	0.262959	0.50713
a53	0.0163618	0.00524331	0.0045631	0.0060855	0.00737197	0.0124635	0.0273022	0.0662006	0.149108	0.264657	0.440643
a44	0.00327828	0.00119441	0.00156363	0.00274368	0.00326519	0.00566097	0.0151395	0.0454512	0.114091	0.24697	0.560642
a4	0.000655263	0.000321103	0.00049672	0.00107273	0.00131306	0.00245674	0.00762935	0.0263226	0.0848614	0.226921	0.64795
a99	0.000478965	0.000228474	0.000374628	0.000915148	0.00111791	0.00211693	0.00646814	0.0230998	0.0815279	0.228167	0.655505
a38	0.00130818	0.000627884	0.000886434	0.00153188	0.00172485	0.00331338	0.00949169	0.0303673	0.0950686	0.237972	0.617707
a50	0.00450727	0.00196093	0.00252013	0.00355742	0.00322944	0.00520612	0.0120756	0.0364456	0.106156	0.246118	0.578223
a83	0.0072021	0.00275963	0.00305007	0.00444753	0.0050158	0.00839221	0.0186415	0.0474477	0.122105	0.252621	0.528318
a9	0.00767208	0.00329698	0.00414288	0.00550026	0.00474294	0.00662049	0.012802	0.0341021	0.100031	0.240527	0.580563
a99	0.0286023	0.00799864	0.00661892	0.00878002	0.0112815	0.017877	0.0347659	0.0834751	0.159045	0.253457	0.388099
a3	0.0432522	0.0173286	0.0120775	0.0130522	0.01829	0.0225277	0.037348	0.0821578	0.144312	0.236101	0.373554
a87	0.05545	0.0245193	0.0141865	0.0172595	0.0373389	0.0437215	0.0602228	0.0902161	0.132357	0.203224	0.321504
a9	0.0623953	0.0428673	0.0281436	0.0338806	0.0623865	0.0598508	0.0710469	0.0906418	0.11546	0.167643	0.265684
a87	0.0566332	0.0440923	0.0329143	0.0470155	0.0759066	0.0631432	0.0695983	0.0875402	0.109702	0.15806	0.255394
a23	0.0742582	0.0487753	0.0316543	0.0406576	0.0651254	0.056568	0.0628274	0.0778894	0.101144	0.157055	0.284045
a87	0.0687458	0.0394156	0.0257157	0.0268316	0.0249042	0.0247235	0.031209	0.0591306	0.104166	0.199761	0.395397
a23	0.0733166	0.0289588	0.0220284	0.03012	0.0260763	0.0231586	0.0279064	0.0564175	0.0973197	0.195579	0.419118
</S>	0.0961326	0.0369769	0.0235631	0.0287259	0.0248639	0.0226329	0.026988	0.0522783	0.091486	0.18616	0.410192
