 	approche-moi	cette	assiette	</S>
a85	0.640961	0.161535	0.094312	0.103192
a87	0.481781	0.217434	0.167432	0.133353
a23	0.390422	0.27657	0.188086	0.144921
a24	0.503092	0.227631	0.147569	0.121708
a88	0.751613	0.17492	0.0466674	0.0267999
a38	0.63487	0.265052	0.0707489	0.0293284
a54	0.53128	0.295615	0.11004	0.0630649
a41	0.553277	0.27747	0.105413	0.0638397
a32	0.55476	0.290141	0.0923592	0.0627401
a98	0.415227	0.322348	0.146734	0.11569
a41	0.374907	0.316258	0.169641	0.139193
a56	0.255667	0.311637	0.222176	0.210519
a18	0.183157	0.223494	0.29661	0.296739
a71	0.110242	0.128198	0.31052	0.45104
a38	0.11507	0.120966	0.286666	0.477298
a24	0.0965611	0.0915597	0.282739	0.52914
a61	0.0536647	0.0657362	0.286378	0.594221
a98	0.052663	0.0522439	0.260369	0.634724
a73	0.0263618	0.044285	0.26405	0.665304
a76	0.0312146	0.0441372	0.209489	0.715159
a73	0.045634	0.06057	0.261426	0.63237
a35	0.0218831	0.0384328	0.227995	0.711689
a21	0.0532229	0.0671739	0.235328	0.644275
a12	0.0427728	0.0547115	0.232187	0.670328
a88	0.0323455	0.0522815	0.243465	0.671908
a71	0.0560914	0.0650607	0.219944	0.658904
a25	0.0651739	0.0779821	0.226471	0.630373
a87	0.063436	0.125027	0.233548	0.577989
</S>	0.044305	0.112131	0.253683	0.589881
