 	cet	instrument	musical	lenge	a	quatre	cordes	</S>
a66	0.14347	0.195899	0.333113	0.183468	0.0885173	0.0375859	0.0123755	0.005572
a87	0.207227	0.198103	0.19336	0.134262	0.120884	0.0535469	0.0397225	0.0528949
a97	0.153403	0.162113	0.153518	0.1621	0.147925	0.10783	0.068066	0.0450465
a83	0.191348	0.208925	0.205374	0.147733	0.0910649	0.0628105	0.0476733	0.0450701
a62	0.376235	0.262333	0.208051	0.0594449	0.0330583	0.0250089	0.0176674	0.0182006
a21	0.341224	0.242521	0.245188	0.0938701	0.0394585	0.021763	0.00972345	0.00625168
a12	0.235279	0.216207	0.230203	0.162372	0.0920711	0.0408564	0.0142869	0.0087244
a21	0.221531	0.182568	0.237772	0.179196	0.0959517	0.0442045	0.0208927	0.0178845
a12	0.15885	0.16736	0.25184	0.246821	0.113335	0.0344461	0.0147245	0.0126237
a18	0.146994	0.166332	0.249417	0.257385	0.11395	0.0326352	0.0159804	0.0173051
a31	0.0728017	0.109246	0.177128	0.269969	0.168626	0.0740372	0.0483281	0.0798638
a88	0.0708505	0.134992	0.21615	0.306347	0.153879	0.0522039	0.0267547	0.0388234
a71	0.0390622	0.0813078	0.139961	0.304666	0.189592	0.0906694	0.0662754	0.0884656
a9	0.0331032	0.0609875	0.0938448	0.284465	0.188631	0.123681	0.104794	0.110494
a50	0.0242484	0.0567588	0.0809934	0.19801	0.184631	0.134065	0.141291	0.180003
a62	0.0135081	0.0256062	0.0364081	0.158648	0.1897	0.15128	0.175791	0.249059
a88	0.00934617	0.0234252	0.0428429	0.165538	0.218838	0.19032	0.197192	0.152497
a62	0.00741189	0.0154886	0.024978	0.10829	0.176859	0.180793	0.246326	0.239855
a21	0.00661775	0.0148964	0.0241804	0.0774175	0.144757	0.179878	0.300505	0.251748
a5	0.00823887	0.0149642	0.0219754	0.0570217	0.109494	0.16174	0.380273	0.246293
a37	0.00311774	0.00680819	0.0114285	0.0393618	0.111263	0.174657	0.348183	0.30518
a56	0.00120415	0.00274461	0.00395469	0.0161077	0.0525836	0.10296	0.244992	0.575453
a21	0.00135274	0.00289395	0.00430771	0.0180065	0.0534065	0.10224	0.263824	0.553969
a61	0.00110843	0.00203259	0.00303481	0.0116249	0.0394023	0.0801918	0.262044	0.600561
a75	0.000504817	0.000872309	0.00131427	0.00754363	0.0248058	0.0566006	0.200058	0.708301
a6	0.000261397	0.000410807	0.000590139	0.0034277	0.0112587	0.0283897	0.134321	0.82134
a36	0.000135052	0.000208832	0.00034514	0.0021481	0.0093167	0.0222954	0.097762	0.867789
a26	0.00331126	0.0019583	0.0015154	0.00512799	0.0161199	0.0342918	0.111031	0.826644
a3	0.0258312	0.0187153	0.015436	0.0373375	0.0635364	0.0893667	0.163212	0.586565
a97	0.08643	0.0695904	0.0508393	0.0610543	0.0806659	0.111527	0.173916	0.365976
</S>	0.0672192	0.0590082	0.0468991	0.079254	0.0984592	0.138446	0.204301	0.306413
