 	je	suis	assis	à	côté	du	chef	</S>
a66	0.334316	0.135883	0.10588	0.114402	0.126042	0.0921851	0.055691	0.0356013
a87	0.458455	0.250805	0.0869403	0.0571115	0.040087	0.0345067	0.0381165	0.0339773
a23	0.424921	0.236415	0.081384	0.0415036	0.0283215	0.0353514	0.0580461	0.0940577
a99	0.572808	0.239351	0.0519442	0.0182218	0.00932945	0.012323	0.0307093	0.0653133
a50	0.504184	0.243498	0.0465442	0.0201671	0.0125667	0.0192734	0.0586456	0.0951205
a88	0.447961	0.23742	0.0772377	0.0535989	0.0315134	0.0349992	0.0536519	0.0636178
a50	0.382484	0.313413	0.126876	0.07369	0.0314092	0.0212703	0.0229286	0.0279292
a88	0.189926	0.225514	0.17783	0.14995	0.0675609	0.0479643	0.0566741	0.0845805
a75	0.117647	0.208566	0.233738	0.222491	0.0802587	0.0408734	0.0406139	0.0558119
a47	0.100923	0.186177	0.250154	0.248338	0.0935732	0.0417224	0.0376621	0.0414496
a36	0.0620612	0.0984308	0.166052	0.27887	0.15948	0.0734622	0.071534	0.0901103
a2	0.0431889	0.0662189	0.128973	0.220761	0.176149	0.103906	0.112085	0.148718
a21	0.0313918	0.0425959	0.075876	0.110269	0.114106	0.114754	0.187464	0.323543
a12	0.0259041	0.0297715	0.0604538	0.130119	0.244182	0.202417	0.155159	0.151993
a56	0.0206568	0.0214182	0.0391095	0.0821062	0.21057	0.224993	0.20099	0.200156
a94	0.0168255	0.015824	0.0273845	0.060446	0.169243	0.215542	0.236259	0.258476
a58	0.00834319	0.0063182	0.00972188	0.0216225	0.0767718	0.160459	0.274616	0.442147
a4	0.00166368	0.00115127	0.00117428	0.00206933	0.00918226	0.0508598	0.242167	0.691732
a13	0.000994383	0.000780623	0.00106031	0.00272182	0.016357	0.0861173	0.284604	0.607365
a38	0.000489681	0.000417583	0.00055201	0.00154693	0.00992511	0.0729439	0.281812	0.632313
a9	0.00157145	0.00151305	0.00248378	0.00652496	0.0277808	0.108777	0.292823	0.558527
a10	0.0729037	0.0391514	0.0350745	0.0466107	0.0982741	0.143535	0.207546	0.356904
a87	0.305511	0.19102	0.0864159	0.0665837	0.0736015	0.0753721	0.0878982	0.113598
a23	0.319674	0.211701	0.0977845	0.0868476	0.0818422	0.0686934	0.0659306	0.0675267
a87	0.111683	0.0941485	0.0403991	0.0433213	0.0602247	0.110146	0.206481	0.333596
</S>	0.00917072	0.0102085	0.0087415	0.0167266	0.0383753	0.0931894	0.246687	0.576901
