 	les	hommes	apportent	de	longs	fagots	de	bois	là	où	il	y	a	une	veillée	mortuaire	</S>
a66	0.0934587	0.117153	0.109867	0.131393	0.116787	0.117677	0.07868	0.0645702	0.0417826	0.0291035	0.0219439	0.0181796	0.0183188	0.0134057	0.00984199	0.00818115	0.00965623
a87	0.239292	0.256469	0.140627	0.0667703	0.0536976	0.0431115	0.0159411	0.0171483	0.0131027	0.00950058	0.0115721	0.0159406	0.0218093	0.0217359	0.0255321	0.0249549	0.0227944
a23	0.267713	0.236317	0.145084	0.0591866	0.0538796	0.0536284	0.0150095	0.012895	0.0111688	0.00774524	0.0125285	0.016889	0.0222692	0.0184792	0.022108	0.0212367	0.0238626
a40	0.177247	0.117998	0.088071	0.0411018	0.0322097	0.0249282	0.0130478	0.0158608	0.0184915	0.0177715	0.0314491	0.0575639	0.0821006	0.0685503	0.0651786	0.0665514	0.0818787
a7	0.254533	0.142364	0.0830739	0.0810467	0.0551052	0.0452819	0.039135	0.0313859	0.0281074	0.0292065	0.0294701	0.0317122	0.0371068	0.0318925	0.0265601	0.0250875	0.0289314
a54	0.0804789	0.0735699	0.117356	0.262378	0.206638	0.0681005	0.0432837	0.0225909	0.0129518	0.0114152	0.0127339	0.0147689	0.0172299	0.0160626	0.0130953	0.0122779	0.015069
a15	0.0628422	0.0737205	0.0934504	0.216525	0.246069	0.0952622	0.0568419	0.0334956	0.0199985	0.0168479	0.0154128	0.0161171	0.0156434	0.0150583	0.00960093	0.00694857	0.00616598
a7	0.0318661	0.0405401	0.0966928	0.247331	0.265437	0.090507	0.0511464	0.0349344	0.023568	0.0175487	0.0153933	0.0166984	0.0154201	0.0166837	0.0123677	0.0114611	0.012404
a47	0.0420031	0.0374587	0.0852308	0.176639	0.328107	0.0989474	0.0567298	0.0444038	0.0283061	0.0184608	0.0138406	0.0148335	0.0121153	0.0104829	0.00788135	0.00981684	0.0147423
a85	0.0600826	0.0424735	0.0665874	0.101295	0.270092	0.108095	0.0757777	0.0655725	0.039214	0.0273074	0.0218985	0.0249648	0.0208078	0.0195855	0.0138046	0.0173182	0.0251232
a5	0.0251108	0.0150152	0.0228161	0.048641	0.223527	0.170182	0.12833	0.114103	0.0640233	0.0397311	0.0253034	0.0235478	0.0191985	0.0177992	0.0142738	0.0189711	0.0294273
a85	0.0288086	0.0212074	0.0306823	0.0332182	0.0650276	0.0648876	0.0995113	0.119999	0.0928842	0.076005	0.0593588	0.0606475	0.059762	0.054964	0.0363699	0.0435958	0.0530708
a5	0.0124055	0.00815237	0.0144184	0.0245207	0.0763447	0.114174	0.128861	0.141365	0.0975672	0.0722885	0.0591559	0.0530423	0.0469971	0.0400503	0.0284926	0.0351796	0.0469844
a12	0.00947127	0.00908383	0.0128084	0.0135338	0.0218823	0.0365009	0.0658149	0.0933968	0.092971	0.0921611	0.0840663	0.0847777	0.0889491	0.0850753	0.059189	0.0686207	0.0816975
a96	0.00460642	0.00425763	0.00562463	0.00758669	0.0141432	0.0272026	0.0536978	0.0976242	0.123598	0.125014	0.104803	0.0935522	0.0869444	0.076649	0.0527545	0.0560148	0.065926
a75	0.00524781	0.00519865	0.0058268	0.00807628	0.0160742	0.0312975	0.0532896	0.0959674	0.124701	0.129602	0.106349	0.0932081	0.0802969	0.0685967	0.0507062	0.0531247	0.0724378
a6	0.00148238	0.00149068	0.00173154	0.00270093	0.00695283	0.0166503	0.0287388	0.0622074	0.101851	0.122779	0.140312	0.137877	0.108697	0.0782694	0.0433165	0.0589301	0.0860132
a36	0.00112176	0.00106856	0.00116258	0.00171934	0.00441418	0.0151428	0.0389015	0.0782257	0.111537	0.132859	0.142801	0.132938	0.10588	0.0732222	0.0359259	0.0493374	0.0737434
a40	0.00273878	0.00247093	0.00162587	0.00241462	0.00779028	0.0266507	0.0386177	0.0650596	0.10216	0.120669	0.117221	0.109021	0.0939111	0.0676748	0.0477948	0.0667397	0.127439
a7	0.00143285	0.00120377	0.000817347	0.00114216	0.00383994	0.0153778	0.0277997	0.0491101	0.106153	0.125706	0.156308	0.152671	0.117021	0.0635936	0.0355846	0.0526629	0.0895767
a53	0.00105236	0.000793893	0.000471561	0.000571164	0.00208342	0.0108917	0.0210182	0.0354476	0.080778	0.114014	0.164085	0.162556	0.132335	0.0709566	0.0375375	0.0554034	0.110005
a44	0.00158769	0.00129022	0.0009021	0.00102197	0.00232446	0.00953702	0.0179963	0.0273849	0.0569833	0.0815177	0.127344	0.14339	0.145063	0.0871562	0.0581974	0.0862019	0.152102
a96	0.00124723	0.00117053	0.000869285	0.00101612	0.00251488	0.0112803	0.020267	0.0280676	0.0570044	0.0785946	0.116677	0.13562	0.138598	0.094015	0.0685139	0.0937037	0.150841
a88	0.00152083	0.00148892	0.00151022	0.00187781	0.00467793	0.013478	0.0191162	0.0248596	0.0440055	0.0604327	0.0898353	0.113338	0.128295	0.0992427	0.0878406	0.114914	0.193567
a61	0.00103052	0.000859469	0.000869394	0.00107377	0.00409494	0.0140464	0.018763	0.0233246	0.0367892	0.0502352	0.0770546	0.0938588	0.105652	0.085662	0.0917655	0.132451	0.262469
a12	0.000597168	0.000560941	0.00067396	0.000871744	0.00307139	0.00893245	0.013801	0.0183285	0.0293507	0.0426768	0.0714312	0.0907116	0.0996784	0.0784993	0.094098	0.14376	0.302957
a18	0.000684001	0.000686222	0.00079675	0.0010474	0.00425616	0.0123835	0.0175847	0.0211489	0.0309135	0.0405555	0.062832	0.0775273	0.0829977	0.0697771	0.095567	0.154107	0.327135
a5	0.0018879	0.0015706	0.00107221	0.000949363	0.00566444	0.0238102	0.0267952	0.0278347	0.0321204	0.0373794	0.0607504	0.0750601	0.0704567	0.0543638	0.0998459	0.161602	0.318837
a36	0.000675631	0.000545836	0.000442584	0.000478837	0.0030337	0.0110353	0.0144156	0.0154993	0.0226376	0.0277792	0.0429621	0.0581216	0.0642484	0.0585693	0.0925839	0.178551	0.40842
a27	0.00149293	0.00122452	0.000793878	0.000722415	0.00470694	0.0214941	0.024249	0.0255791	0.032328	0.0363986	0.0629807	0.0796162	0.0757676	0.0571297	0.099936	0.161419	0.314162
a36	0.00514327	0.00633468	0.0042953	0.0023202	0.011008	0.0498516	0.0663967	0.0685081	0.0737772	0.0858669	0.120368	0.109427	0.0899872	0.0572173	0.0711421	0.0759354	0.102421
a26	0.0127988	0.012472	0.00752028	0.00310218	0.013257	0.0399338	0.0445027	0.0526256	0.0597738	0.0690621	0.108127	0.10812	0.0937402	0.061365	0.0803517	0.0993435	0.133905
a30	0.0624429	0.0762272	0.0417622	0.0187568	0.0288016	0.0700362	0.0522322	0.0698499	0.0660583	0.067383	0.0891374	0.0796503	0.0706813	0.0517653	0.052722	0.0508665	0.0516269
a87	0.091146	0.109771	0.0844216	0.0409068	0.0537068	0.0964014	0.0394219	0.0578652	0.0512826	0.0385644	0.053084	0.0586686	0.0561897	0.0464732	0.0449318	0.0438168	0.0333484
a23	0.0733684	0.0904943	0.0802282	0.0511022	0.0658626	0.0930882	0.0489398	0.0616561	0.0536349	0.0414112	0.0506175	0.0548522	0.0543405	0.0460493	0.0465502	0.0487147	0.0390898
a87	0.0381138	0.0295842	0.0151106	0.00574044	0.0106966	0.0205009	0.0107436	0.0170518	0.0315207	0.0339193	0.0644761	0.0956292	0.110399	0.116103	0.114477	0.152146	0.133788
</S>	0.00424021	0.00394045	0.0025979	0.001392	0.00588137	0.0169446	0.0122124	0.0289185	0.0421633	0.0449924	0.0824395	0.122553	0.134424	0.107906	0.0963575	0.1396	0.153436
