 	attends-moi	j'	arrive	</S>
a23	0.492463	0.254919	0.152517	0.100102
a53	0.412674	0.294545	0.192285	0.100496
a58	0.434163	0.243313	0.163252	0.159272
a57	0.436	0.264193	0.173055	0.126751
a40	0.239189	0.218682	0.23941	0.302719
a30	0.284549	0.233716	0.227446	0.254289
a35	0.359848	0.264086	0.202121	0.173946
a94	0.256515	0.251499	0.247334	0.244652
a26	0.122101	0.178431	0.294924	0.404544
a24	0.0894891	0.128777	0.268655	0.513079
a41	0.0526864	0.0863426	0.232081	0.62889
a94	0.0515708	0.0918386	0.224689	0.631901
a53	0.0500524	0.0693738	0.190821	0.689753
a4	0.0498541	0.0772452	0.197332	0.675568
a13	0.0191798	0.042074	0.159222	0.779525
a3	0.0331718	0.0681019	0.18224	0.716486
a87	0.12806	0.138681	0.190121	0.543138
</S>	0.170099	0.184355	0.217778	0.427768
