 	le	guérisseur	a	préparé	un	repas	pour	le	délivrer	d'	un	démon	</S>
a66	0.104352	0.100739	0.135763	0.132881	0.189973	0.132228	0.0801308	0.0502537	0.0258249	0.0167137	0.011274	0.00956834	0.010299
a87	0.316558	0.210677	0.154831	0.109621	0.0784305	0.0464729	0.024507	0.012996	0.00836129	0.00876977	0.008901	0.0104833	0.00939105
a23	0.192012	0.151459	0.125058	0.120454	0.104311	0.0692656	0.0342096	0.0189107	0.0187231	0.0228283	0.034847	0.0509706	0.056952
a30	0.272102	0.203774	0.147798	0.124101	0.0582454	0.0305565	0.0242459	0.0157621	0.0144428	0.0171963	0.0222797	0.0290496	0.0404464
a54	0.240275	0.213257	0.196483	0.144088	0.0817758	0.0384937	0.0230319	0.0117794	0.00771311	0.00807468	0.00988165	0.0111927	0.0139538
a47	0.154635	0.171699	0.185386	0.153586	0.143395	0.0836982	0.0446556	0.0211126	0.00926594	0.00732219	0.0072904	0.00791609	0.0100377
a92	0.0926274	0.120402	0.165712	0.188909	0.175574	0.11485	0.0664546	0.0321128	0.0129349	0.00812659	0.00644062	0.00687206	0.00898446
a37	0.0641489	0.0891165	0.140708	0.217984	0.194678	0.143229	0.0796215	0.0314582	0.0145325	0.009259	0.00635047	0.00452329	0.00438976
a85	0.0876885	0.100925	0.14869	0.218855	0.171878	0.114683	0.0559826	0.0302389	0.0182261	0.0142747	0.0135333	0.0132354	0.01179
a6	0.0390862	0.0500659	0.0754093	0.151634	0.1492	0.183766	0.143806	0.079822	0.0337296	0.025254	0.0236775	0.0230266	0.0215221
a36	0.0656729	0.0676798	0.0895886	0.131807	0.137546	0.155832	0.129237	0.0683449	0.0370824	0.0297161	0.0299047	0.0312696	0.0263184
a21	0.053916	0.050663	0.0658715	0.0997103	0.118208	0.124869	0.113202	0.0670164	0.0476205	0.048131	0.0609815	0.0797551	0.0700555
a56	0.0245375	0.0227464	0.0321319	0.0606964	0.0815532	0.111891	0.111167	0.0862421	0.0662427	0.0658072	0.0872001	0.125386	0.124398
a92	0.00896416	0.00768875	0.0104349	0.0225387	0.0376889	0.0552495	0.0777009	0.0865319	0.0794629	0.0994719	0.141551	0.195864	0.176852
a85	0.00272008	0.00245058	0.00286485	0.00575306	0.0104186	0.0247377	0.0573098	0.0866896	0.094751	0.107974	0.147005	0.221369	0.235957
a6	0.00352528	0.00293623	0.00275977	0.00455784	0.00909923	0.0216387	0.0417306	0.0598404	0.0754428	0.104152	0.154467	0.236586	0.283264
a37	0.00299341	0.00226691	0.0021488	0.00319183	0.00749774	0.0140077	0.030799	0.0539456	0.0766582	0.117706	0.186637	0.232806	0.269342
a66	0.000827829	0.000491295	0.000336728	0.000285711	0.000485958	0.00079953	0.0023444	0.0065692	0.0161047	0.0614742	0.194917	0.335963	0.3794
a3	0.00117332	0.000666203	0.000456494	0.00033941	0.000599813	0.000904977	0.00217416	0.00681842	0.0203255	0.077687	0.220393	0.353143	0.315319
a97	0.0354771	0.0200515	0.0142585	0.0117335	0.0144737	0.0158047	0.0178485	0.0228138	0.0377894	0.086678	0.201476	0.307891	0.213704
a87	0.149432	0.0914091	0.0625529	0.0534525	0.0642672	0.0631443	0.059476	0.0579326	0.0586137	0.0756556	0.105017	0.0926437	0.0664038
a23	0.114745	0.0755498	0.0582275	0.0534962	0.069251	0.0724338	0.0623765	0.0545772	0.0566788	0.0772758	0.119667	0.106251	0.0794716
a99	0.0310238	0.0220338	0.0153264	0.0140764	0.0148242	0.0181481	0.025191	0.043707	0.0720941	0.115293	0.205364	0.24419	0.178729
a97	0.0107746	0.0083018	0.00566649	0.00624213	0.00768914	0.0112406	0.016131	0.0312315	0.0599954	0.118001	0.236792	0.28175	0.206185
</S>	0.00708784	0.00490113	0.00300698	0.0034455	0.00447688	0.00733898	0.00974957	0.0161124	0.0324725	0.078257	0.213044	0.323822	0.296285
