 	cette	jeune	fille	est	indolente	en	effet	elle	n'	est	pas	entreprenante	</S>
a87	0.10998	0.157682	0.154623	0.130081	0.114477	0.0720685	0.0812665	0.051627	0.0480028	0.0339466	0.0194167	0.0138681	0.0129615
a10	0.227965	0.108413	0.0610792	0.0661892	0.0761488	0.0548051	0.0604027	0.0560713	0.0599645	0.0499307	0.0548793	0.0562465	0.0679047
a97	0.195299	0.137239	0.133675	0.116673	0.104661	0.0572923	0.0536197	0.0302945	0.0290318	0.0240685	0.0307019	0.0372672	0.0501771
a87	0.267457	0.191095	0.16047	0.119304	0.0935505	0.0379564	0.0367923	0.0192534	0.0192681	0.0145299	0.0143449	0.0112076	0.01477
a97	0.276321	0.180146	0.133743	0.101666	0.0689667	0.0438806	0.0450209	0.0294523	0.0320593	0.0247335	0.024589	0.0172783	0.022144
a87	0.36509	0.188591	0.0978854	0.0703995	0.0530234	0.032669	0.0344262	0.0273538	0.0323772	0.0251067	0.0276673	0.0200451	0.0253645
a23	0.331938	0.167129	0.089888	0.0659907	0.0474444	0.0346692	0.0392614	0.0339295	0.0422696	0.036194	0.0432215	0.0313371	0.0367279
a44	0.275067	0.179979	0.104039	0.0858211	0.0865149	0.0458343	0.0369163	0.0334614	0.0369025	0.0253363	0.0271982	0.0231821	0.0397474
a15	0.31811	0.173147	0.0731883	0.0438095	0.0401728	0.0161115	0.0159781	0.0132855	0.0196038	0.0231246	0.0542863	0.086009	0.123174
a92	0.191447	0.15237	0.118128	0.0902174	0.0929383	0.0369484	0.036267	0.024757	0.0254192	0.0263939	0.0453509	0.0657551	0.0940076
a56	0.116338	0.114051	0.104716	0.100065	0.121812	0.0516378	0.0445919	0.0293483	0.0267641	0.0297229	0.0482755	0.0831496	0.129528
a93	0.103802	0.123231	0.133746	0.127735	0.130643	0.0632969	0.0506638	0.0303135	0.0270883	0.0311109	0.0424292	0.0583098	0.0776298
a62	0.0816569	0.108816	0.144938	0.158809	0.153268	0.0759351	0.0568516	0.0287895	0.0242567	0.0262962	0.0331818	0.0456997	0.0615019
a93	0.0685525	0.0953712	0.149532	0.186245	0.168216	0.0841395	0.0650997	0.0304884	0.0244433	0.0249912	0.0263445	0.0344302	0.0421469
a90	0.0560732	0.0837354	0.137571	0.188168	0.18779	0.0982348	0.0724373	0.031962	0.0245235	0.0242308	0.023298	0.0295221	0.0424549
a98	0.0334458	0.070257	0.141545	0.184793	0.177179	0.105556	0.085466	0.0418653	0.029517	0.0253622	0.022891	0.0332736	0.0488485
a5	0.0239838	0.0655117	0.138818	0.161021	0.154518	0.0993385	0.092977	0.0578851	0.0447612	0.0364863	0.0298437	0.0418251	0.0530306
a18	0.034057	0.0683944	0.133615	0.144	0.148494	0.0863225	0.0963875	0.0632806	0.0469883	0.0404167	0.0321833	0.046319	0.0595415
a66	0.0129317	0.0273749	0.0831944	0.125754	0.168683	0.105108	0.109495	0.0725697	0.0544045	0.045791	0.041271	0.0632952	0.090127
a62	0.00694486	0.0153691	0.0582209	0.113337	0.195069	0.144699	0.12622	0.0775931	0.0529368	0.0413327	0.0348472	0.0490154	0.0844145
a31	0.0122316	0.0191893	0.056445	0.100046	0.177906	0.13812	0.150039	0.0978384	0.0596473	0.042099	0.0298949	0.0469731	0.0695703
a88	0.011684	0.0159565	0.0413908	0.0874431	0.186746	0.15295	0.161391	0.115969	0.0669718	0.0437528	0.0247132	0.0357504	0.0552812
a13	0.0048346	0.0079713	0.0254848	0.0702925	0.177899	0.180679	0.16012	0.128199	0.0758167	0.0488441	0.0274876	0.0343096	0.0580615
a38	0.00228171	0.0042744	0.0170029	0.0648576	0.210296	0.202886	0.155525	0.111287	0.063411	0.0433559	0.0278922	0.037297	0.0596343
