 	le	sel	que	j'	ai	mis	dans	la	nourriture	a	suffi	</S>
a23	0.348441	0.166904	0.0743036	0.0607736	0.0598399	0.0607623	0.0597711	0.0482109	0.0376403	0.0272821	0.0290845	0.0269859
a10	0.331953	0.145621	0.0982318	0.0975777	0.0852136	0.0532668	0.0418154	0.0332335	0.0175062	0.0178078	0.0259482	0.0518257
a53	0.167781	0.156263	0.167939	0.15793	0.116524	0.0587282	0.0345439	0.022405	0.0113737	0.0135845	0.0247547	0.068173
a4	0.45984	0.26234	0.096767	0.0405844	0.0197291	0.0169666	0.0157176	0.0128345	0.0106881	0.00952444	0.0132813	0.0417271
a58	0.319912	0.273957	0.1797	0.103769	0.0409879	0.0213978	0.0115603	0.00860865	0.00661101	0.00552474	0.00950292	0.0184687
a90	0.221994	0.231133	0.19464	0.148796	0.0715101	0.0351517	0.0156894	0.010537	0.00875618	0.00816452	0.0194546	0.034174
a76	0.134249	0.157022	0.163343	0.15982	0.1025	0.0617964	0.031697	0.023427	0.0212356	0.0224945	0.0498506	0.0725646
a56	0.121767	0.137165	0.120313	0.11824	0.101251	0.0866253	0.0660376	0.0561283	0.0454754	0.0361596	0.0504959	0.060342
a76	0.0819997	0.101339	0.130851	0.168069	0.131296	0.0901137	0.0548702	0.0442232	0.0384873	0.0354245	0.0554571	0.0678693
a69	0.06049	0.0776002	0.0904558	0.111501	0.112842	0.100988	0.0831774	0.077227	0.0700207	0.0592241	0.0736669	0.0828081
a58	0.0427627	0.0558631	0.0633961	0.0850533	0.109666	0.114386	0.0983255	0.0914872	0.0811477	0.0669306	0.0907007	0.100282
a75	0.028844	0.0374385	0.050663	0.0787874	0.124542	0.15135	0.116819	0.0936416	0.064506	0.0532436	0.0877779	0.112387
a5	0.0186621	0.0230886	0.0291806	0.038741	0.0624383	0.0850331	0.0937291	0.0987174	0.113219	0.121253	0.170776	0.145162
a12	0.0309629	0.0295259	0.0322379	0.0423035	0.0517577	0.0588916	0.06599	0.080709	0.104877	0.105678	0.216918	0.18015
a61	0.0270848	0.0236791	0.0238993	0.0309662	0.0413314	0.0511251	0.0645403	0.0860855	0.121676	0.121824	0.233755	0.174033
a75	0.0175646	0.015212	0.0167401	0.0234683	0.0363923	0.0513906	0.0743432	0.106574	0.135628	0.123991	0.230026	0.168669
a5	0.0150697	0.0152655	0.0147827	0.0145452	0.0195909	0.0269924	0.0391744	0.0486827	0.0761809	0.102979	0.373051	0.253685
a43	0.0188385	0.0155703	0.014546	0.0163042	0.0219437	0.0271785	0.0365622	0.0532544	0.0987552	0.127887	0.334719	0.234441
a75	0.00415873	0.00341448	0.003695	0.0046932	0.0080504	0.0120842	0.01941	0.0330246	0.060022	0.104592	0.446072	0.300783
a37	0.00542718	0.00483304	0.0044262	0.00438836	0.00664248	0.0100104	0.0158744	0.0241098	0.045971	0.0891548	0.431843	0.35732
a11	0.00259542	0.00215649	0.0023277	0.00270658	0.00499628	0.0077994	0.0120166	0.0186739	0.0363596	0.0786239	0.480174	0.35157
a47	0.000723587	0.000542382	0.000548376	0.000688367	0.00167578	0.00338092	0.00752246	0.0146644	0.0257087	0.0579335	0.45222	0.434392
a56	0.00161141	0.00125158	0.0013092	0.0016157	0.00343588	0.0053396	0.00814047	0.0116303	0.0182776	0.0400871	0.487859	0.419442
a93	0.000526499	0.000368748	0.000364853	0.000476205	0.00119609	0.00225086	0.00462158	0.00869786	0.0156349	0.0378514	0.452909	0.475102
a56	0.000437137	0.000350055	0.000390883	0.000600037	0.00159865	0.00306498	0.00711262	0.0143006	0.0245725	0.0542419	0.424465	0.468865
a96	0.000580863	0.000438147	0.000478928	0.000734206	0.00191338	0.00364979	0.00841195	0.0162953	0.0247675	0.0547775	0.397968	0.489985
a88	0.00112893	0.000791931	0.000704753	0.000911959	0.00208401	0.00366892	0.00760342	0.014033	0.020081	0.044958	0.433644	0.47039
a9	0.000724016	0.000527165	0.000444148	0.00056456	0.00135793	0.00260845	0.00569492	0.0116108	0.0191292	0.0432843	0.448191	0.465864
a10	0.00706458	0.00478478	0.00286996	0.00247544	0.0035652	0.00546673	0.01047	0.0222278	0.0365363	0.0877129	0.458629	0.358197
a87	0.0226075	0.0133114	0.00729768	0.00597406	0.00730922	0.00887319	0.0134646	0.0214075	0.0369159	0.081778	0.39576	0.385301
a10	0.0675131	0.0404037	0.0252566	0.0195665	0.0206116	0.023106	0.0323216	0.043928	0.0627643	0.114572	0.292767	0.25719
a87	0.0293868	0.0236665	0.0195744	0.0180449	0.02375	0.0274525	0.0356809	0.0414168	0.0548395	0.102307	0.320947	0.302934
a10	0.030775	0.0228628	0.0192497	0.0162053	0.020514	0.0240276	0.0306995	0.0373054	0.0530487	0.10478	0.297091	0.343441
</S>	0.0141596	0.0129405	0.0138347	0.0129042	0.0173767	0.0220493	0.0321465	0.0398296	0.0541178	0.101742	0.343624	0.335275
