 	le	forgeron	est	courbé	dans	son	atelier	</S>
a66	0.239684	0.187003	0.160083	0.155007	0.106593	0.0991807	0.034423	0.0180253
a87	0.193501	0.143978	0.130237	0.167234	0.153845	0.134534	0.0405437	0.0361258
a23	0.310555	0.261268	0.166184	0.155797	0.0515677	0.027109	0.0119454	0.0155738
a30	0.273147	0.244589	0.180124	0.155676	0.0644439	0.036617	0.0189704	0.0264335
a13	0.287154	0.251848	0.18704	0.118521	0.0494114	0.0317735	0.0284683	0.0457837
a57	0.295379	0.262231	0.166302	0.0624074	0.0356926	0.0302055	0.0448938	0.102888
a4	0.347731	0.268096	0.150961	0.0496092	0.0318202	0.0255462	0.0421632	0.0840727
a90	0.282441	0.235532	0.174922	0.072358	0.0517337	0.040791	0.062	0.0802222
a79	0.203393	0.195669	0.198716	0.138389	0.0945972	0.0693348	0.0523896	0.0475108
a93	0.261287	0.215515	0.190978	0.123039	0.0853493	0.0618057	0.036298	0.0257277
a4	0.165695	0.186184	0.186153	0.147617	0.108763	0.0829672	0.0641136	0.0585068
a93	0.110836	0.127738	0.15951	0.186734	0.138594	0.113215	0.0764615	0.0869107
a70	0.102971	0.109613	0.147716	0.180169	0.162575	0.14361	0.080482	0.0728652
a34	0.0794977	0.096001	0.131262	0.180478	0.167929	0.152734	0.0933617	0.0987369
a25	0.0455934	0.0599368	0.0977707	0.165372	0.178562	0.178978	0.130885	0.142902
a44	0.0525289	0.064199	0.108218	0.143771	0.183115	0.195735	0.137942	0.114493
a93	0.035633	0.0417969	0.0664345	0.124574	0.191501	0.224137	0.163043	0.15288
a70	0.0437021	0.0446796	0.0674185	0.11916	0.180005	0.217602	0.176892	0.150542
a34	0.0276512	0.0310527	0.0499828	0.0864921	0.139041	0.194976	0.237589	0.233215
a54	0.0155168	0.0181526	0.0312008	0.058589	0.106531	0.166333	0.276172	0.327504
a79	0.0199539	0.0234528	0.0313108	0.0421254	0.0649875	0.0940454	0.303684	0.420441
a0	0.0280604	0.0343331	0.0445616	0.0468069	0.073753	0.11654	0.348859	0.307085
a75	0.00767421	0.00832188	0.0104833	0.00773289	0.01741	0.0357134	0.325631	0.587034
a6	0.0133778	0.0138479	0.0190359	0.0250599	0.0440932	0.0770218	0.359972	0.447591
a36	0.0113007	0.0118178	0.0158378	0.016726	0.0295953	0.0562981	0.372973	0.485451
a85	0.00385259	0.00340547	0.0044067	0.0047447	0.0114053	0.0246669	0.323377	0.624142
a37	0.00361929	0.00403609	0.00646795	0.0082718	0.0171178	0.0362432	0.367664	0.55658
a85	0.00361348	0.00318956	0.00415643	0.00595126	0.0142689	0.0295867	0.284983	0.654251
a79	0.00202458	0.00200435	0.00328506	0.00424929	0.00873098	0.0186713	0.268928	0.692106
a7	0.00183779	0.0018465	0.00304939	0.0054831	0.0121054	0.0248878	0.261086	0.689704
a44	0.00136544	0.00120444	0.00170856	0.00343999	0.00682517	0.0126467	0.172116	0.800693
a26	0.00343872	0.00285429	0.00344361	0.00372606	0.00831867	0.0190661	0.217106	0.742046
a57	0.0176316	0.0113358	0.0112963	0.010088	0.0177629	0.0338383	0.302152	0.595895
a87	0.132891	0.0704772	0.0512784	0.0464521	0.0686934	0.0870029	0.252244	0.290961
a23	0.297259	0.149415	0.0852697	0.0776916	0.0740718	0.0728857	0.130562	0.112845
a87	0.258284	0.120523	0.0816947	0.060053	0.0686057	0.0704457	0.177347	0.163047
</S>	0.0387643	0.0260611	0.0228492	0.0288207	0.0388974	0.046739	0.274792	0.523077
