 	les	deux	rivales	se	dédaignent	n	odíb	</S>
a87	0.267729	0.270534	0.127819	0.0849936	0.0945052	0.0714466	0.056284	0.0266887
a97	0.0502728	0.036603	0.0661739	0.0799605	0.131995	0.15039	0.246269	0.238335
a40	0.131189	0.122595	0.112812	0.050092	0.0590793	0.0941271	0.187666	0.242439
a47	0.208379	0.134142	0.104449	0.0887256	0.0842952	0.116182	0.122093	0.141735
a37	0.437432	0.209113	0.0794986	0.0508503	0.0624442	0.0603521	0.0546466	0.0456626
a98	0.377622	0.284866	0.113102	0.0594488	0.0657731	0.0470714	0.0322192	0.0198974
a85	0.319387	0.292497	0.117889	0.0822525	0.081137	0.0502432	0.034325	0.0222693
a37	0.326573	0.241926	0.105557	0.0815241	0.081259	0.0667197	0.0564706	0.0399697
a85	0.307981	0.230316	0.162854	0.103587	0.0971114	0.0524844	0.0298624	0.0158043
a47	0.256986	0.26794	0.137499	0.089223	0.0905115	0.066199	0.0543945	0.037246
a44	0.234724	0.34326	0.166978	0.0832056	0.0760754	0.0346541	0.0315899	0.0295128
a98	0.185572	0.285227	0.189899	0.10697	0.111666	0.0510575	0.0406306	0.0289784
a44	0.123065	0.243531	0.132086	0.117286	0.107772	0.0911103	0.0991121	0.0860373
a90	0.09597	0.237445	0.19941	0.147146	0.139144	0.0663158	0.0613031	0.0532662
a98	0.0821496	0.169354	0.157049	0.159219	0.140961	0.10729	0.103893	0.0800839
a85	0.0944911	0.151266	0.112952	0.128597	0.123374	0.101312	0.126563	0.161444
a66	0.0925438	0.174727	0.146958	0.155941	0.130663	0.0960836	0.0998321	0.103251
a38	0.0482549	0.0845097	0.129313	0.165117	0.184093	0.120914	0.129449	0.138351
a61	0.048249	0.0728479	0.101623	0.161601	0.187477	0.12576	0.139768	0.162675
a96	0.0235816	0.0514826	0.0930284	0.161843	0.18794	0.152232	0.175213	0.15468
a98	0.0176249	0.0319369	0.0624341	0.139407	0.158846	0.151132	0.201719	0.2369
a47	0.0424872	0.0642819	0.0786094	0.114511	0.117295	0.117288	0.171909	0.293618
a66	0.0434538	0.0630336	0.0846036	0.0960295	0.0913656	0.104327	0.193365	0.323822
a62	0.00474928	0.00630781	0.0151763	0.0309026	0.038288	0.0527112	0.153714	0.69815
a21	0.0031468	0.00418418	0.0119217	0.0331565	0.040364	0.0677575	0.165042	0.674428
a41	0.00767575	0.0126649	0.0270198	0.0685862	0.0825876	0.10259	0.209713	0.489163
a2	0.00328092	0.00477067	0.0148367	0.036632	0.046934	0.0762461	0.181571	0.635729
a57	0.00137558	0.00120664	0.00439581	0.0113966	0.0221605	0.0438486	0.181475	0.734141
a87	0.00124294	0.000726999	0.00445655	0.00784564	0.0210512	0.069142	0.256834	0.638701
a23	0.00613036	0.00472462	0.0264401	0.030491	0.0664988	0.124829	0.315262	0.425624
a87	0.00803316	0.00407019	0.0189371	0.0294506	0.0553987	0.114219	0.290474	0.479417
a23	0.00408443	0.00340583	0.0192088	0.0262338	0.0432995	0.0936598	0.289117	0.520991
a99	0.0052796	0.00478747	0.0200224	0.0261548	0.0379659	0.0777318	0.282217	0.545841
a10	0.00763521	0.00862545	0.0276386	0.03465	0.0457572	0.0823298	0.246986	0.546378
</S>	0.00401264	0.004331	0.0153724	0.0200923	0.0322464	0.068801	0.249723	0.605421
