 	la	tornade	d'	hier	a	emporté	beaucoup	de	toits	dans	notre	village	</S>
a10	0.0530133	0.0484664	0.079478	0.102392	0.155092	0.12961	0.14297	0.143603	0.0775245	0.0277209	0.0146897	0.0130658	0.0123737
a87	0.0331468	0.0348734	0.0541499	0.0637172	0.0896083	0.0970065	0.0824816	0.124819	0.182968	0.106595	0.0489839	0.0402862	0.0413634
a82	0.0769401	0.0706825	0.0671	0.0746533	0.0595276	0.060279	0.0474193	0.0578124	0.0936437	0.100313	0.0729943	0.0837177	0.134917
a87	0.227713	0.101457	0.0763977	0.0808898	0.0660079	0.0320839	0.0282084	0.0304315	0.0420137	0.070645	0.0533712	0.0718667	0.118913
a97	0.19562	0.105291	0.0705254	0.072426	0.057149	0.0268448	0.0261111	0.0312454	0.0433908	0.0768101	0.0657752	0.0945642	0.134248
a99	0.174463	0.0837418	0.0616418	0.0590189	0.0505737	0.0238197	0.0245743	0.0310747	0.045718	0.0732794	0.0737829	0.120262	0.178049
a97	0.217984	0.0729579	0.0578744	0.0536145	0.0534809	0.0281231	0.0319872	0.0377182	0.0430994	0.0711138	0.0654214	0.104602	0.162023
a10	0.187105	0.0736461	0.0564438	0.0464019	0.0549087	0.0362854	0.0423169	0.0451252	0.0443424	0.0593413	0.0640005	0.112158	0.177925
a97	0.156244	0.0598695	0.0453664	0.0370553	0.0451444	0.0334231	0.0398066	0.0464142	0.0503354	0.0715184	0.0753449	0.133032	0.206446
a87	0.11431	0.0465942	0.0364283	0.0303155	0.0346208	0.0255387	0.0301173	0.0395642	0.0538756	0.0750984	0.0894106	0.17198	0.252146
a79	0.138078	0.0483775	0.0369071	0.0317052	0.0337134	0.0204193	0.0260366	0.0384349	0.0548479	0.0959887	0.0898247	0.154804	0.230863
a5	0.195548	0.0748416	0.048817	0.0409292	0.0370816	0.0221753	0.0207618	0.0237916	0.0333514	0.0536635	0.0680905	0.123303	0.257646
a96	0.392779	0.159678	0.0868871	0.0614653	0.0402585	0.0276395	0.0202351	0.0209791	0.026787	0.0242538	0.0308207	0.0417144	0.0665015
a18	0.413282	0.196354	0.0986437	0.0637065	0.0415828	0.0271987	0.0212071	0.0200565	0.0244402	0.0188678	0.0204512	0.0235782	0.0306307
a61	0.294028	0.195234	0.118722	0.0936662	0.0617986	0.0417989	0.0336881	0.0261213	0.0247905	0.0215273	0.0249349	0.02962	0.0340706
a75	0.196967	0.177281	0.13941	0.122281	0.0888356	0.0637929	0.0486844	0.0301212	0.0235856	0.020513	0.0255833	0.0304991	0.0324464
a37	0.138942	0.168523	0.13033	0.117866	0.0997412	0.0777811	0.064709	0.0417518	0.0335939	0.021236	0.027754	0.0350261	0.0427461
a61	0.099496	0.161122	0.141741	0.145291	0.119175	0.092292	0.0717873	0.0350119	0.0267066	0.0197456	0.0258302	0.0308601	0.0309425
a21	0.0770092	0.152061	0.146299	0.159323	0.132418	0.103244	0.0842183	0.0389465	0.0234291	0.0159672	0.0193759	0.0233853	0.0243234
a47	0.135639	0.174651	0.151699	0.153199	0.118779	0.0717192	0.0627624	0.036122	0.0269405	0.0144792	0.0156347	0.019119	0.0192555
a21	0.0557902	0.119284	0.143833	0.183063	0.148265	0.112169	0.0924656	0.0492266	0.0304769	0.0141134	0.0157966	0.0178663	0.0176512
a47	0.0720522	0.120035	0.1373	0.180425	0.162589	0.109672	0.0899794	0.0452761	0.0289365	0.0124299	0.0124657	0.0145935	0.0142448
a24	0.0383043	0.0796061	0.107721	0.170394	0.166048	0.147036	0.123542	0.0647341	0.0397444	0.016074	0.0150252	0.0159674	0.0158032
a71	0.028159	0.0589469	0.0735395	0.131572	0.154916	0.182896	0.1622	0.0819727	0.0500914	0.0174842	0.0166788	0.0198172	0.021727
a38	0.0149527	0.0360716	0.0464877	0.0894272	0.123211	0.190122	0.1759	0.0987665	0.072656	0.0329395	0.0330146	0.0388188	0.0476319
