 	il	ne	peut	pas	s'	empêcher	de	bouder	</S>
a23	0.170456	0.149927	0.139687	0.13779	0.113159	0.0938094	0.0645158	0.0561053	0.0745508
a3	0.255692	0.200816	0.148597	0.110962	0.0825122	0.0438729	0.0391122	0.0455733	0.0728622
a87	0.234328	0.19766	0.131004	0.0838435	0.0665484	0.0456056	0.0536766	0.0691423	0.118191
a23	0.236053	0.155712	0.0924615	0.05784	0.0509877	0.044343	0.0724942	0.103645	0.186463
a79	0.306285	0.215461	0.109552	0.0613153	0.0471176	0.0337058	0.045361	0.0550145	0.126188
a15	0.426492	0.206878	0.0782959	0.0484411	0.047538	0.0374133	0.0370578	0.0600058	0.0578779
a92	0.421289	0.272148	0.115637	0.0646381	0.0557129	0.0287643	0.0160102	0.0139947	0.0118064
a37	0.328248	0.2442	0.133027	0.0808342	0.0788081	0.0519855	0.0378513	0.0266813	0.0183649
a56	0.239263	0.255873	0.168303	0.100844	0.0965904	0.0593483	0.0317661	0.0277066	0.0203065
a34	0.164864	0.204007	0.188745	0.130322	0.125144	0.0818906	0.0434162	0.0354858	0.0261254
a75	0.155953	0.192848	0.199422	0.139697	0.128433	0.0780543	0.0428829	0.0355469	0.0271634
a92	0.127729	0.157271	0.1683	0.124386	0.129363	0.107171	0.0848575	0.0580833	0.0428405
a44	0.0957516	0.13549	0.175967	0.141196	0.1416	0.114984	0.0895107	0.0620564	0.0434448
a57	0.0792397	0.0950835	0.155935	0.153994	0.171491	0.14461	0.0905162	0.0635767	0.0455547
a38	0.0547072	0.0711653	0.1438	0.153042	0.177679	0.164953	0.0969195	0.074008	0.0637262
a93	0.0391295	0.0497939	0.10782	0.125148	0.161186	0.17323	0.128065	0.113223	0.102404
a75	0.0360942	0.0499856	0.108451	0.127989	0.169547	0.17427	0.141296	0.11256	0.0798055
a85	0.0359312	0.0487574	0.0843522	0.0929172	0.11379	0.119755	0.142134	0.149605	0.212758
a5	0.0305526	0.0405357	0.0638573	0.0764265	0.0979778	0.122981	0.145176	0.153355	0.269138
a61	0.0450061	0.0448937	0.0621473	0.0693534	0.0948677	0.138137	0.161584	0.162929	0.221082
a43	0.02454	0.0231736	0.0314528	0.0371111	0.0589057	0.116154	0.198283	0.229658	0.280723
a11	0.0048948	0.00488145	0.00838752	0.0109553	0.0215906	0.0556347	0.147295	0.256857	0.489503
a0	0.00270359	0.00267417	0.00491647	0.00693247	0.0140794	0.0369359	0.123847	0.258808	0.549103
a75	0.00176439	0.00167042	0.00303008	0.00508082	0.0106953	0.0243506	0.10659	0.19205	0.654768
a36	0.0103919	0.00939365	0.0126197	0.0130858	0.0214462	0.0392762	0.126149	0.215342	0.552295
a27	0.00113282	0.00118912	0.00227458	0.00337226	0.00751096	0.0220008	0.114513	0.210279	0.637727
a75	0.010079	0.00853669	0.0101476	0.011801	0.0183596	0.0348435	0.147923	0.2479	0.510409
a47	0.00361143	0.00321903	0.00476129	0.00553649	0.0104338	0.0234334	0.112646	0.189627	0.646732
a36	0.000980356	0.00109883	0.00224101	0.00346364	0.00827359	0.0258563	0.11727	0.2044	0.636416
a2	0.00317532	0.00328207	0.00479747	0.00736052	0.0138229	0.0289514	0.130896	0.183607	0.624106
a57	0.0369764	0.0271468	0.0249072	0.0270619	0.0363618	0.0620713	0.165502	0.20869	0.411283
a10	0.0759439	0.0375896	0.0250042	0.0251692	0.0317194	0.0632376	0.175914	0.200456	0.364966
a87	0.0496919	0.028373	0.0214676	0.0230602	0.0314807	0.0655541	0.185666	0.224855	0.369852
a97	0.0780436	0.0448442	0.0380644	0.0372561	0.0433009	0.0606278	0.171714	0.2178	0.308349
a87	0.0759304	0.0448646	0.0357435	0.0305832	0.0367901	0.0555681	0.17734	0.265009	0.278171
a10	0.0447475	0.0305871	0.0254255	0.0217295	0.0262562	0.0459336	0.167006	0.28077	0.357545
</S>	0.055695	0.0392886	0.0333738	0.0279203	0.0313145	0.05027	0.162987	0.256136	0.343014
