 	je	n'	accepte	pas	de	partir	à	la	chasse	avec	toi	car	tu	es	faible	</S>
a66	0.0804116	0.104517	0.149463	0.0843807	0.0916118	0.0792121	0.0829875	0.0754522	0.0698125	0.0510963	0.0492943	0.036131	0.0202358	0.0125645	0.00726922	0.0055604
a87	0.335412	0.128341	0.137924	0.0381031	0.0459032	0.048435	0.0405276	0.0334946	0.0341784	0.0225958	0.0229352	0.0242207	0.0253165	0.0312109	0.0180244	0.0133779
a23	0.272106	0.203466	0.180773	0.0572667	0.0540899	0.0462356	0.0395039	0.0340362	0.0272235	0.0161351	0.0169814	0.0156512	0.0126614	0.0111033	0.00690994	0.00585695
a97	0.227331	0.19023	0.206212	0.0562197	0.0459341	0.0363966	0.0298872	0.0263748	0.0259983	0.0221789	0.0248361	0.0285955	0.026038	0.023647	0.0165462	0.0135743
a99	0.172433	0.196264	0.183638	0.0726242	0.0609739	0.0534233	0.0457277	0.0402789	0.0357206	0.0291039	0.027878	0.0280649	0.0201746	0.0149133	0.0105155	0.00826583
a62	0.178003	0.230969	0.226892	0.0594951	0.0474524	0.0384255	0.0334652	0.0321058	0.0260129	0.0212806	0.0225219	0.0235311	0.0196736	0.0160961	0.0133856	0.0106906
a96	0.210983	0.199451	0.266305	0.0367108	0.0341882	0.0362886	0.0307931	0.031421	0.0217527	0.0156625	0.0187538	0.0189778	0.0216242	0.0254022	0.019219	0.0124666
a56	0.292925	0.237463	0.244367	0.0391671	0.0284657	0.0248721	0.0198786	0.0189814	0.0154503	0.0107869	0.0127383	0.0115477	0.0133254	0.0145436	0.00910478	0.00638362
a44	0.275774	0.25387	0.253568	0.0487213	0.0310431	0.0251934	0.0164948	0.0140691	0.0121381	0.00960642	0.0119008	0.0109006	0.0120356	0.0123208	0.00740039	0.00496445
a56	0.239465	0.227326	0.225704	0.065693	0.0372313	0.0323871	0.0202227	0.018053	0.0166707	0.0151761	0.018178	0.0171223	0.0192878	0.0204313	0.014932	0.01212
a75	0.195849	0.204177	0.223001	0.0937717	0.0589615	0.0509191	0.0298158	0.0233336	0.0194886	0.0167541	0.0185445	0.0159233	0.0153731	0.013697	0.0103294	0.0100604
a92	0.134574	0.158748	0.185408	0.0814544	0.068403	0.0594824	0.0430345	0.0364777	0.0351868	0.0369348	0.0374773	0.0331952	0.0240421	0.0209071	0.0198571	0.0248182
a37	0.102988	0.135553	0.170357	0.0929692	0.0817045	0.0688804	0.0495846	0.0413188	0.0394864	0.0422229	0.0395745	0.0362545	0.0252121	0.0201723	0.0220293	0.0316919
a56	0.0809787	0.110816	0.135698	0.114968	0.101821	0.0865315	0.0669998	0.0534735	0.0517328	0.0491704	0.0424593	0.0348116	0.0207868	0.0141644	0.0154035	0.0201853
a93	0.0388154	0.0724813	0.0985638	0.11883	0.114489	0.103484	0.0871093	0.0721678	0.0716594	0.0645246	0.0549839	0.0392466	0.0192852	0.0119178	0.0137782	0.0186637
a44	0.01886	0.0430148	0.0644936	0.096325	0.0983095	0.100004	0.103925	0.0974354	0.101565	0.0852197	0.0725441	0.0456964	0.0209803	0.0138555	0.0160754	0.0216963
a21	0.0080655	0.0192751	0.037031	0.0822599	0.0881796	0.0879412	0.0887739	0.0891437	0.0969621	0.0977302	0.0906305	0.0690971	0.0386892	0.0252315	0.0327112	0.0482784
a85	0.00546854	0.0117721	0.0208048	0.0674688	0.0781485	0.0781492	0.0889778	0.0884503	0.104452	0.108812	0.0996483	0.0794329	0.0495138	0.032302	0.0381663	0.0484323
a92	0.00262633	0.00510738	0.00934554	0.036473	0.0481252	0.0501303	0.0625972	0.0731516	0.102901	0.136694	0.128004	0.101812	0.0705861	0.0523157	0.0561515	0.0639787
a79	0.00412662	0.00827042	0.0154322	0.0484513	0.0632906	0.0601449	0.0724942	0.0752448	0.0938267	0.113249	0.10769	0.0893841	0.0652171	0.0524627	0.0628583	0.0678566
a7	0.00236152	0.00498702	0.0092861	0.0322546	0.0479767	0.0540874	0.0800743	0.0958328	0.115679	0.13252	0.123393	0.100272	0.0624157	0.0422426	0.0458618	0.0507558
a54	0.0027817	0.00373943	0.00608109	0.023275	0.0392215	0.0495367	0.080251	0.106923	0.115679	0.140207	0.0946609	0.0779687	0.0413449	0.0357123	0.0711731	0.111444
a47	0.00555374	0.00906484	0.0132514	0.026259	0.0350998	0.0365601	0.0511939	0.0680991	0.0900687	0.120789	0.0977779	0.0893746	0.057547	0.053842	0.100492	0.145027
a36	0.00370523	0.00622166	0.00885972	0.0235326	0.0377841	0.0460125	0.0802094	0.110932	0.134222	0.152423	0.0946452	0.0669441	0.0385868	0.0340097	0.0624286	0.0994832
a2	0.00629277	0.00905567	0.0127481	0.033111	0.0487113	0.0537556	0.0783117	0.0949891	0.101774	0.125675	0.0782361	0.0641108	0.0393756	0.0412961	0.0858606	0.126696
a57	0.0249406	0.0268282	0.0323015	0.0535135	0.0715552	0.0699779	0.0929109	0.103453	0.102611	0.103605	0.0626075	0.0463813	0.0303412	0.0309171	0.0603124	0.0877437
a10	0.0156364	0.016063	0.0231073	0.0456033	0.0659721	0.0713078	0.091296	0.104713	0.0994347	0.0954695	0.0736879	0.0685778	0.0496798	0.0446075	0.0559941	0.0788499
a11	0.0183457	0.0163485	0.0239294	0.051469	0.0649477	0.0842982	0.0916877	0.104381	0.0797482	0.068392	0.0635183	0.0748988	0.0768661	0.0685986	0.052171	0.0604
a96	0.00670948	0.00644644	0.0119092	0.0258739	0.035228	0.0526814	0.0631158	0.0837016	0.0759109	0.07332	0.0773387	0.108808	0.129336	0.106286	0.0672216	0.0761131
a75	0.00231857	0.00257673	0.00545005	0.0115599	0.0157676	0.0245858	0.0313255	0.0500575	0.0516175	0.0597938	0.0639158	0.0837575	0.138971	0.178715	0.137017	0.142571
a92	0.00160116	0.00315725	0.00682145	0.01579	0.0191232	0.0243237	0.0275295	0.0381063	0.0406012	0.0480128	0.0504477	0.0490836	0.0723415	0.136128	0.205565	0.261368
a37	0.000879587	0.00196579	0.00447783	0.0121372	0.0159942	0.0174501	0.0213844	0.0275882	0.0342157	0.0444137	0.0450775	0.0452704	0.0642633	0.125269	0.230727	0.308886
a61	0.000953538	0.00178838	0.00376646	0.011895	0.0168495	0.0195296	0.0273888	0.0368489	0.0449846	0.0556911	0.0544841	0.0557253	0.0734272	0.112966	0.207239	0.276462
a62	0.00109132	0.00158798	0.00255191	0.0091059	0.0138714	0.0170219	0.0276758	0.0369644	0.0485574	0.0573677	0.0524661	0.0589534	0.0849612	0.137081	0.208033	0.242709
a43	0.00106956	0.0014258	0.00202054	0.00779059	0.0123293	0.0154068	0.0270539	0.0355866	0.0469535	0.0579518	0.050394	0.0647462	0.0939038	0.149817	0.202387	0.231164
a0	0.00106318	0.00117772	0.00148331	0.00614053	0.01099	0.0143237	0.0256502	0.0336095	0.0454871	0.0531058	0.0458106	0.0571044	0.080555	0.132659	0.210436	0.280404
a75	0.00120777	0.00122107	0.00152049	0.00466638	0.00835909	0.0105804	0.0185546	0.025239	0.0335647	0.0408693	0.0343537	0.0443529	0.0622351	0.11873	0.247359	0.347187
a21	0.000138224	0.000187777	0.000323961	0.00126932	0.00201479	0.00257365	0.00452786	0.00734666	0.0112364	0.0235467	0.02039	0.0318447	0.0406245	0.0828186	0.283396	0.487761
a12	0.000313318	0.000402649	0.000613568	0.0022108	0.00359916	0.00469386	0.00874301	0.0133488	0.0203227	0.0326097	0.0307062	0.0446605	0.0679974	0.11694	0.25835	0.394489
a21	0.000497394	0.000563889	0.00078035	0.00261799	0.00435651	0.0059963	0.0120999	0.0184638	0.0269985	0.0393157	0.0337031	0.0400013	0.0550169	0.100319	0.246841	0.412428
a5	0.000600078	0.000683495	0.000898333	0.002895	0.00462586	0.00609397	0.0115507	0.0168442	0.026253	0.0410099	0.0355855	0.0476612	0.0619136	0.113809	0.248092	0.381484
a12	0.000223752	0.000291623	0.000498536	0.00184933	0.00301163	0.00375792	0.00705267	0.0105772	0.0143638	0.021302	0.0174618	0.0238424	0.0357919	0.0731393	0.271427	0.515409
a61	0.000306184	0.00036221	0.000578805	0.002542	0.00436623	0.00584184	0.012021	0.0187495	0.0246624	0.0341574	0.0245769	0.0284466	0.0391557	0.075932	0.246153	0.482148
a21	0.000357053	0.000437163	0.000677957	0.002693	0.0045431	0.0063097	0.0128826	0.0202333	0.0284633	0.0397826	0.0290202	0.032282	0.0420142	0.0805068	0.243719	0.456078
a12	0.000205035	0.000242612	0.000382443	0.00120994	0.00200788	0.002753	0.00534456	0.00836626	0.013542	0.0195705	0.0157466	0.0194997	0.0270812	0.0624457	0.283456	0.538147
a18	0.000227261	0.000260712	0.000427865	0.00157548	0.00267294	0.00364568	0.00720963	0.0115252	0.0159028	0.0208459	0.0149088	0.0174599	0.0263653	0.0616006	0.263618	0.551754
a25	0.00339067	0.00235527	0.00238236	0.00624339	0.0109622	0.014008	0.0240818	0.0348116	0.0402115	0.0451891	0.032702	0.0321092	0.0442831	0.0800876	0.237599	0.389583
a87	0.0147997	0.010059	0.00792262	0.0141281	0.0197363	0.0218698	0.0277215	0.0345509	0.0388408	0.0470318	0.0462783	0.0610219	0.0817024	0.114167	0.211887	0.248283
a23	0.0126583	0.0070995	0.0061668	0.0187971	0.030161	0.0424619	0.0575648	0.0842667	0.0939959	0.100253	0.0884532	0.0714035	0.0641685	0.0715549	0.112296	0.138699
a87	0.00166801	0.000783623	0.00077313	0.00236133	0.0033693	0.00671007	0.00925402	0.0176709	0.0250966	0.0361584	0.0456192	0.0468092	0.0696169	0.11327	0.257861	0.362979
a97	0.00208245	0.000969179	0.00084476	0.00293051	0.00471176	0.00778995	0.0103872	0.016022	0.0178627	0.0202479	0.0192561	0.0185448	0.0291115	0.0626429	0.235482	0.551114
</S>	0.0195444	0.0105481	0.0135942	0.0261359	0.0399723	0.0549882	0.0693118	0.0891263	0.085504	0.0758408	0.0611498	0.0435009	0.0427388	0.0582686	0.111343	0.198433
