 	cette	famille	est	riche	ils	ont	du	bien	</S>
a23	0.263085	0.169541	0.190986	0.165804	0.0860658	0.0484133	0.0324291	0.0223198	0.0213566
a87	0.402076	0.175141	0.115435	0.0797349	0.0566869	0.0425431	0.0424554	0.0408202	0.0451078
a23	0.190614	0.179949	0.147868	0.0945915	0.0527411	0.0480405	0.0666432	0.0945374	0.125015
a9	0.356072	0.206084	0.095054	0.039842	0.0242792	0.0284745	0.0482019	0.0814148	0.120578
a87	0.417248	0.219534	0.101783	0.0462488	0.0227408	0.0274827	0.0395893	0.0555808	0.0697923
a84	0.23763	0.133844	0.0630129	0.0338677	0.0292164	0.0445795	0.085746	0.152599	0.219504
a53	0.22335	0.132987	0.0658901	0.0328025	0.0287395	0.0431995	0.0857988	0.164096	0.223136
a20	0.387521	0.268172	0.114748	0.0446535	0.0208088	0.022416	0.0318706	0.0512616	0.0585478
a76	0.268833	0.252535	0.16846	0.111281	0.0555039	0.0411619	0.0364622	0.0335458	0.0322165
a73	0.251407	0.262177	0.188647	0.124429	0.0629629	0.0410902	0.0287347	0.0212688	0.0192831
a26	0.245505	0.257767	0.193345	0.135527	0.0645818	0.0387792	0.0264095	0.0196937	0.0183919
a11	0.165197	0.196844	0.202013	0.18098	0.0866838	0.0551428	0.0420065	0.0354364	0.0356969
a24	0.128848	0.171197	0.211985	0.212191	0.0907799	0.0570745	0.0449722	0.0397309	0.043222
a88	0.145194	0.185044	0.22703	0.211252	0.0968816	0.0523631	0.0323257	0.0246712	0.0252389
a71	0.120156	0.182927	0.246817	0.226895	0.0959893	0.0495926	0.0305259	0.0224328	0.0246639
a24	0.0782032	0.134415	0.219624	0.235373	0.119753	0.07128	0.0506277	0.0406961	0.050028
a31	0.0629684	0.111259	0.197606	0.235185	0.128357	0.0847139	0.0634571	0.0532225	0.0632309
a98	0.0806696	0.133625	0.216674	0.214101	0.116267	0.0890555	0.06252	0.043694	0.0433938
a54	0.0747163	0.116951	0.206911	0.200861	0.101857	0.0786152	0.0687742	0.0709283	0.0803857
a44	0.0672572	0.0852057	0.136238	0.156985	0.106341	0.0998875	0.0997385	0.113071	0.135277
a4	0.0548436	0.0656317	0.116851	0.16543	0.143028	0.12707	0.107442	0.10032	0.119384
a13	0.0401291	0.0445467	0.0711325	0.0969347	0.103095	0.116411	0.13486	0.169489	0.223401
a53	0.0344971	0.0372341	0.0653003	0.093321	0.113617	0.133279	0.142105	0.165224	0.215422
a44	0.0337089	0.0340712	0.0521824	0.0688511	0.0928369	0.11827	0.139627	0.185914	0.27454
a84	0.0271128	0.0283133	0.0403061	0.0487932	0.0746909	0.11063	0.153759	0.216095	0.3003
a57	0.029581	0.0240504	0.0379304	0.0455874	0.0701413	0.108203	0.156097	0.217882	0.310527
a87	0.0256619	0.0144679	0.0205883	0.0240854	0.0504645	0.0929734	0.149007	0.245136	0.377616
a23	0.0281465	0.00964526	0.00781611	0.00921102	0.0308136	0.0755841	0.154458	0.310055	0.374271
a97	0.0281801	0.0112082	0.00889979	0.0112063	0.054382	0.12262	0.200609	0.261439	0.301456
a79	0.0110825	0.00617099	0.00706091	0.00874489	0.0364065	0.0936423	0.181917	0.306457	0.348519
a20	0.0337464	0.0155572	0.0140648	0.0164764	0.0745059	0.127921	0.173184	0.230716	0.313828
a73	0.0204582	0.0158614	0.0245219	0.0314771	0.0532542	0.0996695	0.161973	0.242463	0.350322
a27	0.01224	0.0146624	0.033624	0.0491313	0.0693533	0.118968	0.181383	0.234885	0.285754
a11	0.0039529	0.00412675	0.00918136	0.018038	0.043542	0.0934952	0.179308	0.287349	0.361006
a24	0.00339323	0.00315455	0.00586938	0.0114142	0.0326103	0.0805206	0.168243	0.299657	0.395138
a61	0.00504974	0.00523906	0.0105704	0.0175694	0.0341866	0.0731413	0.153524	0.29202	0.408699
a54	0.00507411	0.00573223	0.0111399	0.017663	0.0314324	0.0645406	0.136417	0.295959	0.432043
a73	0.0202357	0.0159009	0.0197364	0.0235987	0.0409762	0.0777804	0.149693	0.276994	0.375084
a26	0.00367688	0.00392598	0.00728065	0.0120682	0.0280876	0.0627088	0.136533	0.304988	0.440731
a38	0.00207396	0.00167457	0.00352124	0.00620951	0.018031	0.044355	0.106298	0.293274	0.524563
a62	0.00340163	0.00218316	0.00364419	0.00508114	0.0160582	0.042354	0.106003	0.30076	0.520515
a24	0.00445485	0.00299563	0.00433919	0.0054734	0.0122861	0.0309666	0.0839185	0.28354	0.572026
a38	0.00688939	0.00388104	0.0049568	0.00584966	0.0120631	0.0289405	0.0745483	0.269832	0.593039
a24	0.0057248	0.0030504	0.00448628	0.0056454	0.0135197	0.0342727	0.0831209	0.27679	0.57339
a9	0.00450602	0.00228687	0.0028629	0.00339836	0.0100515	0.0301407	0.0788086	0.280282	0.587663
a99	0.00427194	0.0025928	0.0033232	0.0045212	0.0168937	0.0455315	0.0962835	0.270561	0.556021
a87	0.00860943	0.00376564	0.00348821	0.00392833	0.0156578	0.0438811	0.093601	0.268278	0.55879
</S>	0.016907	0.00584072	0.0038506	0.00444566	0.0261348	0.0586211	0.108826	0.267819	0.507555
