 	leur	grand-mère	mange	dans	une	casserole	</S>
a66	0.368913	0.412741	0.173399	0.0277316	0.00832902	0.00465998	0.0042265
a87	0.525718	0.301342	0.131193	0.0239457	0.0095539	0.00508206	0.00316528
a23	0.48646	0.237886	0.143134	0.0602886	0.0364825	0.018482	0.0172665
a40	0.444487	0.191141	0.115797	0.0616625	0.0614029	0.0444325	0.0810767
a47	0.372206	0.367156	0.160629	0.0517614	0.0240121	0.0111876	0.013048
a36	0.210249	0.326931	0.250608	0.0929134	0.061468	0.0336349	0.0241956
a47	0.16744	0.258865	0.270509	0.162424	0.0876763	0.0446102	0.00847635
a6	0.166033	0.276314	0.237835	0.143073	0.0825705	0.076614	0.0175601
a85	0.163938	0.223333	0.267928	0.154803	0.0806241	0.0874332	0.0219406
a6	0.16187	0.256557	0.26228	0.125635	0.0641073	0.0914664	0.038084
a36	0.164731	0.163211	0.158374	0.112283	0.0896182	0.180551	0.131232
a75	0.115401	0.141501	0.185019	0.133492	0.0772307	0.156797	0.19056
a85	0.0684287	0.104477	0.159799	0.138995	0.102207	0.226705	0.199388
a47	0.0582163	0.0948037	0.118393	0.120949	0.100887	0.225776	0.280976
a6	0.00947048	0.0124848	0.0246229	0.0637586	0.121641	0.346311	0.421711
a0	0.00847765	0.00980963	0.0131178	0.0435412	0.162079	0.328533	0.434442
a75	0.00879773	0.00765875	0.00687486	0.0204142	0.0969829	0.229967	0.629304
a6	0.00214493	0.00211481	0.00225204	0.00986902	0.0701445	0.214454	0.699021
a37	0.000799507	0.000904135	0.0012041	0.00660958	0.0564543	0.214145	0.719884
a47	0.00207409	0.00307785	0.00376883	0.0138572	0.058942	0.167468	0.750812
a5	0.00271256	0.0075132	0.00969677	0.034526	0.0944388	0.178976	0.672137
a36	0.00238658	0.00587553	0.00999923	0.0352173	0.0883613	0.203434	0.654726
a27	0.00214905	0.00698163	0.0109887	0.0403267	0.110715	0.178618	0.650221
a82	0.0558594	0.0891207	0.0394359	0.0541312	0.100628	0.170864	0.489961
a87	0.340144	0.278296	0.105175	0.0557239	0.0500813	0.0640004	0.10658
a23	0.361658	0.290569	0.195928	0.064592	0.0264998	0.0259574	0.0347953
a87	0.143847	0.0962176	0.0635361	0.0526278	0.112889	0.197086	0.333796
</S>	0.0146241	0.0150778	0.0111012	0.0183204	0.0836255	0.22991	0.627341
