 	les	enfants	ont	piétiné	l'	herbe	en	cherchant	les	criquets	</S>
a23	0.26514	0.20477	0.13824	0.0616209	0.082934	0.0656055	0.0635836	0.0462619	0.0251438	0.0264602	0.0202408
a99	0.423531	0.254259	0.123688	0.0317413	0.0223371	0.0169361	0.0230507	0.0210642	0.0204941	0.0316991	0.0311995
a54	0.180182	0.120849	0.0860851	0.0560082	0.0338741	0.0362696	0.0610778	0.076968	0.0766645	0.110689	0.161332
a47	0.285997	0.301789	0.261489	0.0570886	0.0192558	0.012122	0.0218055	0.0157474	0.00923675	0.00811142	0.00735676
a37	0.203987	0.237075	0.275147	0.142401	0.0501582	0.022779	0.0408002	0.0144329	0.00553831	0.00373203	0.00394969
a6	0.11878	0.134816	0.147139	0.14265	0.119586	0.0879587	0.117531	0.0738488	0.0226571	0.0187497	0.0162831
a37	0.0764183	0.0877614	0.111093	0.137119	0.13662	0.0998313	0.128482	0.11301	0.0444132	0.0346175	0.0306345
a62	0.0766354	0.0773433	0.091632	0.192392	0.205522	0.119384	0.112463	0.0750303	0.0215077	0.0146599	0.0134297
a83	0.0442828	0.04988	0.0633238	0.158121	0.221431	0.168092	0.138106	0.09891	0.0275286	0.0157565	0.0145691
a66	0.0307689	0.0343642	0.0404992	0.135837	0.232446	0.204123	0.138402	0.0970207	0.0339541	0.0258421	0.0267429
a62	0.016828	0.019946	0.0269624	0.11613	0.240679	0.225861	0.150221	0.103996	0.0370054	0.0286225	0.0337502
a75	0.0233643	0.0266763	0.0311338	0.0879786	0.203476	0.195445	0.170708	0.14462	0.0543017	0.0325002	0.0297948
a56	0.0156366	0.0179646	0.0231976	0.0469614	0.102437	0.13843	0.142365	0.165123	0.129153	0.11382	0.104912
a0	0.012186	0.0130986	0.0159032	0.0334051	0.104778	0.198531	0.195381	0.216969	0.102045	0.0596643	0.0480393
a11	0.00556828	0.00549383	0.00582322	0.0163412	0.0589446	0.166622	0.163195	0.255719	0.131725	0.104389	0.0861793
a70	0.00818709	0.00795935	0.00818595	0.0208992	0.0668938	0.169445	0.168617	0.23884	0.124508	0.101876	0.0845894
a93	0.00733875	0.00716799	0.00759848	0.019316	0.0554378	0.150712	0.156948	0.23635	0.149179	0.116669	0.0932828
a70	0.00436292	0.00433444	0.00510676	0.0123498	0.0402459	0.131382	0.137143	0.210666	0.183484	0.150337	0.120589
a62	0.00242458	0.00241534	0.00286834	0.00922977	0.0285771	0.0923153	0.10131	0.173863	0.194499	0.195271	0.197225
a0	0.00199405	0.00201198	0.00234269	0.00712602	0.0207474	0.0657422	0.0708038	0.123915	0.19251	0.233879	0.278928
a43	0.00120719	0.00118555	0.00115843	0.00281126	0.00838588	0.0245357	0.0282354	0.0706844	0.152234	0.297367	0.412195
a93	0.000436742	0.00041008	0.000382713	0.00110893	0.00385356	0.0134091	0.015894	0.0451693	0.120267	0.277287	0.521781
a75	0.000306668	0.000290836	0.000334588	0.00130552	0.00456741	0.0162636	0.0176205	0.0444041	0.10859	0.259723	0.546595
a21	0.000313101	0.000351579	0.000440687	0.00125957	0.0042541	0.0119044	0.0148924	0.0441404	0.0972696	0.25547	0.569704
a47	0.000481614	0.000497741	0.000533861	0.00157562	0.00403594	0.0106338	0.013312	0.0324485	0.0830332	0.262574	0.590874
a62	0.000463381	0.000497592	0.000494644	0.0011972	0.00261583	0.00809272	0.00997136	0.031861	0.103762	0.267274	0.573771
a21	0.000603166	0.000673251	0.000651497	0.00133064	0.00217823	0.00849978	0.0109924	0.0324004	0.106986	0.260078	0.575607
a47	0.000467351	0.000504988	0.00052785	0.000978897	0.00193092	0.00580464	0.00808885	0.0260828	0.0936616	0.281134	0.580818
a62	0.000458195	0.000481528	0.000454877	0.000724904	0.00119294	0.00370914	0.0055545	0.0186647	0.0723872	0.261775	0.634597
a47	0.000512536	0.000598215	0.000575464	0.000922779	0.00137818	0.00483747	0.00666846	0.0224212	0.0897216	0.268835	0.603529
a18	0.000771925	0.00083498	0.00076298	0.00132815	0.00215252	0.00679067	0.0103586	0.0295096	0.100328	0.280359	0.566804
a25	0.00437392	0.0046246	0.00454289	0.00555715	0.00586719	0.0101717	0.0157313	0.0470644	0.125217	0.334269	0.44258
a10	0.00355534	0.00288659	0.00238734	0.00267867	0.00366758	0.00717412	0.012817	0.0427513	0.148109	0.353115	0.420858
a87	0.0622315	0.0578165	0.0427705	0.0268568	0.025665	0.0290336	0.0400853	0.0614346	0.14447	0.259761	0.249876
a23	0.0878606	0.0848116	0.0616247	0.0311647	0.0244722	0.0275964	0.0384847	0.0597511	0.144145	0.223085	0.217004
a87	0.0122779	0.0108404	0.00739102	0.00399724	0.00449246	0.0101166	0.0160515	0.0402998	0.145113	0.313167	0.436254
</S>	0.00370536	0.00409134	0.00320266	0.00189014	0.00264324	0.00675146	0.0103816	0.0266265	0.112838	0.29875	0.52912
