 	je	n'	en	ai	vu	aucun	</S>
a23	0.293767	0.123872	0.103314	0.108821	0.112614	0.15247	0.105142
a87	0.436512	0.225158	0.13709	0.0831645	0.0396154	0.0333903	0.0450691
a23	0.223699	0.22763	0.202158	0.152074	0.0799554	0.0557067	0.0587764
a87	0.330649	0.220006	0.15629	0.0990849	0.0649946	0.0594448	0.0695309
a23	0.196796	0.172555	0.152261	0.136646	0.114111	0.105108	0.122523
a13	0.388967	0.213001	0.140185	0.0737541	0.0544358	0.0516118	0.0780458
a24	0.425853	0.27401	0.170989	0.0714762	0.0340332	0.0161951	0.00744385
a32	0.281991	0.278325	0.22151	0.128404	0.0615075	0.0202018	0.00806112
a38	0.173537	0.223206	0.238049	0.184749	0.103578	0.0510932	0.0257874
a76	0.157672	0.208798	0.227287	0.20062	0.12094	0.0601271	0.0245568
a90	0.194179	0.214263	0.226289	0.188639	0.107911	0.051558	0.0171622
a25	0.208129	0.216796	0.217412	0.1725	0.105506	0.0570931	0.0225643
a38	0.164958	0.18541	0.199214	0.190869	0.14008	0.083587	0.0358808
a20	0.0936634	0.133386	0.156285	0.208158	0.198152	0.14074	0.0696148
a73	0.124478	0.132339	0.153414	0.175269	0.160838	0.149726	0.103936
a0	0.0560429	0.0739627	0.0889056	0.151254	0.19748	0.245908	0.186448
a11	0.0315081	0.0393034	0.0466758	0.0937289	0.162418	0.300549	0.325818
a75	0.0295456	0.0332344	0.0363609	0.0745418	0.154503	0.325528	0.346286
a76	0.0530697	0.050487	0.0570236	0.0975924	0.165046	0.257319	0.319463
a94	0.0712437	0.0628804	0.0675353	0.0927974	0.145015	0.245697	0.314831
a58	0.0328333	0.0329796	0.0334303	0.0519926	0.0930099	0.2629	0.492855
a4	0.0207828	0.0203742	0.0199901	0.0363905	0.0734603	0.254588	0.574414
a76	0.0419192	0.0338419	0.0310755	0.0458406	0.080029	0.233112	0.534182
a20	0.0346508	0.0286781	0.026414	0.0393691	0.0754912	0.217891	0.577506
a84	0.02502	0.0207673	0.0181352	0.027059	0.0526118	0.202296	0.65411
a40	0.0191352	0.0150834	0.0130126	0.017358	0.0297678	0.13954	0.766103
a75	0.0360909	0.0269515	0.0213221	0.0253256	0.0404137	0.144439	0.705457
a73	0.0243054	0.0205647	0.0185498	0.0270938	0.0563905	0.163024	0.690072
a84	0.0183431	0.0144124	0.0122235	0.0190843	0.0406566	0.140984	0.754296
a57	0.0179213	0.0148357	0.0142682	0.0208412	0.0364164	0.134895	0.760822
a87	0.0399926	0.0246156	0.0175213	0.0267001	0.0582802	0.164963	0.667927
</S>	0.0251178	0.0156462	0.0123687	0.0220248	0.0603636	0.197087	0.667392
