 	quitte	là	tu	es	suvage	</S>
a66	0.240326	0.217856	0.160239	0.151495	0.162338	0.067746
a87	0.199289	0.214231	0.158881	0.17703	0.17823	0.0723394
a23	0.372602	0.218349	0.113299	0.115232	0.122439	0.0580789
a36	0.452812	0.240506	0.115616	0.088828	0.05732	0.0449186
a5	0.325169	0.166842	0.147151	0.152902	0.107886	0.10005
a6	0.495516	0.168676	0.135946	0.111949	0.0545211	0.0333915
a5	0.363296	0.173961	0.194242	0.156396	0.0674559	0.0446489
a23	0.34375	0.187857	0.169377	0.158342	0.0881122	0.0525618
a25	0.245359	0.181624	0.189809	0.183195	0.113095	0.0869189
a71	0.170069	0.183634	0.217115	0.18326	0.123619	0.122303
a18	0.0998502	0.16516	0.181742	0.182706	0.194437	0.176105
a83	0.107126	0.168229	0.18426	0.173734	0.18522	0.181432
a70	0.0773976	0.157842	0.168406	0.194698	0.237744	0.163912
a66	0.0384383	0.112296	0.138915	0.175203	0.304873	0.230275
a61	0.0150673	0.0848158	0.120848	0.166231	0.322656	0.290382
a75	0.0133875	0.0680845	0.111555	0.17967	0.333138	0.294165
a25	0.013368	0.0669178	0.136939	0.170185	0.271049	0.34154
a94	0.00692396	0.0486523	0.110708	0.144477	0.224628	0.464611
a98	0.00501552	0.0290118	0.0745497	0.112045	0.224572	0.554805
a85	0.00553423	0.0296661	0.0653385	0.0948274	0.185281	0.619352
a37	0.0049469	0.0259861	0.0596622	0.082476	0.158435	0.668494
a18	0.00426043	0.0240618	0.054434	0.0816315	0.141922	0.69369
a25	0.036847	0.0751294	0.102119	0.127568	0.17627	0.482067
a3	0.0232778	0.0509767	0.0914453	0.131756	0.159838	0.542706
a87	0.0866953	0.102113	0.120121	0.128462	0.166857	0.395751
a23	0.176241	0.153556	0.153471	0.147518	0.155671	0.213543
a97	0.103525	0.181325	0.201383	0.156306	0.142037	0.215424
</S>	0.127316	0.154194	0.177773	0.137634	0.124761	0.278323
