 	la	cola	se	fend	sous	l'	effet	du	soleil	</S>
a66	0.42427	0.249025	0.0700467	0.0612211	0.0392991	0.0416904	0.0390897	0.031393	0.0230547	0.0209106
a87	0.305553	0.0905418	0.0408044	0.0487729	0.0699234	0.110385	0.10568	0.0957612	0.0742756	0.0583027
a97	0.290437	0.117614	0.0633526	0.0456887	0.0544404	0.0713998	0.0852132	0.0884664	0.0984137	0.0849746
a10	0.384368	0.187569	0.0623583	0.0407131	0.043696	0.0482321	0.0463194	0.052637	0.0661042	0.068002
a87	0.417074	0.171339	0.0498447	0.0366942	0.0421385	0.0480551	0.0435287	0.0527334	0.0638577	0.0747347
a97	0.402075	0.165305	0.0380238	0.0294332	0.0353297	0.0458945	0.0472698	0.0640176	0.0786969	0.0939549
a87	0.423435	0.170536	0.0538978	0.0445314	0.046963	0.0524443	0.0441819	0.048388	0.0534445	0.0621788
a97	0.34491	0.143979	0.0471189	0.0438602	0.0520489	0.0619948	0.05977	0.0706405	0.0820742	0.093604
a99	0.345423	0.145462	0.0474529	0.0498236	0.0595569	0.0643307	0.0574559	0.0647276	0.0746486	0.0911194
a38	0.451551	0.155286	0.0519247	0.0450037	0.0369625	0.0373853	0.0322669	0.0455646	0.0576036	0.0864517
a71	0.385985	0.219988	0.0733661	0.0463789	0.0296047	0.0254308	0.0205449	0.0327723	0.0545412	0.111389
a62	0.237642	0.207942	0.146065	0.1032	0.0743107	0.0542793	0.0323469	0.0381829	0.0415312	0.0644987
a0	0.154226	0.28846	0.241765	0.135374	0.0747485	0.0401377	0.0187019	0.014626	0.012679	0.0192818
a31	0.100025	0.175972	0.201261	0.138941	0.113168	0.0799873	0.0495822	0.0434894	0.0405238	0.057051
a47	0.0706921	0.110224	0.154313	0.132015	0.135527	0.105214	0.0753626	0.0673229	0.0645922	0.0847373
a62	0.0606415	0.0655007	0.104608	0.11817	0.154834	0.132935	0.0924823	0.0810113	0.0774877	0.112329
a21	0.0638112	0.0824433	0.176075	0.189709	0.169601	0.118928	0.061173	0.0428749	0.0380065	0.0573787
a85	0.0283589	0.0319713	0.0608993	0.104715	0.134165	0.150796	0.121958	0.123355	0.105594	0.138188
a6	0.0147013	0.0152503	0.0366611	0.0856056	0.102978	0.121451	0.104124	0.140468	0.162355	0.216406
a56	0.0151642	0.0107203	0.0336399	0.0892781	0.119042	0.146063	0.12877	0.149747	0.136324	0.171253
a96	0.0107576	0.00706087	0.0138768	0.0347955	0.0901531	0.13828	0.164328	0.199516	0.16914	0.172091
a0	0.00180525	0.00108793	0.00354021	0.0110791	0.0412147	0.0830875	0.149137	0.232125	0.23794	0.238983
a24	0.000877652	0.000458662	0.00103114	0.00299811	0.0159743	0.0384764	0.0785883	0.172603	0.314652	0.37434
a88	0.000586381	0.000295034	0.000574511	0.00137278	0.00652978	0.0186397	0.044184	0.119179	0.313584	0.495055
a71	0.000249543	0.000130262	0.00032522	0.000865468	0.00500829	0.014165	0.0312869	0.08756	0.279573	0.580837
a9	0.00284644	0.00196188	0.00349669	0.00621582	0.0182082	0.0363955	0.0723401	0.132952	0.271397	0.454187
a97	0.0225715	0.0131776	0.0154894	0.0246612	0.0411043	0.062191	0.100808	0.149412	0.226166	0.344419
a87	0.127508	0.0428479	0.0376198	0.0524063	0.0670879	0.0799471	0.10039	0.135635	0.166887	0.189671
a97	0.074023	0.0280921	0.0232169	0.0315451	0.0631651	0.0727094	0.100436	0.177265	0.224624	0.204923
a87	0.0290336	0.0101563	0.0105834	0.0203759	0.0517893	0.0744059	0.13199	0.199969	0.254606	0.21709
</S>	0.0217927	0.0114945	0.00904884	0.0148729	0.0332657	0.0440402	0.0841743	0.180727	0.296525	0.304059
