 	j'	ai	trouvé	des	ananas	dans	la	brousse	</S>
a87	0.234023	0.164397	0.10462	0.0806605	0.0998439	0.115838	0.0863495	0.0632912	0.0509773
a10	0.354022	0.12798	0.0648008	0.044363	0.0678246	0.0887825	0.0860047	0.0861075	0.0801152
a87	0.336799	0.154377	0.0787023	0.0603785	0.0749083	0.0739464	0.0611702	0.0725396	0.0871792
a23	0.47883	0.192633	0.0742711	0.0455912	0.0482607	0.0478569	0.0348361	0.0368089	0.0409116
a99	0.418763	0.234255	0.0959577	0.0416471	0.0418364	0.0512564	0.0340508	0.0378465	0.0443863
a26	0.33877	0.221861	0.108873	0.0748581	0.0627308	0.0486395	0.038044	0.0449624	0.0612612
a32	0.278825	0.222713	0.156712	0.102655	0.0667851	0.0475788	0.0368704	0.0398768	0.0479845
a71	0.171857	0.186498	0.181272	0.144874	0.0910126	0.0623986	0.0483624	0.0532649	0.060461
a38	0.108493	0.124283	0.137572	0.147369	0.116113	0.086347	0.0794401	0.0928273	0.107555
a26	0.088049	0.107995	0.126371	0.158319	0.138382	0.10317	0.0884977	0.0929643	0.0962532
a24	0.0908127	0.107255	0.119831	0.145888	0.148178	0.121583	0.0958203	0.0866669	0.0839651
a9	0.0681599	0.0891644	0.112929	0.157886	0.163649	0.131903	0.106116	0.0877727	0.0824196
a87	0.0217255	0.0257068	0.0321763	0.0586028	0.126673	0.131314	0.183129	0.195759	0.224913
a23	0.0517519	0.0543726	0.0730355	0.110238	0.136922	0.123078	0.122645	0.143178	0.184779
a50	0.141208	0.105492	0.108445	0.095249	0.103384	0.0987798	0.0784444	0.10764	0.161359
a24	0.163478	0.152833	0.167478	0.130612	0.0965379	0.0848345	0.0734397	0.070833	0.0599546
a25	0.0860234	0.0814494	0.0921531	0.107143	0.127186	0.135302	0.136863	0.129549	0.104331
a87	0.0445157	0.0412927	0.0452538	0.0715487	0.132659	0.157049	0.179814	0.176782	0.151086
a38	0.0347102	0.0283875	0.0308383	0.038335	0.0678645	0.0915199	0.145661	0.236532	0.326151
a90	0.0429725	0.0313075	0.0340892	0.0353519	0.068905	0.0927445	0.138102	0.216971	0.339557
a76	0.0471323	0.0347576	0.0364727	0.0484763	0.101579	0.131223	0.169358	0.204319	0.226683
a94	0.0651182	0.0532053	0.0535012	0.0720952	0.123483	0.134914	0.149664	0.17136	0.176659
a0	0.0241839	0.0226862	0.0263893	0.034208	0.0707808	0.115528	0.178641	0.25054	0.277044
a32	0.0104101	0.00897812	0.0106115	0.0132057	0.0316604	0.0632457	0.143443	0.282154	0.436292
a75	0.0111665	0.0101351	0.0127507	0.0169858	0.035523	0.0659643	0.130954	0.264333	0.452188
a14	0.010774	0.0104762	0.0136486	0.0184691	0.0326321	0.057654	0.130452	0.274719	0.451175
a44	0.0134828	0.0140714	0.0194708	0.0227778	0.0364909	0.067403	0.144649	0.272243	0.409411
a57	0.00622202	0.00573087	0.00760542	0.0103994	0.020992	0.0371573	0.11037	0.281044	0.520479
a53	0.00450059	0.00347358	0.0047649	0.00622424	0.0145153	0.0298204	0.102747	0.266737	0.567217
a90	0.0138579	0.00980176	0.0114199	0.0156603	0.0289048	0.0452463	0.109316	0.255844	0.509949
a76	0.0114843	0.00712147	0.00749875	0.00823399	0.0138146	0.024602	0.0819035	0.256182	0.589159
a69	0.0323534	0.02231	0.0231096	0.0217602	0.0250106	0.0354076	0.0920334	0.255172	0.492843
a58	0.0208935	0.0117221	0.0130706	0.0157333	0.0278351	0.0414154	0.0967139	0.241988	0.530628
a82	0.0243154	0.012757	0.012727	0.0123881	0.0239205	0.0389079	0.093452	0.240389	0.541143
a87	0.0519381	0.0354981	0.0339243	0.0140853	0.0152176	0.0323071	0.0795754	0.238261	0.499193
</S>	0.0575955	0.0417815	0.0451052	0.0170987	0.0135672	0.029584	0.0723586	0.235123	0.487786
