 	un	homme	est	venu	accuser	ton	père	</S>
a23	0.311734	0.192167	0.123048	0.105688	0.103286	0.0753723	0.047843	0.040861
a10	0.278312	0.161304	0.149854	0.132965	0.0918835	0.0708753	0.05539	0.0594162
a50	0.217565	0.178635	0.1495	0.129891	0.0956746	0.0734836	0.0724181	0.0828324
a62	0.419266	0.253861	0.145003	0.0891876	0.0469198	0.0194573	0.0134005	0.0129042
a83	0.466556	0.294049	0.126464	0.057787	0.0288796	0.0107394	0.00773599	0.00778883
a24	0.378166	0.307905	0.155422	0.0706809	0.0391389	0.0172507	0.0150503	0.0163866
a41	0.277421	0.255938	0.182938	0.113922	0.0805588	0.0384493	0.0257314	0.0250416
a32	0.222645	0.22697	0.202021	0.151422	0.105686	0.0408673	0.0267663	0.0236224
a25	0.137785	0.142591	0.170533	0.178967	0.159317	0.0939686	0.0611592	0.0556787
a38	0.10717	0.112166	0.137441	0.148437	0.146343	0.120936	0.107538	0.11997
a90	0.0828426	0.0837544	0.112863	0.153132	0.196944	0.148016	0.111478	0.11097
a92	0.0878506	0.0831745	0.118556	0.159834	0.201733	0.15345	0.102908	0.092494
a26	0.0512272	0.0495852	0.0796924	0.136352	0.201	0.189523	0.151178	0.141443
a41	0.0236005	0.0239658	0.0424911	0.0957285	0.16662	0.197394	0.206799	0.243401
a76	0.0213997	0.0218656	0.0366526	0.0927622	0.1765	0.197376	0.213516	0.239927
a94	0.0074827	0.00826136	0.0128529	0.0332686	0.0964852	0.181039	0.299457	0.361152
a32	0.010007	0.0105382	0.0152416	0.0292598	0.0634076	0.143815	0.276753	0.450978
a35	0.00560204	0.00506374	0.00768725	0.0185463	0.0458994	0.121924	0.274656	0.520622
a66	0.00618085	0.00503901	0.00686336	0.0170994	0.0516214	0.129871	0.29375	0.489575
a75	0.00416907	0.00329767	0.00415154	0.0098374	0.0280546	0.0951406	0.26069	0.59466
a14	0.00324937	0.00242202	0.00331767	0.00897521	0.0286007	0.117243	0.284239	0.551953
a35	0.00374569	0.00308072	0.00456304	0.0124722	0.0396864	0.136623	0.306463	0.493366
a76	0.00766885	0.00534032	0.0070133	0.0172676	0.0473054	0.136282	0.307323	0.4718
a94	0.0295487	0.0197947	0.0217596	0.0394676	0.0748505	0.179115	0.298749	0.336714
a57	0.00452553	0.00293652	0.00339841	0.00901012	0.0241109	0.0924566	0.259139	0.604423
a38	0.0048506	0.00329841	0.00389282	0.00874324	0.0215334	0.073433	0.250723	0.633525
a75	0.0042438	0.00335656	0.00383627	0.00864594	0.022629	0.0992719	0.270355	0.587662
a14	0.0033681	0.00281255	0.00410448	0.010343	0.0296873	0.115711	0.268266	0.565707
a30	0.00380044	0.00277262	0.00336744	0.00833761	0.0241637	0.092549	0.25388	0.61113
a57	0.00645433	0.00481068	0.00581554	0.0125088	0.0293903	0.104669	0.265856	0.570495
a87	0.0452686	0.034389	0.0309753	0.047668	0.0745784	0.140729	0.225021	0.401371
</S>	0.0232756	0.0225087	0.0238645	0.044762	0.0865838	0.177399	0.261089	0.360517
