 	mon	enfant	a	perdu	une	dent	</S>
a87	0.241174	0.17689	0.160056	0.15512	0.130793	0.0973567	0.0386098
a23	0.274448	0.126246	0.105901	0.141464	0.136808	0.13867	0.076463
a99	0.308107	0.209262	0.147023	0.118052	0.0968565	0.0827	0.0379987
a75	0.325775	0.228375	0.139797	0.0965328	0.0864256	0.0780603	0.0450349
a47	0.325629	0.28158	0.163413	0.104824	0.0639559	0.0447848	0.0158124
a73	0.338532	0.283645	0.151778	0.0935274	0.0611048	0.0474535	0.0239593
a36	0.26435	0.274272	0.180067	0.126494	0.0801632	0.0541682	0.0204845
a54	0.194139	0.21454	0.193094	0.158201	0.1248	0.0791358	0.0360895
a85	0.113049	0.145926	0.161176	0.15512	0.151849	0.141741	0.131139
a5	0.101791	0.131934	0.152542	0.156852	0.155527	0.1517	0.149654
a66	0.185928	0.165286	0.162485	0.159497	0.145694	0.10686	0.0742503
a62	0.0846421	0.0980276	0.138318	0.185558	0.215341	0.18082	0.0972932
a61	0.0505076	0.0609145	0.0991394	0.155638	0.207928	0.237689	0.188184
a31	0.0423101	0.0489577	0.078321	0.138086	0.186435	0.230719	0.275171
a96	0.028458	0.0358616	0.06383	0.118727	0.171866	0.230507	0.35075
a47	0.0166182	0.0207064	0.0386594	0.0808838	0.124025	0.208227	0.51088
a83	0.0208423	0.0262887	0.0453639	0.0840918	0.115796	0.182508	0.525109
a9	0.00437318	0.00573	0.0128106	0.0331544	0.0611921	0.14188	0.740859
a38	0.00409678	0.00533506	0.00933142	0.0218432	0.0490448	0.129176	0.781173
a21	0.00320295	0.00371713	0.00639372	0.0154199	0.0363945	0.121661	0.813211
a96	0.00500936	0.00580578	0.00974046	0.021569	0.040427	0.106858	0.810591
a18	0.00481185	0.00674688	0.010572	0.0208833	0.040091	0.0982894	0.818605
a25	0.00476083	0.00685342	0.0108989	0.0210966	0.0463865	0.12445	0.785554
a87	0.0264931	0.0263919	0.0330043	0.0559618	0.104198	0.190242	0.563709
a97	0.157666	0.0990937	0.0904877	0.125305	0.144108	0.153421	0.229918
a87	0.181272	0.104834	0.0784003	0.122066	0.135764	0.161267	0.216397
a23	0.1355	0.085029	0.0803679	0.127148	0.146848	0.168718	0.256389
a99	0.089263	0.0715523	0.0809382	0.141491	0.139477	0.137945	0.339333
a87	0.0879564	0.0681038	0.0758432	0.121692	0.117987	0.130783	0.397634
a23	0.0955316	0.0797022	0.0797351	0.119582	0.115206	0.131974	0.378269
a87	0.0776662	0.0684401	0.078197	0.131839	0.12023	0.124868	0.398759
</S>	0.0848496	0.0688966	0.0717531	0.109596	0.107035	0.127036	0.430835
