 	le	soleil	s'	est	apaisé	</S>
a3	0.341098	0.173523	0.148914	0.125084	0.109631	0.101749
a99	0.37669	0.226393	0.153171	0.115208	0.073721	0.054817
a30	0.460107	0.212761	0.127634	0.078025	0.0682156	0.0532576
a53	0.508022	0.230653	0.127879	0.0600775	0.0428012	0.0305673
a44	0.568777	0.199568	0.0829656	0.0400594	0.0477575	0.0608732
a43	0.43768	0.225469	0.0973955	0.0619799	0.0729466	0.104529
a38	0.235605	0.179472	0.116307	0.110501	0.151392	0.206722
a76	0.143416	0.14192	0.127439	0.151263	0.194798	0.241165
a90	0.20537	0.210217	0.174957	0.166675	0.122362	0.12042
a93	0.102203	0.131986	0.144064	0.192758	0.197026	0.231964
a70	0.0548819	0.0907252	0.123321	0.188103	0.247804	0.295165
a83	0.012598	0.0253018	0.0548169	0.129379	0.320948	0.456956
a70	0.00479934	0.00968291	0.0270322	0.0780887	0.354323	0.526073
a4	0.00218648	0.00460779	0.015723	0.0568006	0.344525	0.576157
a13	0.0020068	0.00434046	0.0167491	0.0613321	0.373592	0.541979
a57	0.0029234	0.00519627	0.0194734	0.0878938	0.333274	0.551239
a3	0.00897516	0.00973957	0.0239033	0.084044	0.286183	0.587155
a9	0.0995309	0.0748111	0.10062	0.156747	0.24468	0.323612
a99	0.0921134	0.0729972	0.110662	0.168939	0.260557	0.294731
a87	0.0574145	0.0600021	0.101856	0.175198	0.284815	0.320714
a97	0.0916295	0.0805763	0.116462	0.158231	0.26741	0.285691
a99	0.141826	0.129158	0.159145	0.162297	0.206686	0.200888
a87	0.216939	0.140223	0.130006	0.13253	0.175926	0.204377
</S>	0.179495	0.129702	0.13353	0.142289	0.204479	0.210505
