 	il	a	trouvé	une	astuce	pour	faire	faire	son	travail	par	son	frère	</S>
a23	0.205959	0.116849	0.0922325	0.0824633	0.0621782	0.0353182	0.0298995	0.0364155	0.0406403	0.0455651	0.049615	0.0575972	0.0703377	0.0749298
a40	0.114687	0.078577	0.0819313	0.0843359	0.0665471	0.0502207	0.0583409	0.0595534	0.0569685	0.0610715	0.0671441	0.0681326	0.0794015	0.0730889
a44	0.152595	0.125807	0.115365	0.133088	0.135039	0.122068	0.0669415	0.0622798	0.0323638	0.0171697	0.0113413	0.00809918	0.00807934	0.00976425
a11	0.232567	0.176896	0.184204	0.150178	0.108905	0.0580266	0.033622	0.0271253	0.0115368	0.00771252	0.00385239	0.00206312	0.0016448	0.00166662
a24	0.202369	0.172555	0.174809	0.152959	0.111875	0.0601881	0.0416985	0.0327281	0.0159006	0.0110315	0.00736465	0.00550954	0.00555295	0.0054593
a9	0.164049	0.150295	0.145028	0.141853	0.120897	0.0813783	0.0659178	0.0532268	0.0260519	0.0182949	0.0115396	0.00773481	0.00721832	0.00651559
a10	0.103868	0.101152	0.0967754	0.098941	0.1112	0.104021	0.102674	0.0898926	0.0548567	0.0406543	0.0293172	0.021556	0.0221266	0.0229648
a11	0.0681283	0.0813921	0.0794342	0.102763	0.111781	0.107587	0.111075	0.100437	0.0648796	0.0384888	0.0325063	0.0254112	0.0339814	0.0421351
a75	0.0646184	0.0759118	0.0740232	0.0913555	0.102325	0.10898	0.110149	0.105367	0.0713269	0.0392073	0.0338789	0.0288358	0.0415203	0.0525005
a41	0.103457	0.119198	0.11448	0.128135	0.113476	0.0909739	0.08443	0.0805084	0.0542018	0.0383506	0.0249352	0.0157011	0.0155097	0.0166445
a31	0.124281	0.137634	0.125476	0.123144	0.106199	0.0849731	0.0781488	0.0698269	0.0467926	0.0391492	0.0249547	0.0151259	0.0123638	0.0119303
a24	0.102861	0.109643	0.104848	0.112635	0.111384	0.102719	0.101654	0.0858376	0.0508597	0.0380367	0.0235629	0.0162707	0.0183361	0.0213517
